hero,disadvantage,winrate
leshrac,3.16,49.22
outworld-destroyer,2.89,47.55
timbersaw,2.78,49.52
venomancer,2.75,50.03
necrophos,2.61,46.55
abaddon,2.56,42.86
batrider,2.53,57.59
primal-beast,2.45,52.39
dragon-knight,2.37,51.39
beastmaster,2.23,55.23
spectre,2.19,48.29
witch-doctor,2.15,47.07
doom,2.11,54.45
tiny,2.03,53.33
pugna,1.94,52.45
warlock,1.89,45.23
ember-spirit,1.84,53.62
death-prophet,1.82,51.66
lifestealer,1.76,49.83
pudge,1.75,49.53
earth-spirit,1.68,51.78
phoenix,1.63,50.71
zeus,1.61,49.76
monkey-king,1.56,57.52
sand-king,1.51,47.92
ursa,1.48,52.28
razor,1.45,50.35
queen-of-pain,1.40,51.07
chen,1.39,58.40
shadow-demon,1.39,51.66
treant-protector,1.31,48.19
luna,1.25,48.43
silencer,1.20,47.77
sven,1.18,56.24
ringmaster,1.15,48.68
viper,1.13,51.05
gyrocopter,1.10,54.46
jakiro,1.09,50.83
brewmaster,1.08,52.06
tinker,1.05,50.93
centaur-warrunner,0.96,48.14
wraith-king,0.95,45.35
skywrath-mage,0.90,50.39
io,0.85,51.73
keeper-of-the-light,0.85,54.76
clockwerk,0.82,48.99
spirit-breaker,0.80,50.76
mars,0.77,54.54
bane,0.76,51.69
snapfire,0.76,55.39
night-stalker,0.75,48.63
tusk,0.73,56.40
tidehunter,0.73,53.22
underlord,0.68,47.70
techies,0.67,54.83
ancient-apparition,0.66,48.98
shadow-fiend,0.65,52.59
omniknight,0.60,48.56
grimstroke,0.58,53.86
bloodseeker,0.58,50.01
disruptor,0.56,51.89
ogre-magi,0.54,49.99
natures-prophet,0.51,56.00
enchantress,0.48,54.54
kunkka,0.40,49.94
magnus,0.39,53.89
bounty-hunter,0.38,50.53
pangolier,0.35,56.49
templar-assassin,0.29,58.89
alchemist,0.29,51.89
slardar,0.26,53.37
dawnbreaker,0.22,51.68
invoker,0.13,54.72
winter-wyvern,0.12,52.43
lich,0.03,47.90
undying,-0.09,50.31
lone-druid,-0.10,51.60
slark,-0.13,52.89
lion,-0.16,53.27
drow-ranger,-0.19,52.67
vengeful-spirit,-0.26,50.83
elder-titan,-0.27,52.21
dark-seer,-0.28,52.30
earthshaker,-0.30,53.79
mirana,-0.34,57.18
oracle,-0.41,49.45
crystal-maiden,-0.42,52.56
puck,-0.49,54.54
meepo,-0.59,54.64
dazzle,-0.61,55.98
faceless-void,-0.63,56.89
juggernaut,-0.66,51.34
muerta,-0.70,55.96
nyx-assassin,-0.74,51.59
shadow-shaman,-0.80,50.39
riki,-0.85,51.26
enigma,-0.85,53.91
rubick,-0.92,56.42
hoodwink,-0.96,57.49
void-spirit,-0.96,51.10
legion-commander,-1.03,50.50
huskar,-1.04,55.51
storm-spirit,-1.05,53.56
naga-siren,-1.05,56.53
clinkz,-1.09,52.76
sniper,-1.31,54.44
weaver,-1.34,54.82
lina,-1.38,56.77
marci,-1.39,53.72
morphling,-1.50,59.83
dark-willow,-1.57,54.87
chaos-knight,-1.58,54.84
medusa,-1.69,49.00
lycan,-1.77,54.00
visage,-1.83,52.59
windranger,-2.00,54.44
bristleback,-2.24,55.68
phantom-lancer,-2.38,58.57
arc-warden,-2.43,52.28
terrorblade,-3.00,60.71
broodmother,-3.18,55.36
phantom-assassin,-3.57,55.19
troll-warlord,-4.38,57.17
anti-mage,-4.61,58.41
axe,0,50
