hero,disadvantage,winrate
medusa,4.30,37.06
chen,3.77,48.19
bristleback,3.37,43.12
warlock,3.00,38.30
dawnbreaker,2.89,42.30
windranger,2.81,43.03
brewmaster,2.75,43.51
clinkz,2.50,42.44
sand-king,2.45,40.83
earthshaker,2.13,44.53
jakiro,2.00,43.34
leshrac,1.85,43.96
sniper,1.80,44.69
witch-doctor,1.77,41.26
enchantress,1.69,46.18
snapfire,1.67,47.17
viper,1.56,43.94
lina,1.50,46.71
gyrocopter,1.42,46.90
crystal-maiden,1.41,44.04
shadow-fiend,1.40,45.04
weaver,1.40,45.10
kunkka,1.35,42.57
underlord,1.32,40.96
grimstroke,1.20,46.18
alchemist,1.14,44.31
troll-warlord,1.08,44.58
dazzle,0.85,46.94
templar-assassin,0.80,50.49
ember-spirit,0.80,47.52
oracle,0.78,42.00
rubick,0.77,47.55
marci,0.74,44.73
death-prophet,0.70,45.94
phantom-assassin,0.67,44.40
huskar,0.65,46.67
earth-spirit,0.62,46.00
lich,0.61,41.23
batrider,0.60,51.79
abaddon,0.58,39.31
pangolier,0.57,48.83
winter-wyvern,0.54,45.20
phoenix,0.52,45.14
techies,0.46,47.80
tiny,0.45,47.75
sven,0.33,49.57
natures-prophet,0.31,48.80
elder-titan,0.29,44.89
keeper-of-the-light,0.29,48.10
mars,0.26,47.80
arc-warden,0.25,43.01
lycan,0.25,45.05
terrorblade,0.10,49.80
chaos-knight,0.09,46.11
magnus,0.08,47.10
ringmaster,0.06,43.39
mirana,0.06,49.32
luna,0.06,43.25
drow-ranger,0.05,45.61
razor,0.02,45.15
silencer,-0.03,42.77
shadow-demon,-0.07,46.32
dragon-knight,-0.09,46.90
treant-protector,-0.10,43.31
tinker,-0.18,45.49
undying,-0.19,43.94
bounty-hunter,-0.20,44.56
slark,-0.24,46.14
tusk,-0.30,49.93
skywrath-mage,-0.33,45.02
hoodwink,-0.34,49.38
venomancer,-0.37,46.44
vengeful-spirit,-0.38,44.41
doom,-0.43,49.63
queen-of-pain,-0.45,46.11
io,-0.46,46.26
legion-commander,-0.49,43.58
meepo,-0.53,47.56
juggernaut,-0.54,44.64
monkey-king,-0.56,51.70
lone-druid,-0.57,45.39
faceless-void,-0.57,49.42
shadow-shaman,-0.60,43.77
necrophos,-0.61,43.56
pugna,-0.63,48.03
ancient-apparition,-0.63,43.92
ursa,-0.67,47.38
lion,-0.69,46.85
invoker,-0.75,48.36
primal-beast,-0.76,48.56
timbersaw,-0.85,46.44
enigma,-0.89,46.96
bloodseeker,-0.90,45.00
zeus,-0.97,45.68
spirit-breaker,-0.99,45.85
morphling,-1.02,51.62
tidehunter,-1.26,48.18
axe,-1.30,44.77
centaur-warrunner,-1.31,44.11
dark-seer,-1.34,46.59
lifestealer,-1.36,46.36
storm-spirit,-1.39,46.99
dark-willow,-1.49,47.74
void-spirit,-1.50,45.11
outworld-destroyer,-1.56,45.65
puck,-1.57,48.49
ogre-magi,-1.63,45.55
pudge,-1.67,46.06
broodmother,-1.69,46.89
slardar,-1.69,48.27
riki,-1.71,45.55
wraith-king,-1.76,42.19
visage,-1.80,45.86
omniknight,-2.08,44.93
anti-mage,-2.09,48.70
nyx-assassin,-2.10,46.29
disruptor,-2.13,47.76
muerta,-2.22,50.18
bane,-2.81,48.49
naga-siren,-2.92,51.09
clockwerk,-3.07,46.43
phantom-lancer,-3.29,52.02
spectre,-3.75,47.69
night-stalker,-4.06,47.07
beastmaster,0,50
