hero,disadvantage,winrate
medusa,4.89,42.28
naga-siren,3.57,50.55
enchantress,2.87,50.96
morphling,2.84,53.83
storm-spirit,2.83,48.80
natures-prophet,2.69,52.49
troll-warlord,2.67,48.91
juggernaut,2.66,47.55
witch-doctor,2.51,46.42
batrider,2.31,56.14
brewmaster,2.29,49.90
keeper-of-the-light,2.27,52.10
oracle,2.09,46.57
chen,1.87,56.10
legion-commander,1.78,47.33
chaos-knight,1.75,50.38
terrorblade,1.71,54.19
wraith-king,1.68,44.75
io,1.63,50.09
bristleback,1.60,50.75
viper,1.59,49.83
monkey-king,1.59,55.63
lifestealer,1.54,49.41
skywrath-mage,1.52,49.12
visage,1.47,48.50
doom,1.42,53.79
faceless-void,1.41,53.47
ember-spirit,1.31,52.96
ursa,1.15,51.54
winter-wyvern,1.12,50.52
tinker,1.03,50.21
beastmaster,0.97,55.02
spirit-breaker,0.81,50.04
pudge,0.80,49.79
pugna,0.80,52.58
ancient-apparition,0.78,48.42
primal-beast,0.77,53.02
crystal-maiden,0.75,50.57
dark-willow,0.70,51.52
enigma,0.70,51.33
shadow-fiend,0.68,51.62
techies,0.67,53.55
lina,0.61,53.50
dazzle,0.61,53.12
dawnbreaker,0.54,50.56
arc-warden,0.50,48.65
slardar,0.49,52.08
warlock,0.48,46.58
necrophos,0.43,48.44
shadow-shaman,0.40,48.70
lion,0.39,51.80
venomancer,0.38,51.62
outworld-destroyer,0.35,49.67
leshrac,0.29,51.45
luna,0.29,48.89
meepo,0.18,52.79
silencer,0.16,48.46
sven,0.16,55.76
hoodwink,0.15,54.90
elder-titan,0.15,50.96
ogre-magi,0.11,49.81
rubick,0.08,54.17
clinkz,0.04,50.78
bounty-hunter,0.02,50.25
underlord,0.01,48.10
alchemist,0.00,51.34
zeus,-0.01,50.68
earth-spirit,-0.13,52.68
bane,-0.14,51.78
vengeful-spirit,-0.14,50.06
spectre,-0.15,50.11
tiny,-0.18,54.33
earthshaker,-0.18,52.61
templar-assassin,-0.20,57.50
grimstroke,-0.22,53.53
mirana,-0.24,55.59
sniper,-0.25,52.44
dragon-knight,-0.26,52.99
nyx-assassin,-0.26,50.41
death-prophet,-0.26,52.85
jakiro,-0.32,51.44
muerta,-0.34,54.29
abaddon,-0.35,46.04
broodmother,-0.38,51.53
invoker,-0.39,54.02
lich,-0.42,48.07
magnus,-0.44,53.56
queen-of-pain,-0.45,52.03
gyrocopter,-0.47,54.76
puck,-0.48,53.40
phantom-lancer,-0.51,55.29
clockwerk,-0.55,49.87
marci,-0.56,51.93
axe,-0.58,49.99
tusk,-0.59,56.22
phantom-assassin,-0.62,51.48
treant-protector,-0.63,49.72
shadow-demon,-0.76,52.94
snapfire,-0.78,55.55
mars,-0.79,54.79
huskar,-0.84,54.10
weaver,-0.92,53.28
undying,-1.00,50.63
disruptor,-1.26,52.84
lone-druid,-1.26,51.99
kunkka,-1.27,51.01
void-spirit,-1.29,50.79
dark-seer,-1.30,52.49
drow-ranger,-1.57,53.07
razor,-1.64,52.68
omniknight,-1.76,50.51
timbersaw,-1.84,53.33
tidehunter,-1.85,54.72
centaur-warrunner,-1.89,50.55
lycan,-2.09,53.34
pangolier,-2.10,57.58
anti-mage,-2.12,54.67
night-stalker,-2.33,51.28
phoenix,-2.37,53.94
sand-king,-2.50,51.35
ringmaster,-2.69,51.89
slark,-2.92,54.56
riki,-2.96,52.68
windranger,-3.14,54.47
bloodseeker,0,50
