hero,disadvantage,winrate
naga-siren,3.61,50.29
meepo,3.20,49.51
chaos-knight,2.71,49.18
tidehunter,2.67,50.00
slark,2.56,49.14
shadow-shaman,2.37,46.49
huskar,2.24,50.85
abaddon,1.93,43.38
legion-commander,1.89,46.91
batrider,1.79,56.57
phantom-lancer,1.72,52.90
arc-warden,1.67,47.18
crystal-maiden,1.56,49.54
troll-warlord,1.46,49.88
slardar,1.39,51.01
enigma,1.36,50.43
primal-beast,1.31,52.29
muerta,1.21,52.56
storm-spirit,1.21,50.15
lion,1.16,50.88
magnus,1.14,51.82
anti-mage,1.14,51.34
juggernaut,1.11,48.71
spirit-breaker,1.01,49.59
venomancer,1.01,50.79
zeus,1.01,49.47
phoenix,0.98,50.37
dark-willow,0.74,51.26
outworld-destroyer,0.68,49.08
oracle,0.65,47.69
ogre-magi,0.63,49.05
necrophos,0.61,47.96
faceless-void,0.59,54.14
pudge,0.58,49.73
tusk,0.57,54.96
queen-of-pain,0.55,50.86
razor,0.53,50.32
techies,0.51,53.57
beastmaster,0.45,55.43
clockwerk,0.45,48.59
chen,0.45,57.50
tiny,0.45,53.56
terrorblade,0.44,55.36
earthshaker,0.43,51.84
lone-druid,0.39,50.10
bane,0.36,51.05
skywrath-mage,0.35,50.01
nyx-assassin,0.29,49.62
vengeful-spirit,0.28,49.39
dark-seer,0.25,50.68
leshrac,0.23,51.29
grimstroke,0.15,52.98
disruptor,0.11,51.27
viper,0.10,51.04
natures-prophet,0.06,54.90
hoodwink,0.04,54.88
sniper,0.04,51.97
monkey-king,0.01,57.11
pangolier,0.01,55.28
io,0.00,51.51
morphling,-0.02,56.58
earth-spirit,-0.02,52.38
bloodseeker,-0.02,49.75
doom,-0.02,55.11
sven,-0.05,55.88
marci,-0.05,51.19
elder-titan,-0.07,50.94
drow-ranger,-0.10,51.44
enchantress,-0.15,53.82
pugna,-0.16,53.36
medusa,-0.19,46.89
jakiro,-0.20,51.10
rubick,-0.22,54.28
ember-spirit,-0.23,54.37
death-prophet,-0.28,52.68
axe,-0.32,49.47
tinker,-0.33,51.34
lina,-0.33,54.25
dawnbreaker,-0.37,51.23
puck,-0.39,53.13
ursa,-0.39,52.86
spectre,-0.39,50.08
witch-doctor,-0.41,48.86
treant-protector,-0.44,49.24
ancient-apparition,-0.44,49.33
shadow-fiend,-0.48,52.50
gyrocopter,-0.50,54.66
luna,-0.54,49.39
templar-assassin,-0.55,57.79
wraith-king,-0.55,46.51
lich,-0.56,47.87
keeper-of-the-light,-0.57,54.82
dazzle,-0.58,54.13
brewmaster,-0.59,52.62
lifestealer,-0.61,51.30
mars,-0.62,54.47
silencer,-0.62,48.91
timbersaw,-0.70,52.00
underlord,-0.73,48.52
mirana,-0.74,55.97
alchemist,-0.81,51.93
void-spirit,-0.81,50.05
dragon-knight,-0.85,53.39
broodmother,-0.97,51.89
snapfire,-1.00,55.64
winter-wyvern,-1.00,52.45
phantom-assassin,-1.08,51.67
sand-king,-1.11,49.76
bristleback,-1.16,53.23
lycan,-1.23,52.25
undying,-1.27,50.64
visage,-1.34,51.06
invoker,-1.41,54.81
ringmaster,-1.46,50.45
warlock,-1.46,48.14
omniknight,-1.58,50.06
centaur-warrunner,-1.69,50.08
windranger,-1.76,53.00
weaver,-1.76,53.93
riki,-1.79,51.27
night-stalker,-1.81,50.50
clinkz,-1.94,52.54
kunkka,-2.09,51.57
shadow-demon,-2.23,54.24
bounty-hunter,0,50
