hero,disadvantage,winrate
chen,6.05,49.58
weaver,3.96,46.36
bristleback,3.03,47.17
sven,2.75,50.87
leshrac,2.66,46.90
abaddon,2.48,41.25
morphling,2.22,52.14
slark,2.07,47.65
dawnbreaker,2.03,46.91
underlord,1.90,44.17
crystal-maiden,1.71,47.48
anti-mage,1.68,48.82
primal-beast,1.53,50.00
lifestealer,1.52,47.26
bane,1.52,47.92
puck,1.45,49.30
marci,1.42,47.79
batrider,1.41,54.62
oracle,1.39,45.15
io,1.36,48.19
elder-titan,1.34,47.57
storm-spirit,1.23,48.18
muerta,1.23,50.46
legion-commander,1.19,45.78
jakiro,1.17,47.86
sand-king,1.13,45.81
lycan,1.07,47.96
dazzle,1.07,50.43
huskar,1.06,49.97
natures-prophet,1.06,51.78
tinker,1.03,48.04
lina,0.99,50.89
luna,0.99,46.15
arc-warden,0.94,46.10
undying,0.88,46.66
void-spirit,0.85,46.53
pangolier,0.80,52.29
disruptor,0.80,48.62
windranger,0.77,48.64
bounty-hunter,0.74,47.38
faceless-void,0.73,51.85
timbersaw,0.65,48.72
skywrath-mage,0.63,47.83
earthshaker,0.63,49.64
pudge,0.60,47.82
queen-of-pain,0.57,48.87
troll-warlord,0.54,48.84
necrophos,0.50,46.25
naga-siren,0.47,51.39
phantom-assassin,0.42,48.35
death-prophet,0.41,49.94
tusk,0.40,52.92
phoenix,0.21,49.17
enigma,0.20,49.61
dark-seer,0.20,48.78
ogre-magi,0.19,47.57
razor,0.17,48.72
mars,0.16,51.60
ember-spirit,0.15,51.84
nyx-assassin,0.13,47.88
tiny,0.11,51.77
monkey-king,0.10,54.73
lich,0.02,45.55
winter-wyvern,-0.01,49.45
riki,-0.01,47.62
invoker,-0.02,51.38
doom,-0.05,52.94
hoodwink,-0.10,52.83
juggernaut,-0.10,47.97
alchemist,-0.14,49.28
shadow-shaman,-0.21,47.15
spirit-breaker,-0.23,48.84
mirana,-0.23,53.28
magnus,-0.25,51.13
snapfire,-0.25,52.73
broodmother,-0.26,49.21
templar-assassin,-0.26,55.20
warlock,-0.29,45.25
gyrocopter,-0.30,52.30
clockwerk,-0.36,47.54
slardar,-0.40,50.71
chaos-knight,-0.43,50.33
grimstroke,-0.46,51.51
drow-ranger,-0.52,49.87
clinkz,-0.59,49.22
keeper-of-the-light,-0.63,52.71
pugna,-0.66,51.76
silencer,-0.66,47.12
axe,-0.68,47.94
venomancer,-0.70,50.47
zeus,-0.83,49.26
sniper,-0.86,50.76
dark-willow,-0.86,50.83
treant-protector,-0.88,47.82
rubick,-0.88,52.75
lion,-0.91,50.75
witch-doctor,-1.00,47.57
techies,-1.01,52.90
vengeful-spirit,-1.04,48.78
shadow-fiend,-1.05,50.99
dragon-knight,-1.06,51.52
ringmaster,-1.08,48.20
phantom-lancer,-1.08,53.52
centaur-warrunner,-1.10,47.65
lone-druid,-1.24,49.78
medusa,-1.27,46.20
earth-spirit,-1.32,51.62
enchantress,-1.36,52.89
tidehunter,-1.54,52.15
shadow-demon,-1.57,51.51
omniknight,-1.61,48.22
spectre,-1.78,49.51
ursa,-1.83,52.20
outworld-destroyer,-1.94,49.76
wraith-king,-2.09,46.27
bloodseeker,-2.29,50.10
night-stalker,-2.34,49.13
kunkka,-2.37,49.90
visage,-2.45,50.23
terrorblade,-2.85,56.40
beastmaster,-2.86,56.52
meepo,-3.15,53.87
viper,-3.84,52.86
ancient-apparition,-4.02,50.94
brewmaster,0,50
