hero,disadvantage,winrate
lifestealer,4.83,47.42
chen,3.84,55.80
elder-titan,3.55,48.83
bristleback,3.22,50.58
ember-spirit,3.07,52.79
oracle,2.41,47.43
meepo,2.39,52.02
lone-druid,2.37,49.72
sven,2.30,55.26
alchemist,2.25,50.50
pangolier,2.23,54.80
juggernaut,2.21,49.24
templar-assassin,2.21,56.85
underlord,2.20,47.08
necrophos,2.19,47.96
undying,2.14,48.82
keeper-of-the-light,2.01,53.90
witch-doctor,1.96,48.17
monkey-king,1.94,57.08
dazzle,1.93,53.35
bloodseeker,1.85,49.45
beastmaster,1.84,55.87
huskar,1.80,52.98
tidehunter,1.72,52.68
bounty-hunter,1.68,49.92
tinker,1.67,50.96
timbersaw,1.61,51.41
slardar,1.56,52.51
doom,1.55,55.40
invoker,1.55,53.75
io,1.48,51.66
warlock,1.40,46.80
venomancer,1.37,52.11
brewmaster,1.33,52.35
ursa,1.31,52.90
omniknight,1.21,48.78
enigma,1.19,52.27
visage,1.15,50.14
shadow-demon,1.07,52.62
weaver,1.04,52.86
natures-prophet,1.02,55.76
disruptor,0.99,52.07
treant-protector,0.99,49.39
death-prophet,0.86,53.21
naga-siren,0.86,54.83
broodmother,0.81,51.74
dark-willow,0.73,52.97
shadow-fiend,0.73,53.06
wraith-king,0.72,46.76
outworld-destroyer,0.65,50.72
lycan,0.63,52.01
queen-of-pain,0.62,52.48
winter-wyvern,0.61,52.49
night-stalker,0.61,49.64
dragon-knight,0.61,53.71
bane,0.54,52.53
batrider,0.49,59.82
tusk,0.48,56.96
dawnbreaker,0.47,52.05
mars,0.46,55.26
ringmaster,0.45,50.21
slark,0.44,52.88
earthshaker,0.43,53.55
vengeful-spirit,0.40,50.89
ogre-magi,0.39,50.89
kunkka,0.35,50.76
terrorblade,0.34,57.23
abaddon,0.34,46.40
clockwerk,0.32,50.32
dark-seer,0.31,52.30
grimstroke,0.31,54.59
clinkz,0.19,52.03
shadow-shaman,0.15,50.22
morphling,0.14,58.32
crystal-maiden,0.14,52.59
marci,0.14,52.69
enchantress,0.13,55.29
magnus,0.06,54.68
phoenix,0.01,53.04
anti-mage,0.01,54.15
faceless-void,-0.02,56.53
earth-spirit,-0.02,54.13
nyx-assassin,-0.11,51.65
primal-beast,-0.13,55.55
tiny,-0.14,55.94
void-spirit,-0.14,50.98
techies,-0.18,56.03
rubick,-0.19,56.04
pugna,-0.21,55.16
snapfire,-0.23,56.74
storm-spirit,-0.24,53.29
leshrac,-0.29,53.54
riki,-0.36,51.47
ancient-apparition,-0.40,50.90
gyrocopter,-0.43,56.38
viper,-0.43,53.25
puck,-0.44,54.96
jakiro,-0.49,53.07
lina,-0.50,56.20
spirit-breaker,-0.50,52.72
legion-commander,-0.54,50.81
lion,-0.58,54.19
luna,-0.59,51.04
troll-warlord,-0.64,53.69
chaos-knight,-0.67,54.29
pudge,-0.69,52.53
mirana,-0.76,57.87
phantom-assassin,-0.86,53.13
zeus,-0.89,52.94
razor,-0.90,53.44
spectre,-0.95,52.27
skywrath-mage,-0.98,53.00
phantom-lancer,-1.03,57.41
lich,-1.06,49.92
sand-king,-1.09,51.36
axe,-1.13,51.86
silencer,-1.49,51.37
drow-ranger,-1.72,54.75
hoodwink,-1.80,58.54
arc-warden,-1.87,52.39
muerta,-2.44,58.09
sniper,-2.89,56.37
medusa,-3.48,51.74
windranger,-4.57,57.42
centaur-warrunner,0,50
