hero,disadvantage,winrate
leshrac,5.91,38.09
batrider,5.57,44.85
broodmother,4.55,38.86
terrorblade,4.40,43.60
dark-seer,4.09,39.31
troll-warlord,3.54,40.28
earthshaker,3.07,41.80
slark,2.99,41.17
sand-king,2.73,38.73
phantom-assassin,2.57,40.82
sven,2.40,45.59
crystal-maiden,2.25,41.37
arc-warden,2.24,39.22
monkey-king,2.20,47.08
doom,2.12,45.20
winter-wyvern,2.02,41.85
bane,1.97,41.86
primal-beast,1.96,43.97
huskar,1.95,43.49
vengeful-spirit,1.91,40.34
chaos-knight,1.83,42.49
lina,1.83,44.49
storm-spirit,1.48,42.34
kunkka,1.46,40.61
shadow-shaman,1.42,40.01
weaver,1.37,43.24
lone-druid,1.09,41.90
dragon-knight,1.05,43.92
marci,0.98,42.62
shadow-fiend,0.93,43.57
jakiro,0.92,42.48
death-prophet,0.92,43.82
lich,0.88,39.13
pugna,0.87,44.64
tusk,0.75,46.98
dark-willow,0.68,43.72
ursa,0.67,44.18
riki,0.65,41.37
razor,0.60,42.70
venomancer,0.57,43.63
windranger,0.55,43.24
undying,0.54,41.37
legion-commander,0.54,40.76
earth-spirit,0.53,44.19
tinker,0.50,42.95
ogre-magi,0.50,41.69
lycan,0.47,42.95
bristleback,0.46,44.02
warlock,0.44,38.95
natures-prophet,0.38,46.79
slardar,0.29,44.44
enigma,0.28,43.93
magnus,0.26,45.03
lion,0.26,44.09
viper,0.25,43.33
snapfire,0.24,46.64
alchemist,0.18,43.36
rubick,0.13,46.23
drow-ranger,0.13,43.64
axe,0.12,41.60
techies,0.07,46.24
invoker,0.03,45.73
pudge,0.00,42.74
bounty-hunter,-0.01,42.50
skywrath-mage,-0.02,42.85
gyrocopter,-0.02,46.41
phoenix,-0.04,43.81
hoodwink,-0.11,47.22
omniknight,-0.13,41.17
io,-0.22,44.13
outworld-destroyer,-0.24,42.49
spirit-breaker,-0.25,43.26
shadow-demon,-0.27,44.62
templar-assassin,-0.27,49.57
meepo,-0.32,45.43
enchantress,-0.34,46.25
dazzle,-0.54,46.36
phantom-lancer,-0.54,47.37
naga-siren,-0.57,46.81
ancient-apparition,-0.61,42.03
tiny,-0.66,46.90
faceless-void,-0.69,47.60
treant-protector,-0.76,42.10
disruptor,-0.77,44.54
ringmaster,-0.81,42.35
void-spirit,-0.82,42.57
pangolier,-0.89,48.35
anti-mage,-0.90,45.65
grimstroke,-0.94,46.37
underlord,-0.95,41.33
necrophos,-1.01,42.08
mars,-1.01,47.12
medusa,-1.01,40.36
mirana,-1.03,48.41
queen-of-pain,-1.08,44.81
luna,-1.09,42.44
timbersaw,-1.14,44.82
clinkz,-1.17,44.17
sniper,-1.20,45.45
muerta,-1.25,47.28
witch-doctor,-1.35,42.30
night-stalker,-1.49,42.69
silencer,-1.62,42.43
visage,-1.67,43.86
bloodseeker,-1.69,43.90
spectre,-1.79,43.91
lifestealer,-1.90,45.00
morphling,-1.91,50.51
wraith-king,-1.91,40.50
elder-titan,-1.97,45.26
abaddon,-1.99,39.99
dawnbreaker,-2.23,45.49
nyx-assassin,-2.23,44.52
zeus,-2.24,44.98
clockwerk,-2.46,43.98
juggernaut,-2.51,44.61
ember-spirit,-2.52,48.85
puck,-3.20,48.15
centaur-warrunner,-3.36,44.21
oracle,-3.41,44.28
beastmaster,-3.73,51.74
brewmaster,-6.05,50.42
keeper-of-the-light,-6.36,52.78
tidehunter,-6.44,51.32
chen,0,50
