hero,disadvantage,winrate
windranger,4.32,46.37
timbersaw,2.94,47.52
leshrac,2.89,47.68
weaver,2.80,48.49
doom,2.29,51.70
enchantress,2.15,50.47
earthshaker,2.10,49.29
ursa,1.98,49.55
troll-warlord,1.82,48.59
sand-king,1.76,46.20
batrider,1.73,55.42
oracle,1.72,45.81
queen-of-pain,1.72,48.82
witch-doctor,1.60,46.15
lina,1.57,51.38
ember-spirit,1.56,51.50
faceless-void,1.40,52.25
beastmaster,1.37,53.37
sven,1.36,53.29
bloodseeker,1.36,47.51
monkey-king,1.28,54.66
pangolier,1.27,52.89
dawnbreaker,1.23,48.70
natures-prophet,1.23,52.66
legion-commander,1.18,46.76
dark-willow,1.15,49.89
disruptor,1.15,49.30
bristleback,1.14,50.00
jakiro,1.06,48.97
anti-mage,1.05,50.44
crystal-maiden,1.04,49.12
phantom-assassin,1.01,48.83
outworld-destroyer,0.90,48.00
gyrocopter,0.85,52.21
earth-spirit,0.83,50.53
puck,0.81,50.95
warlock,0.75,45.22
invoker,0.69,51.79
clinkz,0.68,48.98
rubick,0.68,52.38
phoenix,0.67,49.74
axe,0.67,47.70
hoodwink,0.65,53.18
keeper-of-the-light,0.60,52.54
techies,0.57,52.43
primal-beast,0.55,52.01
mirana,0.46,53.66
huskar,0.43,51.62
underlord,0.43,46.58
muerta,0.43,52.29
juggernaut,0.36,48.54
lion,0.35,50.65
pugna,0.32,51.84
morphling,0.25,55.14
tinker,0.24,49.82
ancient-apparition,0.24,47.81
dazzle,0.20,52.31
naga-siren,0.17,52.75
mars,0.11,52.69
snapfire,0.03,53.52
slardar,0.00,51.35
zeus,-0.01,49.52
ringmaster,-0.03,48.22
tiny,-0.03,52.96
terrorblade,-0.05,54.69
winter-wyvern,-0.08,50.55
centaur-warrunner,-0.11,47.70
skywrath-mage,-0.13,49.57
bane,-0.15,50.60
storm-spirit,-0.18,50.56
brewmaster,-0.19,51.22
void-spirit,-0.19,48.56
pudge,-0.20,49.52
bounty-hunter,-0.22,49.32
grimstroke,-0.28,52.38
nyx-assassin,-0.31,49.31
silencer,-0.37,47.84
magnus,-0.38,52.29
death-prophet,-0.47,51.85
lich,-0.55,47.08
sniper,-0.57,51.53
kunkka,-0.58,49.19
spirit-breaker,-0.59,50.20
shadow-fiend,-0.59,51.62
lycan,-0.62,50.66
treant-protector,-0.62,48.56
riki,-0.63,49.23
slark,-0.65,51.26
undying,-0.70,49.18
enigma,-0.72,51.54
io,-0.79,51.34
elder-titan,-0.82,50.75
vengeful-spirit,-0.90,49.65
ogre-magi,-1.00,49.70
dragon-knight,-1.03,52.53
razor,-1.09,50.96
clockwerk,-1.09,49.25
phantom-lancer,-1.13,54.63
omniknight,-1.15,48.76
arc-warden,-1.17,49.18
marci,-1.25,51.42
shadow-demon,-1.30,52.28
tidehunter,-1.46,53.11
tusk,-1.49,55.83
alchemist,-1.49,51.62
spectre,-1.53,50.28
lifestealer,-1.63,51.36
lone-druid,-1.64,51.19
templar-assassin,-1.71,57.72
night-stalker,-1.72,49.53
meepo,-1.77,53.54
wraith-king,-1.89,47.04
luna,-2.03,49.90
necrophos,-2.15,49.78
broodmother,-2.23,52.19
drow-ranger,-2.33,52.61
venomancer,-2.47,53.21
shadow-shaman,-2.65,50.46
visage,-2.65,51.45
chaos-knight,-3.29,54.17
abaddon,-3.54,48.06
chen,-3.95,60.69
viper,-4.06,54.11
medusa,-6.23,51.99
dark-seer,0,50
