hero,disadvantage,winrate
bristleback,3.11,48.18
silencer,2.85,44.76
chen,2.36,54.51
weaver,2.23,49.12
drow-ranger,2.03,48.54
jakiro,1.60,48.53
winter-wyvern,1.56,49.00
ancient-apparition,1.54,46.58
phoenix,1.54,48.96
morphling,1.48,54.07
muerta,1.44,51.39
death-prophet,1.33,50.14
timbersaw,1.32,49.16
lich,1.24,45.39
dark-willow,1.24,49.89
ursa,1.20,50.40
nyx-assassin,1.12,47.99
monkey-king,1.06,55.03
juggernaut,1.06,47.95
ringmaster,1.05,47.25
mirana,1.02,53.27
sniper,1.01,50.22
gyrocopter,0.96,52.22
keeper-of-the-light,0.92,52.34
kunkka,0.92,47.79
slardar,0.89,50.58
clinkz,0.88,48.85
witch-doctor,0.87,46.89
elder-titan,0.87,49.12
sven,0.86,53.92
troll-warlord,0.83,49.65
doom,0.70,53.39
underlord,0.69,46.36
outworld-destroyer,0.67,48.28
faceless-void,0.63,53.11
lina,0.62,52.39
shadow-fiend,0.61,50.59
riki,0.60,48.08
bane,0.58,49.95
primal-beast,0.57,52.10
phantom-lancer,0.56,53.08
ogre-magi,0.53,48.32
dragon-knight,0.48,51.19
rubick,0.48,52.67
viper,0.45,49.84
bounty-hunter,0.41,48.77
windranger,0.35,50.13
dazzle,0.35,52.28
techies,0.24,52.87
invoker,0.23,52.31
terrorblade,0.23,54.56
io,0.22,50.42
visage,0.22,48.67
huskar,0.21,51.94
vengeful-spirit,0.15,48.70
clockwerk,0.14,48.10
lone-druid,0.12,49.54
skywrath-mage,0.11,49.41
lifestealer,0.07,49.77
anti-mage,0.06,51.49
axe,0.06,48.32
lycan,0.04,50.09
disruptor,0.02,50.49
lion,0.01,51.04
warlock,0.01,45.97
zeus,-0.04,49.61
queen-of-pain,-0.04,50.55
grimstroke,-0.08,52.29
razor,-0.09,50.07
luna,-0.11,48.19
tiny,-0.12,53.16
alchemist,-0.13,50.37
snapfire,-0.13,53.80
enchantress,-0.13,52.83
pangolier,-0.14,54.43
mars,-0.19,53.09
omniknight,-0.20,47.87
hoodwink,-0.20,54.12
venomancer,-0.20,51.10
storm-spirit,-0.26,50.72
medusa,-0.26,46.24
centaur-warrunner,-0.32,47.95
abaddon,-0.36,44.98
puck,-0.37,52.19
earthshaker,-0.39,51.71
night-stalker,-0.45,48.33
pugna,-0.46,52.72
templar-assassin,-0.52,56.71
bloodseeker,-0.53,49.44
tusk,-0.58,55.09
necrophos,-0.58,48.33
void-spirit,-0.59,49.01
sand-king,-0.64,48.51
wraith-king,-0.75,45.99
ember-spirit,-0.79,53.95
tinker,-0.81,50.95
earth-spirit,-0.83,52.28
magnus,-0.86,52.87
tidehunter,-0.88,52.64
enigma,-0.90,51.82
arc-warden,-0.91,48.97
broodmother,-1.01,51.06
batrider,-1.02,58.34
treant-protector,-1.07,49.07
undying,-1.11,49.64
pudge,-1.12,50.40
leshrac,-1.13,51.77
dark-seer,-1.21,51.30
shadow-shaman,-1.25,49.19
chaos-knight,-1.30,52.31
spirit-breaker,-1.33,50.99
natures-prophet,-1.45,55.36
naga-siren,-1.45,54.49
marci,-1.49,51.75
crystal-maiden,-1.60,51.72
oracle,-1.79,49.35
phantom-assassin,-1.86,51.52
brewmaster,-1.95,53.09
shadow-demon,-2.05,53.13
meepo,-2.36,54.25
slark,-2.53,53.16
spectre,-2.57,51.36
beastmaster,-2.74,57.65
legion-commander,-3.08,50.78
dawnbreaker,0,50
