hero,disadvantage,winrate
ancient-apparition,2.20,43.02
tidehunter,1.90,47.18
axe,1.63,44.02
slark,1.62,46.43
gyrocopter,1.58,48.97
abaddon,1.50,40.11
venomancer,1.36,46.83
weaver,1.33,47.28
razor,1.28,45.96
riki,1.20,44.63
monkey-king,1.08,52.53
drow-ranger,0.96,46.81
winter-wyvern,0.94,46.86
sand-king,0.88,44.22
chen,0.84,53.64
phoenix,0.81,46.94
death-prophet,0.80,47.98
undying,0.79,44.95
viper,0.76,46.79
doom,0.69,50.83
muerta,0.63,49.58
grimstroke,0.57,48.99
shadow-fiend,0.54,47.95
bounty-hunter,0.52,45.87
crystal-maiden,0.52,46.94
windranger,0.52,47.25
magnus,0.49,48.90
silencer,0.47,44.20
primal-beast,0.45,49.59
mars,0.45,49.87
luna,0.41,44.87
tusk,0.40,51.60
outworld-destroyer,0.39,45.74
jakiro,0.38,46.93
keeper-of-the-light,0.35,50.31
pugna,0.32,49.30
pangolier,0.29,51.43
batrider,0.29,54.62
warlock,0.29,42.73
dark-willow,0.23,48.18
sniper,0.21,48.25
timbersaw,0.19,47.54
phantom-lancer,0.17,50.90
ogre-magi,0.17,45.87
earthshaker,0.16,48.52
mirana,0.16,51.56
underlord,0.15,44.02
natures-prophet,0.15,51.27
puck,0.15,49.03
elder-titan,0.09,47.16
zeus,0.07,46.75
shadow-shaman,0.06,45.08
troll-warlord,0.05,47.70
treant-protector,0.04,45.11
hoodwink,0.02,51.36
faceless-void,0.01,51.16
dragon-knight,0.00,48.99
slardar,-0.04,48.82
terrorblade,-0.06,52.36
morphling,-0.07,53.14
queen-of-pain,-0.10,47.90
earth-spirit,-0.12,48.90
marci,-0.13,47.67
phantom-assassin,-0.13,47.19
leshrac,-0.14,48.07
pudge,-0.14,46.77
night-stalker,-0.17,45.20
anti-mage,-0.19,49.05
templar-assassin,-0.23,54.00
sven,-0.25,52.52
spirit-breaker,-0.25,47.21
witch-doctor,-0.25,45.08
disruptor,-0.30,48.08
tiny,-0.31,50.76
huskar,-0.33,49.85
lich,-0.34,43.99
dark-seer,-0.34,47.69
vengeful-spirit,-0.35,46.38
snapfire,-0.43,51.54
clockwerk,-0.45,45.87
omniknight,-0.45,45.27
dawnbreaker,-0.46,47.72
alchemist,-0.51,48.03
bane,-0.52,48.34
visage,-0.57,46.66
kunkka,-0.64,46.51
tinker,-0.64,48.05
juggernaut,-0.65,46.78
nyx-assassin,-0.66,46.95
beastmaster,-0.66,53.06
techies,-0.68,51.20
enigma,-0.72,48.95
bloodseeker,-0.73,46.87
invoker,-0.82,50.67
void-spirit,-0.91,46.53
shadow-demon,-0.92,49.34
lina,-0.93,51.27
ursa,-0.95,49.85
chaos-knight,-0.95,49.29
broodmother,-0.98,48.30
skywrath-mage,-1.03,47.77
lion,-1.08,49.33
ringmaster,-1.08,46.47
brewmaster,-1.10,49.57
bristleback,-1.11,49.60
clinkz,-1.12,48.10
io,-1.14,49.07
rubick,-1.16,51.61
enchantress,-1.25,51.37
lycan,-1.34,48.76
necrophos,-1.36,46.27
ember-spirit,-1.40,51.99
lifestealer,-1.44,48.55
naga-siren,-1.51,51.99
medusa,-1.58,44.63
oracle,-1.64,46.34
legion-commander,-1.65,46.66
storm-spirit,-1.68,49.43
lone-druid,-1.70,48.62
spectre,-1.72,47.79
centaur-warrunner,-1.86,46.65
arc-warden,-1.93,47.14
meepo,-2.14,51.43
wraith-king,-2.46,44.70
dazzle,0,50
