hero,disadvantage,winrate
meepo,4.02,43.62
arc-warden,4.01,39.83
broodmother,2.91,42.90
lone-druid,2.43,43.01
medusa,2.29,39.41
lina,1.96,47.00
invoker,1.86,46.67
rubick,1.50,47.61
wraith-king,1.47,39.58
enigma,1.27,45.48
marci,1.16,44.93
viper,1.12,45.00
anti-mage,1.11,46.31
crystal-maiden,1.11,44.95
skywrath-mage,1.08,44.27
spectre,1.05,43.64
night-stalker,1.03,42.61
chaos-knight,1.02,45.84
witch-doctor,1.01,42.51
batrider,0.90,52.41
windranger,0.83,45.51
visage,0.82,43.84
terrorblade,0.75,49.94
weaver,0.71,46.44
hoodwink,0.70,49.17
clinkz,0.66,44.89
grimstroke,0.59,47.48
luna,0.58,43.33
venomancer,0.57,46.17
pangolier,0.57,49.63
vengeful-spirit,0.55,44.09
silencer,0.52,42.78
bristleback,0.47,46.58
beastmaster,0.46,50.35
gyrocopter,0.46,48.60
shadow-fiend,0.45,46.59
magnus,0.45,47.45
natures-prophet,0.43,49.47
keeper-of-the-light,0.36,48.79
drow-ranger,0.35,45.97
spirit-breaker,0.35,45.19
dark-willow,0.31,46.64
mirana,0.31,49.86
storm-spirit,0.30,46.00
warlock,0.27,41.44
jakiro,0.24,45.64
templar-assassin,0.19,51.94
techies,0.17,48.84
tinker,0.16,45.79
monkey-king,0.12,51.90
outworld-destroyer,0.11,44.60
zeus,0.08,45.31
bounty-hunter,0.07,44.89
shadow-demon,0.03,46.90
ursa,-0.01,47.44
earthshaker,-0.02,47.23
sniper,-0.03,47.00
disruptor,-0.03,46.35
elder-titan,-0.05,45.87
legion-commander,-0.05,43.73
lich,-0.08,42.40
brewmaster,-0.10,47.06
shadow-shaman,-0.13,43.90
leshrac,-0.13,46.58
undying,-0.15,44.50
razor,-0.16,45.95
tidehunter,-0.20,47.82
puck,-0.23,47.91
queen-of-pain,-0.24,46.57
tusk,-0.25,50.70
lion,-0.29,47.17
enchantress,-0.31,48.90
void-spirit,-0.31,44.51
muerta,-0.34,49.06
pugna,-0.34,48.48
lycan,-0.36,46.31
snapfire,-0.37,49.95
clockwerk,-0.37,44.37
earth-spirit,-0.40,47.70
ogre-magi,-0.40,45.00
death-prophet,-0.40,47.73
nyx-assassin,-0.45,45.29
ancient-apparition,-0.45,44.31
winter-wyvern,-0.59,46.98
sand-king,-0.64,44.27
dazzle,-0.68,49.17
mars,-0.71,49.49
ringmaster,-0.71,44.70
bane,-0.73,47.09
dawnbreaker,-0.78,46.61
pudge,-0.83,45.96
oracle,-0.87,44.18
ember-spirit,-0.90,49.96
phoenix,-0.90,47.20
riki,-0.94,45.40
sven,-0.98,51.70
kunkka,-0.98,45.42
treant-protector,-1.00,44.78
slardar,-1.04,48.34
primal-beast,-1.05,49.61
dragon-knight,-1.08,48.54
naga-siren,-1.17,50.11
centaur-warrunner,-1.25,44.60
phantom-assassin,-1.28,46.83
slark,-1.29,47.82
axe,-1.50,45.55
bloodseeker,-1.50,46.21
lifestealer,-1.53,47.18
faceless-void,-1.55,51.16
tiny,-1.64,50.55
juggernaut,-1.64,46.30
phantom-lancer,-1.66,51.22
io,-1.71,48.20
chen,-1.83,54.80
alchemist,-1.84,47.88
troll-warlord,-1.86,48.19
underlord,-2.02,44.76
morphling,-2.21,53.69
dark-seer,-2.36,48.29
timbersaw,-2.59,48.80
abaddon,-2.87,43.10
huskar,-3.29,51.31
omniknight,-3.60,47.00
necrophos,-4.35,47.76
doom,0,50
