hero,disadvantage,winrate
phantom-lancer,3.95,49.34
mars,3.39,49.20
earth-spirit,2.68,48.26
chaos-knight,2.53,47.96
spectre,2.48,45.73
lycan,2.28,47.23
pudge,2.20,46.81
dark-seer,2.05,47.41
tiny,1.82,50.93
zeus,1.77,47.28
centaur-warrunner,1.66,45.25
primal-beast,1.61,50.70
faceless-void,1.56,51.98
clockwerk,1.54,46.01
storm-spirit,1.50,48.46
naga-siren,1.47,51.23
magnus,1.47,50.18
muerta,1.40,51.13
bloodseeker,1.29,46.92
sniper,1.26,49.53
ogre-magi,1.24,47.00
night-stalker,1.23,45.94
dragon-knight,1.18,50.10
natures-prophet,0.96,52.83
void-spirit,0.95,46.79
sven,0.94,53.76
winter-wyvern,0.86,49.19
broodmother,0.84,48.65
enchantress,0.80,51.63
tidehunter,0.72,50.68
batrider,0.72,56.62
snapfire,0.71,52.75
spirit-breaker,0.67,48.51
dark-willow,0.66,50.02
chen,0.64,56.33
outworld-destroyer,0.61,47.68
keeper-of-the-light,0.59,52.40
arc-warden,0.58,46.77
puck,0.58,50.89
mirana,0.57,53.53
timbersaw,0.56,49.40
brewmaster,0.52,50.14
wraith-king,0.52,43.83
monkey-king,0.51,55.56
morphling,0.50,55.00
silencer,0.50,46.27
venomancer,0.46,49.99
shadow-demon,0.43,50.22
axe,0.40,47.33
terrorblade,0.37,54.36
ringmaster,0.36,47.22
beastmaster,0.36,54.39
visage,0.34,47.93
grimstroke,0.34,51.54
sand-king,0.32,46.89
kunkka,0.31,47.73
skywrath-mage,0.30,48.64
invoker,0.28,51.96
lone-druid,0.21,48.89
gyrocopter,0.19,52.75
queen-of-pain,0.14,49.91
undying,0.10,47.80
troll-warlord,0.09,49.91
techies,0.02,52.85
bounty-hunter,0.01,48.57
nyx-assassin,-0.02,48.50
medusa,-0.10,45.19
doom,-0.12,54.03
hoodwink,-0.14,53.90
tusk,-0.19,54.56
warlock,-0.19,45.27
marci,-0.23,50.02
treant-protector,-0.24,47.57
alchemist,-0.28,50.04
vengeful-spirit,-0.31,48.55
elder-titan,-0.38,49.89
legion-commander,-0.42,47.64
lich,-0.51,46.28
bane,-0.53,50.62
enigma,-0.65,51.17
slark,-0.67,50.95
io,-0.68,50.88
ursa,-0.70,51.89
razor,-0.71,50.19
underlord,-0.71,46.97
omniknight,-0.72,47.72
ember-spirit,-0.73,53.67
templar-assassin,-0.75,56.99
jakiro,-0.79,50.31
juggernaut,-0.79,49.10
dazzle,-0.82,53.17
lion,-0.84,51.41
luna,-0.87,48.24
shadow-shaman,-0.88,48.17
huskar,-0.89,52.76
windranger,-0.90,50.85
lina,-0.95,53.65
anti-mage,-0.96,52.12
tinker,-0.98,50.66
phantom-assassin,-0.99,50.22
abaddon,-1.00,44.62
earthshaker,-1.00,51.92
ancient-apparition,-1.06,48.49
meepo,-1.09,52.66
lifestealer,-1.10,50.45
oracle,-1.11,47.99
pugna,-1.16,53.15
crystal-maiden,-1.17,50.86
disruptor,-1.20,51.26
witch-doctor,-1.23,48.16
death-prophet,-1.30,52.47
phoenix,-1.32,51.37
rubick,-1.35,54.16
shadow-fiend,-1.38,52.09
clinkz,-1.43,50.66
slardar,-1.51,52.62
viper,-1.73,51.54
leshrac,-1.82,52.08
dawnbreaker,-1.88,51.45
weaver,-1.88,52.80
riki,-1.92,49.99
pangolier,-1.92,56.11
necrophos,-2.21,49.26
bristleback,-2.81,53.63
drow-ranger,0,50
