hero,disadvantage,winrate
huskar,5.93,43.06
slark,4.40,43.28
monkey-king,3.60,49.43
tinker,3.00,43.91
troll-warlord,2.76,44.50
meepo,2.74,45.90
oracle,2.58,41.72
chen,2.57,51.15
muerta,2.36,47.28
shadow-fiend,2.35,45.76
lone-druid,2.30,44.13
legion-commander,2.22,42.57
broodmother,2.10,44.72
templar-assassin,2.07,50.99
morphling,2.01,50.41
clinkz,2.01,44.50
slardar,1.51,46.77
dragon-knight,1.51,47.01
juggernaut,1.47,44.32
dazzle,1.46,48.01
weaver,1.43,46.70
sven,1.42,50.22
techies,1.39,48.58
pugna,1.24,47.84
grimstroke,1.16,47.86
shadow-shaman,1.12,43.67
tidehunter,1.05,47.53
elder-titan,1.04,45.73
omniknight,1.01,43.42
skywrath-mage,1.01,45.31
viper,1.00,46.09
drow-ranger,0.98,46.32
ursa,0.97,47.42
riki,0.95,44.50
lifestealer,0.91,45.72
doom,0.90,50.04
enigma,0.89,46.84
sniper,0.89,47.13
naga-siren,0.82,49.03
underlord,0.82,42.95
crystal-maiden,0.82,46.20
silencer,0.79,43.51
hoodwink,0.77,50.04
enchantress,0.76,48.78
treant-protector,0.73,44.04
dawnbreaker,0.73,46.05
night-stalker,0.72,43.92
dark-willow,0.68,47.24
phantom-assassin,0.66,46.00
alchemist,0.66,46.38
bane,0.65,46.67
winter-wyvern,0.63,46.72
necrophos,0.49,44.05
natures-prophet,0.47,50.37
witch-doctor,0.45,44.02
timbersaw,0.37,46.88
venomancer,0.34,47.37
arc-warden,0.31,44.53
bounty-hunter,0.31,45.63
gyrocopter,0.30,49.71
invoker,0.27,49.11
snapfire,0.27,50.26
abaddon,0.26,41.05
anti-mage,0.25,48.12
ogre-magi,0.25,45.36
wraith-king,0.25,41.75
lycan,0.22,46.69
disruptor,0.21,47.08
puck,0.16,48.48
death-prophet,0.16,48.12
ringmaster,0.07,44.94
earthshaker,0.03,48.13
jakiro,-0.04,46.87
outworld-destroyer,-0.13,45.83
lina,-0.14,49.95
lion,-0.15,47.99
faceless-void,-0.17,50.75
io,-0.20,47.64
earth-spirit,-0.21,48.47
brewmaster,-0.23,48.16
pudge,-0.31,46.47
tiny,-0.35,50.23
windranger,-0.56,47.77
phoenix,-0.57,47.84
terrorblade,-0.61,52.26
vengeful-spirit,-0.64,46.24
warlock,-0.67,43.36
ancient-apparition,-0.67,45.51
beastmaster,-0.69,52.45
lich,-0.71,44.01
luna,-0.72,45.51
mirana,-0.73,51.79
spirit-breaker,-0.86,47.33
marci,-0.97,48.03
keeper-of-the-light,-0.98,51.09
bristleback,-1.02,49.00
undying,-1.09,46.40
batrider,-1.12,55.36
magnus,-1.12,49.96
axe,-1.34,46.38
bloodseeker,-1.35,47.04
chaos-knight,-1.38,49.20
visage,-1.38,47.04
pangolier,-1.54,52.71
dark-seer,-1.61,48.50
leshrac,-1.73,49.17
nyx-assassin,-1.75,47.53
shadow-demon,-1.87,49.76
medusa,-1.93,44.61
primal-beast,-1.95,51.46
void-spirit,-2.07,47.24
mars,-2.11,51.81
zeus,-2.12,48.37
kunkka,-2.12,47.53
rubick,-2.15,51.92
tusk,-2.31,53.66
razor,-2.46,49.18
clockwerk,-2.48,47.43
storm-spirit,-2.57,49.77
centaur-warrunner,-2.91,47.21
phantom-lancer,-2.96,53.46
sand-king,-2.97,47.47
spectre,-3.48,49.03
queen-of-pain,-4.67,51.66
ember-spirit,0,50
