hero,disadvantage,winrate
phantom-assassin,3.47,43.92
marci,3.06,44.50
windranger,2.08,45.78
crystal-maiden,1.86,45.67
mars,1.80,48.45
lone-druid,1.68,45.22
bristleback,1.41,47.09
morphling,1.36,51.51
leshrac,1.32,46.57
dazzle,1.30,48.64
slark,1.29,46.76
pudge,1.28,45.56
brewmaster,1.26,47.11
naga-siren,1.20,49.11
ogre-magi,1.16,44.98
sand-king,1.13,44.08
chaos-knight,1.10,47.19
tusk,1.07,50.79
primal-beast,1.03,48.92
storm-spirit,0.92,46.84
phantom-lancer,0.91,50.03
earth-spirit,0.83,47.89
io,0.83,47.07
treant-protector,0.80,44.46
medusa,0.77,42.45
techies,0.71,49.70
riki,0.68,45.24
hoodwink,0.61,50.64
keeper-of-the-light,0.61,49.94
nyx-assassin,0.53,45.80
chen,0.53,53.75
batrider,0.49,54.18
ursa,0.42,48.44
lion,0.38,47.98
shadow-fiend,0.35,48.11
elder-titan,0.34,46.91
witch-doctor,0.34,44.62
ringmaster,0.30,45.20
doom,0.29,51.10
mirana,0.28,51.28
pangolier,0.26,51.33
underlord,0.25,44.02
bounty-hunter,0.24,46.18
grimstroke,0.23,49.26
centaur-warrunner,0.18,44.71
legion-commander,0.17,44.99
axe,0.16,45.46
luna,0.15,45.19
lich,0.13,43.68
shadow-demon,0.13,48.23
dawnbreaker,0.10,47.17
queen-of-pain,0.05,47.74
vengeful-spirit,0.00,46.09
warlock,-0.02,43.21
necrophos,-0.06,45.06
puck,-0.08,49.19
weaver,-0.10,48.66
terrorblade,-0.12,52.22
broodmother,-0.12,47.42
skywrath-mage,-0.14,46.91
dark-willow,-0.15,48.53
slardar,-0.18,48.91
omniknight,-0.18,45.08
rubick,-0.21,50.63
arc-warden,-0.25,45.55
alchemist,-0.28,47.79
magnus,-0.34,49.65
snapfire,-0.37,51.34
phoenix,-0.38,48.12
wraith-king,-0.39,42.87
jakiro,-0.40,47.69
natures-prophet,-0.40,51.66
troll-warlord,-0.42,48.16
razor,-0.43,47.66
monkey-king,-0.44,53.82
meepo,-0.46,49.61
timbersaw,-0.46,48.16
shadow-shaman,-0.48,45.70
pugna,-0.51,50.06
clockwerk,-0.52,45.99
viper,-0.52,48.04
gyrocopter,-0.52,50.99
invoker,-0.53,50.33
bane,-0.57,48.37
enigma,-0.58,48.78
kunkka,-0.60,46.52
tidehunter,-0.60,49.65
lina,-0.61,50.85
death-prophet,-0.62,49.37
disruptor,-0.63,48.39
tinker,-0.65,48.06
abaddon,-0.65,42.46
templar-assassin,-0.66,54.17
tiny,-0.66,50.99
drow-ranger,-0.67,48.38
earthshaker,-0.72,49.31
juggernaut,-0.74,46.89
ember-spirit,-0.77,51.22
ancient-apparition,-0.85,46.16
night-stalker,-0.92,46.05
huskar,-0.94,50.37
undying,-0.99,46.78
outworld-destroyer,-1.27,47.45
oracle,-1.28,46.09
dragon-knight,-1.30,50.19
winter-wyvern,-1.36,49.19
zeus,-1.38,48.14
visage,-1.38,47.52
venomancer,-1.42,49.57
spirit-breaker,-1.48,48.40
beastmaster,-1.56,53.78
lycan,-1.60,49.00
sniper,-1.71,49.91
lifestealer,-1.84,48.93
sven,-1.93,54.04
void-spirit,-1.96,47.63
dark-seer,-2.16,49.53
anti-mage,-2.25,51.01
silencer,-2.27,46.97
faceless-void,-2.28,53.27
clinkz,-2.60,49.57
spectre,-2.88,48.93
bloodseeker,-2.88,49.04
muerta,-3.05,53.20
enchantress,0,50
