hero,disadvantage,winrate
phantom-lancer,2.50,48.55
broodmother,2.13,44.71
templar-assassin,2.06,52.17
puck,1.82,47.25
phantom-assassin,1.70,45.18
meepo,1.51,47.56
lycan,1.39,45.65
faceless-void,1.38,49.91
terrorblade,1.38,51.17
morphling,1.26,52.24
keeper-of-the-light,1.25,49.46
bristleback,1.12,47.27
riki,1.12,44.32
beastmaster,1.04,51.64
hoodwink,0.94,50.67
tusk,0.90,51.39
bounty-hunter,0.87,45.19
io,0.85,46.81
slardar,0.84,47.85
void-spirit,0.82,44.20
chen,0.78,54.27
lifestealer,0.77,46.02
gyrocopter,0.77,49.91
pangolier,0.76,51.20
anti-mage,0.75,48.05
sven,0.74,51.79
dazzle,0.74,49.33
mars,0.60,49.82
clinkz,0.59,46.08
winter-wyvern,0.55,47.09
naga-siren,0.52,49.98
mirana,0.51,51.45
enchantress,0.49,49.67
snapfire,0.48,50.84
sand-king,0.41,44.20
weaver,0.41,48.12
batrider,0.39,55.08
shadow-demon,0.36,47.92
tidehunter,0.36,48.73
tiny,0.33,50.25
huskar,0.33,49.21
pugna,0.18,49.48
natures-prophet,0.16,51.51
zeus,0.14,46.42
death-prophet,0.09,48.66
crystal-maiden,0.08,47.19
techies,0.08,50.61
windranger,0.06,47.53
enigma,0.01,48.11
venomancer,-0.02,48.12
earth-spirit,-0.03,48.77
visage,-0.04,45.72
razor,-0.08,47.15
shadow-shaman,-0.08,44.78
grimstroke,-0.08,49.72
ursa,-0.10,48.98
sniper,-0.11,48.46
axe,-0.12,45.28
bloodseeker,-0.12,45.98
marci,-0.14,47.49
ember-spirit,-0.14,50.89
earthshaker,-0.15,48.77
rubick,-0.15,50.82
magnus,-0.16,49.58
juggernaut,-0.16,46.01
necrophos,-0.21,44.71
monkey-king,-0.22,54.32
legion-commander,-0.23,44.86
bane,-0.23,47.93
skywrath-mage,-0.24,46.73
brewmaster,-0.25,48.62
queen-of-pain,-0.26,47.91
nyx-assassin,-0.29,46.29
vengeful-spirit,-0.32,46.01
omniknight,-0.32,44.68
dragon-knight,-0.33,49.32
dark-willow,-0.34,48.70
alchemist,-0.37,47.73
storm-spirit,-0.37,47.99
lina,-0.38,50.90
lion,-0.38,48.64
drow-ranger,-0.41,48.05
jakiro,-0.47,47.59
disruptor,-0.56,48.23
outworld-destroyer,-0.56,46.41
dawnbreaker,-0.60,47.69
arc-warden,-0.62,45.26
undying,-0.64,46.06
elder-titan,-0.67,47.79
lone-druid,-0.69,47.38
pudge,-0.69,47.05
timbersaw,-0.71,48.31
night-stalker,-0.74,45.37
witch-doctor,-0.74,45.11
phoenix,-0.76,48.42
ancient-apparition,-0.78,45.70
clockwerk,-0.79,45.87
primal-beast,-0.87,51.08
shadow-fiend,-0.92,49.29
spirit-breaker,-0.95,47.70
dark-seer,-0.97,48.21
luna,-1.02,45.85
ogre-magi,-1.02,46.74
ringmaster,-1.06,46.08
leshrac,-1.09,48.98
spectre,-1.15,46.98
lich,-1.16,44.28
warlock,-1.18,43.62
chaos-knight,-1.23,49.56
muerta,-1.35,51.80
slark,-1.36,49.32
tinker,-1.38,48.68
silencer,-1.39,45.67
kunkka,-1.40,46.98
treant-protector,-1.41,46.20
troll-warlord,-1.44,49.16
doom,-1.44,53.33
viper,-1.46,48.91
oracle,-1.50,45.76
abaddon,-1.76,42.66
wraith-king,-1.79,43.40
underlord,-1.83,45.58
centaur-warrunner,-1.84,46.25
medusa,-4.57,47.29
invoker,0,50
