hero,disadvantage,winrate
chen,6.33,47.22
storm-spirit,3.10,44.24
batrider,2.91,51.09
lycan,2.74,44.17
phantom-assassin,2.72,44.15
faceless-void,2.38,48.16
weaver,2.28,45.85
sven,2.02,49.50
huskar,1.83,47.11
legion-commander,1.80,43.06
spirit-breaker,1.70,44.89
skywrath-mage,1.60,44.75
natures-prophet,1.43,49.34
shadow-shaman,1.27,43.60
clinkz,1.27,45.26
slark,1.20,46.37
ogre-magi,1.16,44.55
arc-warden,1.13,43.75
windranger,1.11,46.20
templar-assassin,1.08,51.82
io,1.04,46.39
magnus,1.03,47.79
ember-spirit,1.01,48.91
crystal-maiden,0.95,46.08
queen-of-pain,0.91,46.44
juggernaut,0.91,44.90
bounty-hunter,0.77,45.22
tiny,0.73,49.09
sniper,0.72,47.26
tusk,0.71,50.58
brewmaster,0.69,47.19
silencer,0.66,43.71
vengeful-spirit,0.65,45.01
anti-mage,0.63,47.70
nyx-assassin,0.62,45.27
venomancer,0.54,47.15
pudge,0.53,45.75
lion,0.49,47.39
slardar,0.42,47.80
troll-warlord,0.38,46.88
muerta,0.37,49.22
pugna,0.36,48.65
lina,0.34,49.41
techies,0.31,49.55
tidehunter,0.30,48.24
lone-druid,0.27,46.18
razor,0.26,46.51
riki,0.21,45.27
void-spirit,0.18,45.06
naga-siren,0.18,49.60
mirana,0.17,50.81
tinker,0.14,46.80
bristleback,0.12,47.85
viper,0.11,46.95
mars,0.08,49.60
terrorblade,0.07,51.44
night-stalker,0.05,44.66
phantom-lancer,-0.01,50.37
chaos-knight,-0.02,47.81
lich,-0.03,43.45
pangolier,-0.04,51.04
dragon-knight,-0.04,48.45
hoodwink,-0.05,50.72
axe,-0.08,45.25
witch-doctor,-0.09,44.59
death-prophet,-0.20,48.43
earthshaker,-0.20,48.30
ancient-apparition,-0.20,45.10
earth-spirit,-0.23,48.45
zeus,-0.27,46.62
lifestealer,-0.29,46.92
beastmaster,-0.29,51.90
shadow-fiend,-0.32,48.23
snapfire,-0.32,50.73
dazzle,-0.32,49.68
puck,-0.33,48.91
oracle,-0.34,44.72
drow-ranger,-0.36,47.60
medusa,-0.37,43.18
marci,-0.38,47.43
undying,-0.42,45.77
underlord,-0.44,44.28
gyrocopter,-0.44,50.35
doom,-0.44,51.24
sand-king,-0.45,45.14
abaddon,-0.47,41.93
leshrac,-0.47,47.88
alchemist,-0.50,47.52
visage,-0.53,46.22
jakiro,-0.55,47.35
morphling,-0.58,52.83
dark-seer,-0.60,47.45
enchantress,-0.62,50.06
primal-beast,-0.64,50.04
grimstroke,-0.79,49.76
timbersaw,-0.85,48.05
dawnbreaker,-0.85,47.63
broodmother,-0.87,47.68
warlock,-0.91,43.69
disruptor,-0.93,48.18
shadow-demon,-0.93,48.78
ursa,-0.93,49.25
enigma,-0.96,48.63
dark-willow,-0.96,48.81
meepo,-1.02,49.66
ringmaster,-1.09,46.08
wraith-king,-1.16,43.22
spectre,-1.20,46.84
monkey-king,-1.33,54.02
bane,-1.34,48.62
invoker,-1.35,50.55
outworld-destroyer,-1.39,47.09
winter-wyvern,-1.63,48.96
centaur-warrunner,-1.69,46.08
rubick,-1.71,51.46
elder-titan,-1.83,48.61
luna,-1.89,46.63
treant-protector,-2.05,46.83
bloodseeker,-2.24,47.91
clockwerk,-2.28,47.27
phoenix,-2.28,49.49
necrophos,-2.65,47.12
kunkka,-2.79,48.19
omniknight,-2.97,47.42
keeper-of-the-light,0,50
