hero,disadvantage,winrate
lifestealer,3.06,48.13
keeper-of-the-light,2.91,51.81
faceless-void,2.47,52.82
brewmaster,2.36,50.11
elder-titan,2.32,48.99
ember-spirit,2.20,52.48
bounty-hunter,2.08,48.42
juggernaut,2.04,48.32
undying,2.02,47.86
venomancer,1.87,50.45
huskar,1.82,51.80
winter-wyvern,1.76,50.17
alchemist,1.66,49.98
rubick,1.64,53.10
batrider,1.58,57.47
ancient-apparition,1.58,47.81
bristleback,1.52,51.12
timbersaw,1.49,50.38
pangolier,1.42,54.46
weaver,1.42,51.32
clinkz,1.33,49.75
tinker,1.30,50.21
warlock,1.25,45.93
monkey-king,1.25,56.51
bloodseeker,1.24,48.97
slardar,1.24,51.67
morphling,1.21,55.97
death-prophet,1.20,51.70
doom,1.09,54.59
invoker,1.06,53.03
puck,1.05,52.28
ursa,1.04,52.00
anti-mage,1.02,51.99
ogre-magi,0.98,49.22
pugna,0.92,52.81
dark-willow,0.88,51.66
underlord,0.86,47.41
phoenix,0.85,51.04
phantom-lancer,0.77,54.40
earth-spirit,0.74,52.16
necrophos,0.73,48.34
enchantress,0.72,53.49
natures-prophet,0.71,54.84
omniknight,0.68,48.25
dark-seer,0.65,50.80
templar-assassin,0.64,57.21
dazzle,0.62,53.50
earthshaker,0.52,52.30
razor,0.50,50.87
riki,0.48,49.51
phantom-assassin,0.46,50.76
visage,0.42,49.78
shadow-demon,0.42,52.11
magnus,0.41,53.12
void-spirit,0.41,49.33
bane,0.36,51.58
naga-siren,0.30,54.29
storm-spirit,0.29,51.59
dragon-knight,0.29,52.83
terrorblade,0.21,56.18
witch-doctor,0.19,48.79
viper,0.18,51.49
treant-protector,0.12,49.18
sven,0.05,56.33
tidehunter,0.05,53.19
jakiro,0.03,51.41
snapfire,0.01,55.24
lycan,0.00,51.53
night-stalker,-0.01,49.18
tusk,-0.07,56.22
lich,-0.09,47.90
gyrocopter,-0.11,54.83
sniper,-0.14,52.67
grimstroke,-0.14,53.86
spirit-breaker,-0.15,51.24
tiny,-0.15,54.74
ringmaster,-0.17,49.72
silencer,-0.18,48.99
shadow-shaman,-0.20,49.48
zeus,-0.20,51.14
queen-of-pain,-0.22,52.14
primal-beast,-0.25,54.47
oracle,-0.26,49.10
slark,-0.29,52.43
hoodwink,-0.34,55.85
centaur-warrunner,-0.35,49.26
drow-ranger,-0.39,52.26
axe,-0.40,50.07
spectre,-0.41,50.61
lina,-0.42,54.90
wraith-king,-0.42,46.86
broodmother,-0.45,51.90
disruptor,-0.45,52.37
outworld-destroyer,-0.50,50.77
skywrath-mage,-0.60,51.48
sand-king,-0.61,49.79
techies,-0.62,55.27
crystal-maiden,-0.64,52.21
leshrac,-0.64,52.72
lion,-0.65,53.08
io,-0.67,52.74
chen,-0.75,59.40
troll-warlord,-0.77,52.67
clockwerk,-0.80,50.35
dawnbreaker,-0.82,52.23
beastmaster,-0.84,57.43
windranger,-0.88,52.70
mirana,-0.99,56.80
nyx-assassin,-1.04,51.44
shadow-fiend,-1.05,53.60
abaddon,-1.10,46.85
mars,-1.11,55.58
enigma,-1.12,53.50
vengeful-spirit,-1.13,51.29
pudge,-1.28,51.92
muerta,-1.37,55.76
marci,-1.40,53.11
lone-druid,-1.47,52.52
meepo,-1.52,54.91
arc-warden,-1.84,51.23
medusa,-1.89,49.07
chaos-knight,-1.98,54.47
legion-commander,-2.18,51.28
luna,-2.36,51.61
kunkka,0,50
