hero,disadvantage,winrate
winter-wyvern,3.10,49.71
omniknight,3.03,46.56
dawnbreaker,2.96,49.21
monkey-king,2.82,56.53
chaos-knight,2.81,50.60
oracle,2.51,46.96
templar-assassin,2.47,56.98
dragon-knight,2.42,51.81
tiny,2.34,53.47
mars,2.32,53.37
tusk,2.28,55.17
medusa,2.18,45.48
shadow-demon,2.07,51.42
kunkka,2.05,48.72
spirit-breaker,2.02,50.01
dazzle,1.94,53.34
primal-beast,1.90,53.44
pudge,1.78,50.00
techies,1.72,54.19
lone-druid,1.63,50.25
wraith-king,1.63,45.23
vengeful-spirit,1.52,49.49
ringmaster,1.51,48.85
beastmaster,1.51,56.40
lion,1.51,52.15
outworld-destroyer,1.46,49.60
troll-warlord,1.40,51.49
shadow-fiend,1.33,52.39
ursa,1.26,52.94
pangolier,1.20,56.00
pugna,1.11,53.82
zeus,1.11,50.78
batrider,1.10,59.56
treant-protector,1.09,48.96
bane,1.07,51.85
axe,1.04,49.50
magnus,0.98,53.73
riki,0.97,49.84
chen,0.97,59.24
abaddon,0.94,45.30
morphling,0.91,57.73
slardar,0.85,53.20
earthshaker,0.83,53.12
doom,0.79,56.27
marci,0.79,51.87
sven,0.78,57.09
snapfire,0.76,55.81
visage,0.68,50.39
io,0.55,52.55
lycan,0.54,51.97
tinker,0.54,51.99
drow-ranger,0.53,52.37
lich,0.52,47.93
clockwerk,0.48,49.88
centaur-warrunner,0.47,49.19
elder-titan,0.47,51.90
enchantress,0.44,55.01
alchemist,0.39,52.29
luna,0.36,49.84
timbersaw,0.32,52.59
hoodwink,0.32,56.60
shadow-shaman,0.30,49.79
gyrocopter,0.27,55.78
razor,0.27,52.10
natures-prophet,0.21,56.75
night-stalker,0.21,49.75
tidehunter,0.21,54.25
leshrac,0.20,52.91
grimstroke,0.18,54.77
sniper,0.17,53.51
invoker,0.16,55.14
phantom-assassin,0.12,52.07
death-prophet,0.09,54.01
skywrath-mage,0.03,51.81
lifestealer,-0.04,52.26
windranger,-0.13,53.04
naga-siren,-0.15,56.02
spectre,-0.17,51.28
nyx-assassin,-0.21,51.55
mirana,-0.27,57.51
crystal-maiden,-0.28,52.91
witch-doctor,-0.31,50.07
enigma,-0.32,53.82
void-spirit,-0.38,50.99
ancient-apparition,-0.42,50.65
brewmaster,-0.47,54.22
necrophos,-0.53,50.37
slark,-0.55,53.83
huskar,-0.56,55.47
lina,-0.58,56.38
juggernaut,-0.66,51.85
dark-seer,-0.68,53.23
keeper-of-the-light,-0.70,56.92
underlord,-0.71,49.74
warlock,-0.81,48.59
disruptor,-0.82,53.86
undying,-0.83,51.62
sand-king,-0.86,50.87
terrorblade,-0.87,58.87
jakiro,-0.96,53.45
puck,-0.97,55.47
storm-spirit,-0.97,53.94
broodmother,-0.98,53.51
phantom-lancer,-1.04,57.69
dark-willow,-1.04,54.78
ogre-magi,-1.06,52.11
phoenix,-1.09,54.13
rubick,-1.09,57.04
earth-spirit,-1.14,55.29
meepo,-1.15,55.80
ember-spirit,-1.35,57.43
faceless-void,-1.35,58.17
weaver,-1.36,55.32
queen-of-pain,-1.40,54.39
muerta,-1.40,57.13
bloodseeker,-1.42,52.67
venomancer,-1.50,55.04
bounty-hunter,-1.55,53.09
viper,-1.60,54.37
clinkz,-1.86,54.07
silencer,-1.94,51.57
anti-mage,-2.07,56.32
arc-warden,-2.18,52.52
bristleback,-3.60,57.61
legion-commander,0,50
