hero,disadvantage,winrate
pangolier,2.71,55.51
shadow-demon,2.25,52.54
anti-mage,1.77,53.59
phantom-lancer,1.75,55.78
oracle,1.67,49.32
bane,1.63,52.57
visage,1.51,50.92
pugna,1.49,54.60
weaver,1.49,53.58
bristleback,1.45,53.51
timbersaw,1.43,52.71
queen-of-pain,1.35,52.92
phoenix,1.26,52.92
clinkz,1.24,52.11
natures-prophet,1.11,56.86
outworld-destroyer,1.09,51.42
ember-spirit,1.08,55.99
mirana,1.07,57.19
centaur-warrunner,1.06,50.08
morphling,1.06,58.60
earth-spirit,1.01,54.22
undying,1.00,51.11
windranger,0.98,53.22
enigma,0.95,53.70
ringmaster,0.93,50.88
silencer,0.92,50.10
lycan,0.90,52.90
puck,0.87,54.80
juggernaut,0.87,51.70
omniknight,0.85,50.30
faceless-void,0.83,56.86
dark-seer,0.81,52.92
dark-willow,0.81,54.07
rubick,0.77,56.32
winter-wyvern,0.74,53.53
invoker,0.72,55.72
zeus,0.69,52.55
slark,0.66,53.80
keeper-of-the-light,0.65,56.54
bounty-hunter,0.65,52.13
death-prophet,0.64,54.64
leshrac,0.63,53.73
venomancer,0.62,54.04
hoodwink,0.60,57.35
bloodseeker,0.56,51.93
dazzle,0.52,56.01
templar-assassin,0.49,59.86
jakiro,0.49,53.27
doom,0.48,57.60
drow-ranger,0.48,53.72
snapfire,0.46,57.20
spectre,0.44,52.02
brewmaster,0.43,54.45
razor,0.41,53.25
broodmother,0.38,53.35
sniper,0.38,54.53
storm-spirit,0.37,53.82
pudge,0.37,52.73
skywrath-mage,0.35,52.81
warlock,0.34,48.99
viper,0.34,53.64
ancient-apparition,0.33,51.30
shadow-shaman,0.31,51.23
witch-doctor,0.30,50.93
enchantress,0.29,56.32
lina,0.25,56.64
disruptor,0.24,54.01
ursa,0.22,55.15
chen,0.21,60.87
batrider,0.19,61.36
beastmaster,0.18,58.77
elder-titan,0.17,53.53
void-spirit,0.16,51.82
kunkka,0.16,52.10
sven,0.15,58.68
huskar,0.12,55.88
grimstroke,0.12,55.97
night-stalker,0.11,51.30
riki,0.09,52.16
mars,0.09,56.75
earthshaker,0.07,55.07
naga-siren,0.05,56.90
alchemist,0.05,53.91
slardar,0.04,55.21
gyrocopter,0.00,57.12
lion,0.00,54.82
underlord,-0.05,50.54
nyx-assassin,-0.07,52.76
tinker,-0.16,54.01
crystal-maiden,-0.18,54.09
axe,-0.19,52.10
techies,-0.20,57.25
shadow-fiend,-0.30,55.22
magnus,-0.32,56.22
clockwerk,-0.32,52.12
tidehunter,-0.36,55.98
luna,-0.38,51.99
tusk,-0.38,58.98
tiny,-0.43,57.40
meepo,-0.43,56.10
primal-beast,-0.45,57.05
muerta,-0.46,57.22
lifestealer,-0.48,54.01
sand-king,-0.49,51.90
troll-warlord,-0.49,54.71
treant-protector,-0.51,52.06
monkey-king,-0.51,60.72
dragon-knight,-0.62,56.08
ogre-magi,-0.65,53.05
legion-commander,-0.65,52.07
medusa,-0.71,50.07
phantom-assassin,-0.84,54.28
dawnbreaker,-0.87,54.61
wraith-king,-0.89,49.47
abaddon,-0.97,48.86
marci,-1.07,55.09
arc-warden,-1.11,52.76
vengeful-spirit,-1.16,53.62
necrophos,-1.17,52.45
spirit-breaker,-1.18,54.54
io,-1.21,55.65
chaos-knight,-1.39,56.21
terrorblade,-1.62,60.50
lone-druid,-2.08,55.45
lich,0,50
