hero,disadvantage,winrate
templar-assassin,2.59,50.92
phantom-assassin,1.93,44.62
axe,1.65,43.24
mars,1.21,48.69
clinkz,1.20,45.07
sniper,1.17,46.82
bristleback,1.17,46.80
sven,1.04,50.94
slardar,1.01,47.24
rubick,1.00,49.19
ursa,0.97,47.42
faceless-void,0.95,49.87
spirit-breaker,0.91,45.44
dazzle,0.83,48.74
drow-ranger,0.83,46.35
windranger,0.83,46.35
batrider,0.75,54.06
legion-commander,0.74,43.61
winter-wyvern,0.59,46.66
medusa,0.54,41.60
enchantress,0.53,49.15
pangolier,0.51,50.92
invoker,0.41,49.10
hoodwink,0.41,50.67
slark,0.38,47.10
pudge,0.36,45.70
tiny,0.34,49.73
nyx-assassin,0.32,45.32
snapfire,0.22,50.57
vengeful-spirit,0.21,45.14
centaur-warrunner,0.21,43.81
shadow-shaman,0.20,44.21
razor,0.18,46.45
ember-spirit,0.16,50.05
gyrocopter,0.12,50.10
weaver,0.11,48.00
dragon-knight,0.10,48.41
magnus,0.10,48.84
puck,0.08,48.65
kunkka,0.07,45.10
marci,0.07,46.89
wraith-king,0.05,41.32
mirana,0.05,51.38
bane,0.03,47.22
dark-willow,0.00,47.91
riki,0.00,45.17
bounty-hunter,0.00,45.75
crystal-maiden,-0.02,46.91
grimstroke,-0.03,49.17
tusk,-0.09,51.84
tidehunter,-0.10,48.76
clockwerk,-0.11,44.83
ogre-magi,-0.12,45.48
shadow-demon,-0.18,48.07
witch-doctor,-0.19,44.28
monkey-king,-0.20,53.67
lifestealer,-0.20,46.70
storm-spirit,-0.22,47.42
keeper-of-the-light,-0.26,50.59
juggernaut,-0.27,45.76
outworld-destroyer,-0.27,45.72
techies,-0.32,50.48
lion,-0.32,48.16
primal-beast,-0.36,50.04
anti-mage,-0.37,48.77
void-spirit,-0.40,45.30
ancient-apparition,-0.42,44.97
silencer,-0.43,44.34
ringmaster,-0.48,45.17
zeus,-0.51,46.70
lich,-0.52,43.37
viper,-0.54,47.50
natures-prophet,-0.57,51.70
undying,-0.57,45.62
morphling,-0.60,53.52
lycan,-0.61,47.46
skywrath-mage,-0.63,46.76
elder-titan,-0.63,47.34
earthshaker,-0.65,48.82
venomancer,-0.68,48.38
enigma,-0.73,48.47
disruptor,-0.73,47.99
jakiro,-0.74,47.46
oracle,-0.75,44.71
night-stalker,-0.82,45.16
io,-0.87,48.29
earth-spirit,-0.88,49.22
dawnbreaker,-0.89,47.61
shadow-fiend,-0.90,48.83
spectre,-0.91,46.35
visage,-0.93,46.36
alchemist,-0.94,47.93
bloodseeker,-1.00,46.49
pugna,-1.02,50.28
chen,-1.02,55.54
beastmaster,-1.07,53.29
brewmaster,-1.13,49.12
troll-warlord,-1.14,48.41
death-prophet,-1.15,49.55
treant-protector,-1.18,45.65
warlock,-1.20,43.39
arc-warden,-1.22,45.70
huskar,-1.33,50.48
omniknight,-1.38,45.49
terrorblade,-1.51,53.68
chaos-knight,-1.52,49.41
luna,-1.59,46.07
muerta,-1.59,51.54
timbersaw,-1.67,48.87
doom,-1.69,53.01
queen-of-pain,-1.73,48.96
dark-seer,-1.75,48.61
abaddon,-1.77,42.47
tinker,-1.81,48.73
leshrac,-2.07,49.58
underlord,-2.32,45.75
broodmother,-2.45,49.31
sand-king,-2.71,47.03
lone-druid,-2.81,49.22
phoenix,-3.45,50.83
necrophos,-3.63,47.87
phantom-lancer,-3.70,54.65
meepo,-4.02,53.06
naga-siren,-4.31,54.68
lina,0,50
