hero,disadvantage,winrate
elder-titan,5.55,44.72
underlord,5.19,42.21
windranger,4.90,46.28
winter-wyvern,4.72,46.16
sand-king,4.67,43.85
warlock,4.42,41.94
bristleback,4.05,47.61
monkey-king,4.05,52.56
jakiro,2.87,47.66
venomancer,2.81,48.49
phoenix,2.74,48.11
lina,2.73,50.78
earthshaker,2.58,49.29
ringmaster,2.58,46.14
lich,2.40,44.55
terrorblade,2.40,52.79
viper,2.29,48.39
techies,2.23,51.31
luna,2.20,46.42
shadow-fiend,2.19,49.48
batrider,2.08,55.64
leshrac,1.91,49.08
witch-doctor,1.89,46.24
alchemist,1.86,48.76
pangolier,1.85,52.82
dazzle,1.65,51.38
dark-seer,1.60,48.81
muerta,1.57,51.65
gyrocopter,1.57,52.00
hoodwink,1.56,52.83
razor,1.56,48.80
kunkka,1.55,47.49
dark-willow,1.52,49.97
treant-protector,1.51,46.84
sven,1.40,53.80
timbersaw,1.36,49.48
naga-siren,1.31,52.09
snapfire,1.29,52.81
tidehunter,1.29,50.86
crystal-maiden,1.29,49.31
brewmaster,1.25,50.22
bloodseeker,1.24,48.01
huskar,1.19,51.36
broodmother,1.18,49.21
necrophos,1.16,46.97
phantom-assassin,1.01,49.24
sniper,0.99,50.60
enigma,0.91,50.38
marci,0.87,49.77
templar-assassin,0.74,55.88
beastmaster,0.71,54.59
ancient-apparition,0.57,47.86
tinker,0.54,49.96
omniknight,0.46,47.53
phantom-lancer,0.43,53.59
medusa,0.39,45.90
troll-warlord,0.38,50.46
axe,0.32,48.40
invoker,0.32,52.63
rubick,0.22,53.30
tusk,0.22,54.74
shadow-demon,0.02,51.45
weaver,0.00,51.66
magnus,-0.07,52.48
dawnbreaker,-0.11,50.46
clinkz,-0.11,50.18
undying,-0.14,49.03
tiny,-0.15,53.59
keeper-of-the-light,-0.15,53.80
visage,-0.20,49.42
drow-ranger,-0.29,51.11
natures-prophet,-0.31,54.68
mirana,-0.35,54.99
dragon-knight,-0.36,52.37
bounty-hunter,-0.39,49.90
chaos-knight,-0.42,51.80
ursa,-0.51,52.45
grimstroke,-0.60,53.19
chen,-0.70,58.10
zeus,-0.79,50.67
vengeful-spirit,-0.81,49.97
nyx-assassin,-1.01,50.40
pugna,-1.02,53.67
primal-beast,-1.05,54.12
slark,-1.22,52.28
outworld-destroyer,-1.30,50.56
disruptor,-1.33,52.19
io,-1.46,52.47
riki,-1.48,50.48
lycan,-1.50,52.00
slardar,-1.59,53.40
legion-commander,-1.60,49.75
lifestealer,-1.66,51.84
enchantress,-1.66,54.77
death-prophet,-1.74,53.59
earth-spirit,-1.86,53.70
ogre-magi,-1.90,50.96
queen-of-pain,-1.96,52.73
arc-warden,-2.02,50.42
spirit-breaker,-2.10,52.09
lion,-2.15,53.37
mars,-2.18,55.44
bane,-2.19,53.10
pudge,-2.24,51.73
ember-spirit,-2.31,55.87
skywrath-mage,-2.33,52.15
centaur-warrunner,-2.39,50.28
juggernaut,-2.48,51.63
doom,-2.50,56.99
meepo,-2.58,54.87
oracle,-2.60,50.49
clockwerk,-2.68,51.22
abaddon,-2.90,47.75
shadow-shaman,-3.01,51.22
morphling,-3.02,58.97
puck,-3.06,55.21
silencer,-3.34,51.10
storm-spirit,-4.13,54.88
faceless-void,-4.14,58.20
spectre,-4.30,53.41
night-stalker,-4.59,52.77
void-spirit,-4.69,53.44
wraith-king,-5.29,50.65
anti-mage,-6.43,58.16
lone-druid,0,50
