hero,disadvantage,winrate
chen,2.61,57.56
keeper-of-the-light,2.44,53.37
bristleback,2.34,51.17
kunkka,2.16,48.39
dark-seer,2.05,50.10
broodmother,2.03,50.09
rubick,2.01,53.90
lina,1.79,53.92
medusa,1.73,45.57
underlord,1.71,46.89
snapfire,1.68,54.81
shadow-demon,1.64,51.78
terrorblade,1.57,56.24
phantom-lancer,1.48,54.90
ember-spirit,1.44,54.49
nyx-assassin,1.43,49.65
sniper,1.42,52.16
sven,1.33,56.43
meepo,1.32,52.99
elder-titan,1.30,50.83
templar-assassin,1.24,58.14
beastmaster,1.21,56.74
venomancer,1.21,52.02
spectre,1.21,49.65
primal-beast,1.20,54.10
batrider,1.20,59.54
zeus,1.19,50.52
ursa,1.15,52.89
invoker,1.06,54.15
witch-doctor,1.04,48.50
drow-ranger,1.04,51.76
windranger,1.00,51.81
phoenix,0.95,51.80
lifestealer,0.94,51.06
bane,0.94,51.84
enigma,0.91,52.33
juggernaut,0.88,50.12
queen-of-pain,0.86,51.98
slark,0.84,52.24
warlock,0.80,46.67
hoodwink,0.76,56.09
mars,0.76,54.92
ringmaster,0.74,49.41
viper,0.74,51.78
muerta,0.73,54.86
monkey-king,0.71,58.68
faceless-void,0.70,55.88
gyrocopter,0.69,55.25
ancient-apparition,0.67,49.30
bounty-hunter,0.62,50.61
morphling,0.62,58.34
enchantress,0.61,54.81
techies,0.59,55.26
marci,0.56,51.99
jakiro,0.55,51.73
centaur-warrunner,0.48,48.96
magnus,0.46,54.19
pangolier,0.44,56.86
doom,0.42,56.67
dawnbreaker,0.41,51.81
pugna,0.40,54.49
spirit-breaker,0.38,51.51
tidehunter,0.35,53.94
clockwerk,0.34,49.81
earth-spirit,0.22,53.78
mirana,0.22,57.13
lich,0.21,48.01
dragon-knight,0.19,54.02
skywrath-mage,0.18,51.49
dazzle,0.17,55.13
dark-willow,0.16,53.40
natures-prophet,0.15,56.77
tinker,0.13,52.29
storm-spirit,0.10,52.71
visage,0.10,50.83
treant-protector,0.07,49.82
pudge,-0.01,51.55
alchemist,-0.02,52.57
tusk,-0.04,57.69
winter-wyvern,-0.07,53.00
sand-king,-0.08,49.86
troll-warlord,-0.08,52.89
clinkz,-0.11,52.04
bloodseeker,-0.13,51.11
death-prophet,-0.15,54.13
leshrac,-0.18,53.21
anti-mage,-0.19,54.26
earthshaker,-0.20,54.02
brewmaster,-0.23,53.85
oracle,-0.24,49.63
wraith-king,-0.26,46.97
puck,-0.28,54.74
tiny,-0.29,56.14
disruptor,-0.29,53.16
chaos-knight,-0.33,53.80
ogre-magi,-0.34,51.21
phantom-assassin,-0.34,52.38
legion-commander,-0.36,50.16
grimstroke,-0.36,55.26
shadow-fiend,-0.39,54.02
io,-0.40,53.44
necrophos,-0.40,50.04
razor,-0.41,52.68
omniknight,-0.50,50.04
outworld-destroyer,-0.50,51.54
huskar,-0.52,55.30
arc-warden,-0.52,50.54
abaddon,-0.52,46.42
crystal-maiden,-0.55,53.04
naga-siren,-0.59,56.51
lion,-0.63,54.07
vengeful-spirit,-0.75,51.69
timbersaw,-0.81,53.62
silencer,-0.87,50.25
lycan,-0.90,53.39
void-spirit,-1.00,51.48
riki,-1.08,51.85
axe,-1.24,51.57
weaver,-1.33,55.18
shadow-shaman,-1.42,51.36
lone-druid,-1.56,53.58
night-stalker,-2.14,52.07
slardar,-2.39,56.48
undying,-2.72,53.45
luna,0,50
