hero,disadvantage,winrate
troll-warlord,3.04,47.13
dark-willow,2.40,48.46
monkey-king,2.15,53.83
techies,2.15,50.78
windranger,2.13,48.19
winter-wyvern,2.09,48.17
muerta,2.02,50.58
naga-siren,2.02,50.79
enigma,1.91,48.74
axe,1.87,46.29
batrider,1.86,55.39
shadow-fiend,1.79,49.22
terrorblade,1.78,52.85
magnus,1.71,50.11
pangolier,1.55,52.58
templar-assassin,1.49,54.57
kunkka,1.48,46.90
dawnbreaker,1.42,48.27
primal-beast,1.39,51.07
earthshaker,1.35,49.82
lich,1.33,44.91
weaver,1.33,49.73
disruptor,1.28,48.96
dark-seer,1.18,48.59
ancient-apparition,1.13,46.64
slardar,1.08,50.14
crystal-maiden,1.04,48.91
ember-spirit,1.01,51.95
phantom-lancer,0.93,52.50
elder-titan,0.86,48.84
jakiro,0.82,48.98
spirit-breaker,0.79,48.66
treant-protector,0.74,46.93
chaos-knight,0.69,50.07
mirana,0.67,53.43
gyrocopter,0.66,52.31
phantom-assassin,0.64,48.94
hoodwink,0.62,53.15
ursa,0.59,50.75
bloodseeker,0.56,48.04
lion,0.52,50.32
tiny,0.50,52.35
keeper-of-the-light,0.50,52.57
tidehunter,0.49,51.04
sniper,0.46,50.45
snapfire,0.45,53.04
dragon-knight,0.45,50.98
mars,0.40,52.32
bane,0.35,49.90
slark,0.29,50.19
riki,0.28,48.08
drow-ranger,0.23,49.98
witch-doctor,0.21,47.15
clinkz,0.20,49.23
death-prophet,0.20,51.03
faceless-void,0.18,53.37
grimstroke,0.17,51.81
bristleback,0.16,50.78
medusa,0.15,45.45
sven,0.15,54.46
leshrac,0.14,50.23
tusk,0.12,54.26
ringmaster,0.10,47.83
shadow-shaman,0.09,47.57
dazzle,0.09,52.32
juggernaut,0.08,48.56
ogre-magi,0.06,48.45
bounty-hunter,0.05,48.82
centaur-warrunner,0.01,47.29
venomancer,-0.03,50.67
underlord,-0.15,46.82
zeus,-0.15,49.43
omniknight,-0.15,47.46
razor,-0.19,49.89
invoker,-0.20,52.50
luna,-0.25,48.00
pugna,-0.27,52.32
necrophos,-0.31,47.73
rubick,-0.33,53.22
sand-king,-0.34,47.90
vengeful-spirit,-0.35,48.88
lina,-0.36,53.11
silencer,-0.38,47.56
huskar,-0.39,52.32
wraith-king,-0.45,45.30
alchemist,-0.45,50.42
natures-prophet,-0.45,54.24
beastmaster,-0.48,55.27
clockwerk,-0.51,48.42
nyx-assassin,-0.54,49.29
meepo,-0.55,52.21
puck,-0.55,52.15
chen,-0.56,57.43
lycan,-0.57,50.43
legion-commander,-0.58,48.13
warlock,-0.63,46.22
viper,-0.71,50.70
storm-spirit,-0.76,50.95
undying,-0.80,49.03
spectre,-0.80,49.35
lone-druid,-0.84,50.21
phoenix,-0.86,51.08
queen-of-pain,-0.89,51.09
morphling,-0.92,56.34
void-spirit,-1.03,49.14
doom,-1.15,55.07
timbersaw,-1.15,51.31
broodmother,-1.19,50.97
brewmaster,-1.27,52.18
shadow-demon,-1.53,52.39
outworld-destroyer,-1.60,50.23
skywrath-mage,-1.63,50.83
lifestealer,-1.83,51.39
tinker,-1.87,51.76
arc-warden,-1.89,49.63
earth-spirit,-1.96,53.21
anti-mage,-2.07,53.32
visage,-2.29,50.88
abaddon,-2.29,46.46
pudge,-2.52,51.34
io,-2.65,53.07
night-stalker,-2.84,50.39
enchantress,-2.97,55.49
oracle,-3.70,50.95
marci,0,50
