hero,disadvantage,winrate
anti-mage,3.30,45.29
faceless-void,2.42,48.43
lifestealer,2.36,44.35
meepo,2.30,46.51
puck,2.04,46.81
ember-spirit,2.03,48.19
phantom-lancer,2.01,48.67
queen-of-pain,2.00,45.53
lone-druid,1.93,44.55
void-spirit,1.90,43.27
elder-titan,1.82,45.04
huskar,1.79,47.37
storm-spirit,1.75,45.66
riki,1.66,43.86
enigma,1.57,46.29
earth-spirit,1.44,46.96
bane,1.38,46.07
lycan,1.33,45.68
tinker,1.26,45.77
chen,1.24,52.89
venomancer,1.17,46.70
monkey-king,1.16,52.16
morphling,1.11,51.66
spectre,1.10,44.65
sand-king,1.10,43.64
kunkka,1.07,44.42
phantom-assassin,1.06,45.75
alchemist,1.06,46.10
phoenix,0.95,46.46
ringmaster,0.94,44.14
undying,0.88,44.53
juggernaut,0.86,44.98
sven,0.77,51.15
doom,0.72,50.51
pugna,0.71,48.57
omniknight,0.68,43.75
bloodseeker,0.58,45.21
terrorblade,0.54,51.39
bounty-hunter,0.52,45.53
tusk,0.51,51.21
dark-willow,0.41,47.68
necrophos,0.39,44.20
ancient-apparition,0.36,44.55
disruptor,0.36,47.08
wraith-king,0.34,41.63
underlord,0.32,43.41
jakiro,0.29,46.69
slardar,0.23,48.22
warlock,0.20,42.50
clockwerk,0.18,44.86
muerta,0.17,49.73
chaos-knight,0.17,47.83
leshrac,0.17,47.41
nyx-assassin,0.15,45.79
snapfire,0.12,50.68
ursa,0.12,48.45
earthshaker,0.12,48.23
death-prophet,0.08,48.39
naga-siren,0.07,50.02
lich,0.07,43.25
ogre-magi,0.02,45.68
dawnbreaker,-0.02,46.91
keeper-of-the-light,-0.05,50.40
shadow-demon,-0.09,48.15
beastmaster,-0.09,52.20
pangolier,-0.14,51.59
tidehunter,-0.15,48.94
dragon-knight,-0.16,48.81
tiny,-0.17,50.31
vengeful-spirit,-0.18,45.86
luna,-0.18,45.08
razor,-0.20,47.10
axe,-0.26,45.45
brewmaster,-0.30,48.40
dark-seer,-0.30,47.30
night-stalker,-0.31,44.97
weaver,-0.31,48.59
arc-warden,-0.34,45.23
centaur-warrunner,-0.34,44.73
treant-protector,-0.34,45.14
witch-doctor,-0.37,44.85
silencer,-0.41,44.75
dazzle,-0.44,50.13
primal-beast,-0.46,50.21
natures-prophet,-0.47,51.57
marci,-0.48,47.68
grimstroke,-0.51,49.77
oracle,-0.51,44.82
crystal-maiden,-0.56,47.68
outworld-destroyer,-0.57,46.38
visage,-0.58,46.29
shadow-shaman,-0.58,45.38
invoker,-0.60,50.16
templar-assassin,-0.62,54.08
winter-wyvern,-0.62,48.14
magnus,-0.62,49.68
gyrocopter,-0.64,50.92
clinkz,-0.67,47.34
rubick,-0.78,50.92
skywrath-mage,-0.84,47.26
techies,-0.87,51.07
broodmother,-0.91,47.91
io,-0.91,48.53
batrider,-0.96,55.61
lion,-0.96,48.92
pudge,-1.00,47.21
shadow-fiend,-1.05,49.15
viper,-1.13,48.35
medusa,-1.15,43.86
bristleback,-1.16,49.33
timbersaw,-1.18,48.55
troll-warlord,-1.19,48.65
lina,-1.29,51.31
hoodwink,-1.31,52.37
abaddon,-1.36,42.58
zeus,-1.47,47.91
enchantress,-1.74,51.55
spirit-breaker,-1.79,48.38
mirana,-1.84,53.20
sniper,-1.84,49.79
windranger,-1.89,49.20
legion-commander,-1.99,46.62
slark,-3.07,50.72
drow-ranger,-3.41,50.80
mars,0,50
