hero,disadvantage,winrate
meepo,3.07,43.03
lone-druid,2.83,41.05
nyx-assassin,2.66,40.73
axe,2.58,40.17
anti-mage,2.40,43.52
doom,2.17,46.32
bane,2.12,42.70
broodmother,2.10,42.15
chen,1.91,49.45
earthshaker,1.89,43.88
outworld-destroyer,1.80,41.38
lion,1.78,43.76
rubick,1.76,45.85
ancient-apparition,1.51,40.85
tiny,1.28,46.15
riki,1.14,41.80
troll-warlord,1.08,43.69
zeus,1.08,42.83
terrorblade,1.07,48.14
timbersaw,1.03,43.72
slark,1.02,44.05
elder-titan,1.00,43.27
visage,0.99,42.06
techies,0.99,46.51
shadow-fiend,0.97,44.55
medusa,0.94,39.23
beastmaster,0.93,48.38
io,0.92,43.94
phantom-lancer,0.92,47.11
lina,0.91,46.48
marci,0.87,43.66
shadow-shaman,0.86,41.40
skywrath-mage,0.72,43.09
puck,0.70,45.47
night-stalker,0.70,41.42
luna,0.69,41.67
ursa,0.69,45.21
sven,0.55,48.67
dragon-knight,0.48,45.53
monkey-king,0.48,50.07
abaddon,0.48,38.24
omniknight,0.47,41.37
keeper-of-the-light,0.46,47.17
slardar,0.44,45.36
tusk,0.42,48.54
hoodwink,0.42,47.93
grimstroke,0.40,46.15
muerta,0.40,46.80
ogre-magi,0.35,42.76
vengeful-spirit,0.34,42.74
tinker,0.31,44.09
chaos-knight,0.29,45.07
enigma,0.27,44.96
centaur-warrunner,0.17,41.69
pugna,0.15,46.47
oracle,0.13,41.59
necrophos,0.12,41.88
dazzle,0.11,46.87
bounty-hunter,0.03,43.42
naga-siren,-0.02,47.43
death-prophet,-0.03,45.85
earth-spirit,-0.05,45.81
legion-commander,-0.14,42.28
winter-wyvern,-0.16,45.01
gyrocopter,-0.18,47.75
lycan,-0.18,44.59
drow-ranger,-0.23,45.00
tidehunter,-0.25,46.37
storm-spirit,-0.30,45.06
snapfire,-0.31,48.39
faceless-void,-0.32,48.46
magnus,-0.39,46.76
mirana,-0.40,49.06
windranger,-0.45,45.18
crystal-maiden,-0.45,44.93
dark-seer,-0.46,44.84
pudge,-0.47,44.11
ringmaster,-0.48,42.92
void-spirit,-0.52,43.16
dark-willow,-0.57,45.99
batrider,-0.59,52.43
alchemist,-0.66,45.19
templar-assassin,-0.66,51.35
huskar,-0.68,47.20
lich,-0.69,41.43
disruptor,-0.70,45.52
leshrac,-0.70,45.67
shadow-demon,-0.80,46.19
lifestealer,-0.84,44.96
sand-king,-0.85,42.94
jakiro,-0.89,45.20
invoker,-0.96,47.77
witch-doctor,-0.97,42.84
queen-of-pain,-0.97,45.75
primal-beast,-1.00,48.05
mars,-1.08,48.34
wraith-king,-1.08,40.47
venomancer,-1.11,46.32
arc-warden,-1.11,43.34
kunkka,-1.12,44.03
undying,-1.14,43.93
treant-protector,-1.18,43.36
weaver,-1.37,46.97
enchantress,-1.38,48.48
phantom-assassin,-1.59,45.55
dawnbreaker,-1.61,45.92
spectre,-1.63,44.75
natures-prophet,-1.65,49.99
spirit-breaker,-1.67,45.60
silencer,-1.72,43.47
clockwerk,-1.79,44.25
pangolier,-1.86,50.60
ember-spirit,-2.02,49.59
warlock,-2.08,42.19
underlord,-2.13,43.36
bristleback,-2.17,47.66
brewmaster,-2.37,47.87
phoenix,-2.52,47.31
clinkz,-2.65,46.68
juggernaut,-2.72,45.81
bloodseeker,-2.92,46.16
viper,-3.05,47.60
sniper,-3.12,48.27
razor,-3.23,47.49
morphling,0,50
