hero,disadvantage,winrate
enchantress,3.10,46.80
centaur-warrunner,3.02,41.91
legion-commander,2.36,42.87
spectre,2.26,43.87
pudge,2.23,44.62
beastmaster,2.21,49.82
wraith-king,2.13,40.45
nyx-assassin,1.93,44.38
lina,1.78,48.46
skywrath-mage,1.77,44.97
shadow-demon,1.70,46.57
kunkka,1.67,44.22
medusa,1.67,41.54
axe,1.62,44.04
invoker,1.62,48.20
broodmother,1.52,45.70
anti-mage,1.43,47.34
oracle,1.43,43.32
chen,1.33,52.72
natures-prophet,1.20,49.99
snapfire,1.19,49.67
warlock,1.16,42.03
clinkz,1.14,45.76
ogre-magi,1.13,44.94
primal-beast,1.12,48.72
lich,1.02,42.78
bane,1.02,46.68
bristleback,1.02,47.38
ringmaster,0.97,44.50
leshrac,0.90,46.90
zeus,0.88,45.92
earth-spirit,0.78,47.85
lion,0.64,47.64
clockwerk,0.64,44.79
phantom-lancer,0.61,50.19
arc-warden,0.58,44.66
sniper,0.54,47.81
night-stalker,0.49,44.58
techies,0.48,49.81
bloodseeker,0.37,45.71
terrorblade,0.36,51.59
spirit-breaker,0.34,46.57
naga-siren,0.33,49.86
outworld-destroyer,0.33,45.79
grimstroke,0.32,49.06
doom,0.32,50.94
rubick,0.30,50.02
hoodwink,0.26,50.85
pugna,0.26,49.17
batrider,0.25,54.20
mirana,0.17,51.25
templar-assassin,0.15,53.20
luna,0.15,45.14
alchemist,0.15,47.27
enigma,0.04,48.06
queen-of-pain,0.03,47.66
gyrocopter,0.00,50.34
crystal-maiden,-0.01,47.37
ancient-apparition,-0.02,45.29
jakiro,-0.04,47.26
shadow-fiend,-0.06,48.39
shadow-shaman,-0.08,45.25
underlord,-0.08,44.29
chaos-knight,-0.08,48.27
phantom-assassin,-0.08,47.07
mars,-0.17,50.25
void-spirit,-0.23,45.83
meepo,-0.29,49.33
keeper-of-the-light,-0.38,50.81
magnus,-0.40,49.59
earthshaker,-0.40,48.90
tinker,-0.45,47.77
dark-seer,-0.46,47.71
death-prophet,-0.46,49.10
dark-willow,-0.46,48.74
lifestealer,-0.47,47.47
lycan,-0.48,47.78
visage,-0.50,46.56
morphling,-0.51,53.20
razor,-0.61,47.75
storm-spirit,-0.63,48.26
dazzle,-0.65,50.42
undying,-0.65,46.37
timbersaw,-0.66,48.25
tiny,-0.66,50.85
silencer,-0.68,45.36
disruptor,-0.76,48.42
windranger,-0.76,48.33
pangolier,-0.78,52.22
huskar,-0.79,50.10
dragon-knight,-0.82,49.60
abaddon,-0.88,42.66
sven,-0.89,52.84
viper,-0.90,48.31
riki,-0.95,46.78
faceless-void,-0.97,51.84
treant-protector,-1.01,46.18
vengeful-spirit,-1.08,47.07
bounty-hunter,-1.12,47.44
winter-wyvern,-1.19,48.91
brewmaster,-1.24,49.54
ursa,-1.29,49.99
drow-ranger,-1.29,48.87
venomancer,-1.30,49.34
witch-doctor,-1.38,46.15
elder-titan,-1.43,48.62
dawnbreaker,-1.45,48.62
io,-1.48,49.28
lone-druid,-1.54,48.35
weaver,-1.80,50.20
tidehunter,-1.82,50.74
phoenix,-1.84,49.48
omniknight,-1.91,46.73
sand-king,-1.98,46.95
marci,-2.02,49.43
slardar,-2.10,50.68
tusk,-2.24,53.88
juggernaut,-2.36,48.33
puck,-2.41,51.35
ember-spirit,-2.42,52.72
slark,-2.44,50.24
monkey-king,-2.98,56.09
troll-warlord,-3.22,50.85
necrophos,-5.01,49.69
muerta,0,50
