hero,disadvantage,winrate
shadow-demon,4.65,48.83
doom,3.55,53.00
keeper-of-the-light,3.05,52.59
ancient-apparition,3.01,47.46
pugna,3.00,51.64
batrider,2.92,56.87
faceless-void,2.59,53.58
phantom-lancer,2.36,53.67
beastmaster,2.25,55.06
monkey-king,2.09,56.45
enigma,2.08,51.22
outworld-destroyer,2.06,49.24
huskar,2.05,52.49
muerta,1.98,53.27
leshrac,1.90,51.09
death-prophet,1.90,51.94
bloodseeker,1.75,49.49
brewmaster,1.70,51.78
earthshaker,1.69,52.12
ogre-magi,1.69,49.55
undying,1.67,49.25
bounty-hunter,1.58,49.94
templar-assassin,1.56,57.04
bane,1.35,51.55
silencer,1.31,48.56
witch-doctor,1.31,48.78
slardar,1.30,52.53
sven,1.26,55.91
primal-beast,1.21,53.87
tinker,1.21,51.29
natures-prophet,1.21,55.20
dark-seer,1.19,51.24
pangolier,1.14,55.60
elder-titan,1.01,51.35
treant-protector,1.01,49.34
warlock,0.95,47.34
venomancer,0.91,52.36
shadow-fiend,0.90,52.68
lina,0.89,54.51
viper,0.89,51.75
phoenix,0.87,51.98
winter-wyvern,0.79,52.12
razor,0.78,51.57
weaver,0.77,52.90
magnus,0.75,53.68
necrophos,0.68,49.44
meepo,0.60,53.63
naga-siren,0.56,54.91
drow-ranger,0.56,52.29
crystal-maiden,0.54,52.02
chaos-knight,0.52,52.85
windranger,0.52,52.33
luna,0.51,49.96
chen,0.50,58.83
queen-of-pain,0.48,52.42
io,0.47,52.52
juggernaut,0.47,50.82
terrorblade,0.45,56.73
sand-king,0.38,49.88
dark-willow,0.38,53.11
rubick,0.33,55.19
bristleback,0.32,53.24
dazzle,0.28,54.73
clinkz,0.27,51.80
tiny,0.24,55.19
visage,0.24,50.98
dawnbreaker,0.23,52.13
medusa,0.23,48.07
enchantress,0.18,54.92
broodmother,0.16,52.25
marci,0.11,52.54
alchemist,0.04,52.57
nyx-assassin,-0.04,51.45
techies,-0.05,55.54
tusk,-0.07,57.01
grimstroke,-0.09,54.67
dragon-knight,-0.12,54.13
arc-warden,-0.20,50.59
riki,-0.20,51.20
zeus,-0.21,52.12
troll-warlord,-0.23,53.08
underlord,-0.28,49.63
sniper,-0.30,53.75
gyrocopter,-0.30,55.87
snapfire,-0.38,56.45
jakiro,-0.39,52.77
ursa,-0.39,54.32
pudge,-0.41,52.11
timbersaw,-0.42,53.22
invoker,-0.44,55.32
lone-druid,-0.47,52.47
ringmaster,-0.49,51.06
anti-mage,-0.52,54.41
lifestealer,-0.53,52.71
vengeful-spirit,-0.55,51.72
earth-spirit,-0.55,54.38
disruptor,-0.55,53.41
morphling,-0.67,58.63
hoodwink,-0.73,57.04
kunkka,-0.73,51.74
night-stalker,-0.76,50.98
axe,-0.80,51.44
puck,-0.83,55.02
lich,-0.83,49.70
spirit-breaker,-0.83,52.86
tidehunter,-0.84,54.97
lycan,-0.88,53.38
mars,-0.97,56.25
ember-spirit,-1.04,56.58
lion,-1.04,54.35
phantom-assassin,-1.11,53.19
mirana,-1.21,57.81
abaddon,-1.24,48.13
centaur-warrunner,-1.29,51.22
shadow-shaman,-1.35,51.62
skywrath-mage,-1.46,53.29
slark,-1.64,54.67
clockwerk,-1.72,52.27
storm-spirit,-1.90,54.69
oracle,-1.99,51.88
wraith-king,-2.09,49.56
void-spirit,-2.13,52.89
spectre,-2.60,53.74
legion-commander,-3.40,53.44
omniknight,0,50
