hero,disadvantage,winrate
phantom-lancer,4.12,50.67
templar-assassin,3.74,53.65
broodmother,3.68,47.41
arc-warden,3.64,45.44
chaos-knight,2.79,49.33
pangolier,2.67,52.81
medusa,2.51,44.50
rubick,2.45,52.00
nyx-assassin,2.43,47.76
naga-siren,2.08,52.10
lycan,2.06,49.13
huskar,2.03,51.29
visage,1.98,47.94
brewmaster,1.98,50.21
silencer,1.92,46.68
puck,1.86,51.16
shadow-shaman,1.81,47.28
beastmaster,1.72,54.35
bristleback,1.64,50.72
wraith-king,1.64,44.67
marci,1.61,49.77
keeper-of-the-light,1.53,52.91
phantom-assassin,1.46,49.55
storm-spirit,1.45,50.14
batrider,1.39,57.23
enchantress,1.31,52.56
lone-druid,1.30,49.43
clinkz,1.20,49.61
death-prophet,1.19,51.42
terrorblade,1.08,54.88
anti-mage,1.04,51.66
enigma,1.00,51.03
lifestealer,0.89,50.05
meepo,0.78,52.20
natures-prophet,0.73,54.46
night-stalker,0.72,48.21
magnus,0.72,52.47
luna,0.71,48.47
io,0.65,51.09
warlock,0.64,46.33
crystal-maiden,0.62,50.69
pugna,0.61,52.81
chen,0.59,57.52
zeus,0.58,50.11
ursa,0.57,52.14
dark-willow,0.55,51.69
kunkka,0.52,49.23
mars,0.48,53.62
grimstroke,0.47,52.89
skywrath-mage,0.46,50.14
ogre-magi,0.43,49.49
hoodwink,0.37,54.77
sand-king,0.36,48.60
tusk,0.35,55.40
riki,0.34,49.40
phoenix,0.32,51.28
slardar,0.29,52.30
undying,0.28,49.34
sniper,0.24,52.02
tinker,0.23,51.01
witch-doctor,0.23,48.52
disruptor,0.22,51.39
earthshaker,0.20,52.29
tiny,0.17,54.06
ember-spirit,0.16,54.19
treant-protector,0.14,48.91
venomancer,0.13,51.89
invoker,0.12,53.58
shadow-demon,0.10,52.12
bane,0.05,51.61
razor,0.03,51.05
earth-spirit,0.03,52.56
sven,0.03,55.98
pudge,0.00,50.50
alchemist,-0.01,51.36
vengeful-spirit,-0.01,49.92
queen-of-pain,-0.02,51.65
elder-titan,-0.04,51.15
doom,-0.10,55.41
spirit-breaker,-0.13,50.94
spectre,-0.14,50.08
lina,-0.14,54.28
windranger,-0.18,51.73
muerta,-0.21,54.22
void-spirit,-0.26,49.75
ringmaster,-0.31,49.59
viper,-0.34,51.72
bloodseeker,-0.34,50.32
shadow-fiend,-0.36,52.63
dazzle,-0.47,54.25
weaver,-0.48,52.89
jakiro,-0.48,51.61
centaur-warrunner,-0.61,49.27
dawnbreaker,-0.62,51.72
gyrocopter,-0.65,55.02
techies,-0.66,54.93
bounty-hunter,-0.68,50.92
drow-ranger,-0.75,52.32
faceless-void,-0.77,55.69
lion,-0.80,52.91
dark-seer,-0.83,52.02
snapfire,-0.87,55.74
juggernaut,-0.94,50.91
monkey-king,-0.98,58.28
mirana,-0.99,56.41
lich,-1.01,48.58
clockwerk,-1.02,50.31
dragon-knight,-1.17,53.92
primal-beast,-1.32,55.20
necrophos,-1.38,50.15
legion-commander,-1.51,50.39
slark,-1.72,53.52
morphling,-1.85,58.62
ancient-apparition,-1.88,51.01
winter-wyvern,-1.94,53.64
omniknight,-2.04,50.76
tidehunter,-2.27,55.20
oracle,-2.29,50.91
troll-warlord,-2.60,54.22
leshrac,-2.71,54.52
underlord,-2.71,50.75
abaddon,-2.94,48.47
axe,-3.23,52.45
timbersaw,-4.45,55.92
outworld-destroyer,0,50
