hero,disadvantage,winrate
monkey-king,4.09,47.82
huskar,3.60,44.35
winter-wyvern,3.32,43.01
troll-warlord,2.86,43.39
drow-ranger,2.44,43.89
weaver,2.41,44.71
batrider,2.34,50.70
bloodseeker,2.29,42.38
puck,1.94,45.70
gyrocopter,1.90,47.03
silencer,1.88,41.48
morphling,1.88,49.41
shadow-fiend,1.70,45.33
ember-spirit,1.62,47.29
grimstroke,1.58,46.39
shadow-shaman,1.48,42.35
storm-spirit,1.47,44.80
treant-protector,1.43,42.38
spirit-breaker,1.43,44.11
templar-assassin,1.37,50.54
slark,1.30,45.24
sven,1.29,49.23
io,1.21,45.18
tinker,1.16,44.75
dragon-knight,1.14,46.31
vengeful-spirit,1.11,43.53
tiny,1.00,47.80
chen,0.98,51.60
hoodwink,0.95,48.75
faceless-void,0.93,48.56
slardar,0.92,46.30
clinkz,0.91,44.58
phantom-lancer,0.85,48.50
luna,0.78,43.15
muerta,0.78,47.80
timbersaw,0.69,45.54
axe,0.64,43.54
mirana,0.61,49.39
tusk,0.61,49.65
night-stalker,0.60,43.08
ogre-magi,0.57,44.05
bristleback,0.51,46.45
earthshaker,0.39,46.73
juggernaut,0.38,44.36
leshrac,0.37,46.01
pugna,0.30,47.69
alchemist,0.29,45.71
naga-siren,0.26,48.50
sand-king,0.24,43.45
mars,0.24,48.41
bounty-hunter,0.23,44.71
ursa,0.20,47.13
riki,0.18,44.26
dawnbreaker,0.14,45.62
snapfire,0.14,49.27
viper,0.08,45.96
venomancer,0.08,46.58
techies,0.05,48.80
keeper-of-the-light,0.03,48.96
natures-prophet,0.00,49.69
razor,0.00,45.74
queen-of-pain,-0.04,46.30
earth-spirit,-0.08,47.28
meepo,-0.14,47.76
undying,-0.16,44.49
enchantress,-0.21,48.65
dazzle,-0.23,48.59
windranger,-0.24,46.45
magnus,-0.25,48.00
enigma,-0.25,46.91
terrorblade,-0.28,50.79
legion-commander,-0.34,44.01
rubick,-0.39,49.22
lina,-0.39,49.08
chaos-knight,-0.40,47.17
necrophos,-0.40,43.93
lion,-0.40,47.17
dark-willow,-0.41,47.25
witch-doctor,-0.42,43.85
jakiro,-0.44,46.23
underlord,-0.45,43.26
skywrath-mage,-0.50,45.77
primal-beast,-0.54,48.91
nyx-assassin,-0.55,45.36
beastmaster,-0.56,51.17
doom,-0.57,50.36
zeus,-0.58,45.90
invoker,-0.60,48.83
disruptor,-0.63,46.87
phantom-assassin,-0.65,46.18
sniper,-0.66,47.48
phoenix,-0.78,46.98
oracle,-0.79,44.12
clockwerk,-0.82,44.80
crystal-maiden,-0.84,46.75
brewmaster,-0.87,47.74
void-spirit,-0.89,45.07
elder-titan,-0.93,46.67
ringmaster,-0.96,44.93
omniknight,-0.98,44.40
shadow-demon,-1.01,47.83
spectre,-1.03,45.64
pudge,-1.04,46.09
bane,-1.10,47.34
kunkka,-1.13,45.54
lifestealer,-1.16,46.74
death-prophet,-1.21,48.42
dark-seer,-1.25,47.06
anti-mage,-1.26,48.50
marci,-1.43,47.42
visage,-1.44,46.08
warlock,-1.69,43.41
ancient-apparition,-1.74,45.56
wraith-king,-1.76,42.73
lone-druid,-1.76,47.16
centaur-warrunner,-1.87,45.22
abaddon,-2.02,42.39
lich,-2.21,44.49
medusa,-2.29,43.99
tidehunter,-2.33,49.82
lycan,-2.45,48.33
outworld-destroyer,-2.55,47.19
broodmother,-2.81,48.57
arc-warden,-3.43,47.26
pangolier,0,50
