hero,disadvantage,winrate
lina,3.55,49.17
juggernaut,3.34,45.29
morphling,2.48,52.69
huskar,2.44,49.27
batrider,2.38,54.61
skywrath-mage,2.33,46.72
keeper-of-the-light,2.31,50.51
bloodseeker,2.30,46.08
lifestealer,2.25,47.10
mirana,2.04,51.87
clinkz,1.99,47.23
muerta,1.86,50.52
puck,1.61,49.80
death-prophet,1.60,49.39
legion-commander,1.60,45.88
tidehunter,1.58,49.73
tinker,1.57,48.07
abaddon,1.45,42.60
drow-ranger,1.41,48.63
storm-spirit,1.37,48.64
oracle,1.36,45.65
meepo,1.33,50.07
natures-prophet,1.28,52.32
jakiro,1.20,48.41
silencer,1.10,45.91
ogre-magi,1.01,47.35
faceless-void,0.99,52.34
weaver,0.96,49.88
pangolier,0.90,53.02
doom,0.90,52.78
lion,0.89,49.77
alchemist,0.87,48.89
marci,0.87,48.92
arc-warden,0.86,46.66
visage,0.86,47.50
grimstroke,0.84,50.91
io,0.83,49.32
naga-siren,0.80,51.81
nyx-assassin,0.76,47.81
ursa,0.74,50.38
queen-of-pain,0.74,49.33
void-spirit,0.69,47.21
slark,0.64,49.63
medusa,0.63,44.80
ember-spirit,0.57,52.16
sniper,0.55,50.15
primal-beast,0.55,51.70
invoker,0.54,51.58
riki,0.52,47.65
enchantress,0.38,51.89
viper,0.35,49.45
chen,0.35,56.18
pugna,0.27,51.55
enigma,0.26,50.20
necrophos,0.24,47.00
bane,0.18,49.87
centaur-warrunner,0.17,46.94
underlord,0.15,46.35
disruptor,0.14,49.88
snapfire,0.13,53.19
bristleback,0.13,50.60
ringmaster,0.12,47.62
phantom-lancer,0.10,53.11
leshrac,0.01,50.15
timbersaw,0.01,49.95
earth-spirit,-0.05,51.04
sven,-0.07,54.43
zeus,-0.11,49.18
techies,-0.11,52.78
brewmaster,-0.12,50.77
hoodwink,-0.13,53.64
dark-willow,-0.13,50.77
shadow-shaman,-0.14,47.60
spirit-breaker,-0.26,49.47
shadow-demon,-0.26,50.89
pudge,-0.27,49.15
outworld-destroyer,-0.30,48.72
gyrocopter,-0.31,53.05
beastmaster,-0.33,54.86
earthshaker,-0.35,51.21
witch-doctor,-0.35,47.49
magnus,-0.47,52.05
windranger,-0.50,50.44
terrorblade,-0.55,54.94
undying,-0.57,48.61
ancient-apparition,-0.58,48.13
venomancer,-0.60,51.02
anti-mage,-0.61,51.68
vengeful-spirit,-0.63,48.94
shadow-fiend,-0.64,51.28
broodmother,-0.65,50.21
dark-seer,-0.65,50.25
troll-warlord,-0.67,50.67
luna,-0.68,48.20
winter-wyvern,-0.76,50.84
clockwerk,-0.79,48.49
elder-titan,-0.80,50.33
kunkka,-0.81,48.96
tiny,-0.84,53.44
omniknight,-0.89,48.02
dazzle,-0.91,53.08
bounty-hunter,-0.96,49.62
crystal-maiden,-1.03,50.70
mars,-1.08,53.54
lich,-1.09,47.09
dragon-knight,-1.15,52.31
spectre,-1.18,49.52
razor,-1.20,50.68
tusk,-1.46,55.56
slardar,-1.46,52.44
dawnbreaker,-1.49,51.01
monkey-king,-1.51,57.15
axe,-1.55,49.29
rubick,-1.57,54.13
phantom-assassin,-1.94,51.13
sand-king,-1.96,49.24
lycan,-2.13,51.81
warlock,-2.20,47.57
night-stalker,-2.20,49.55
treant-protector,-2.69,50.15
lone-druid,-2.73,51.89
wraith-king,-2.74,47.34
chaos-knight,-3.11,53.67
templar-assassin,-3.14,58.96
phoenix,0,50
