hero,disadvantage,winrate
batrider,2.92,57.01
beastmaster,2.90,53.92
ursa,2.74,49.78
tusk,2.62,53.72
chen,2.51,57.25
monkey-king,2.49,56.02
terrorblade,2.30,54.47
sven,2.22,54.54
marci,2.16,48.66
magnus,2.13,50.97
pangolier,2.12,53.91
lycan,2.10,48.47
slardar,1.91,50.53
morphling,1.89,55.89
chaos-knight,1.86,50.00
weaver,1.85,50.40
mirana,1.84,54.33
timbersaw,1.81,49.32
doom,1.80,54.04
lone-druid,1.74,48.27
puck,1.65,51.32
grimstroke,1.60,51.86
mars,1.57,52.78
anti-mage,1.47,51.11
meepo,1.45,51.60
earth-spirit,1.41,51.03
broodmother,1.41,49.19
hoodwink,1.31,54.46
bristleback,1.21,51.01
snapfire,1.21,54.16
ember-spirit,1.20,53.53
void-spirit,1.17,47.35
storm-spirit,1.11,50.14
lifestealer,1.07,49.32
elder-titan,1.06,49.54
enigma,1.05,50.75
primal-beast,1.05,53.05
invoker,1.02,52.95
dawnbreaker,1.01,49.60
death-prophet,0.94,51.67
dazzle,0.90,53.23
kunkka,0.87,48.08
tidehunter,0.85,52.15
clockwerk,0.84,47.47
earthshaker,0.84,51.58
tiny,0.82,53.68
templar-assassin,0.78,57.93
disruptor,0.77,50.56
keeper-of-the-light,0.74,54.25
naga-siren,0.74,53.96
dragon-knight,0.73,52.13
queen-of-pain,0.71,50.68
undying,0.61,48.12
phantom-lancer,0.61,54.81
visage,0.59,48.57
shadow-fiend,0.56,51.65
dark-willow,0.53,51.68
phoenix,0.49,50.85
faceless-void,0.49,55.01
io,0.43,51.15
troll-warlord,0.40,50.94
gyrocopter,0.39,54.43
wraith-king,0.39,44.17
alchemist,0.38,50.66
ringmaster,0.38,48.08
natures-prophet,0.38,55.49
vengeful-spirit,0.37,48.83
skywrath-mage,0.37,49.72
dark-seer,0.35,50.48
night-stalker,0.34,47.66
leshrac,0.30,51.28
huskar,0.28,53.29
techies,0.27,54.36
lina,0.27,54.31
slark,0.27,51.45
shadow-demon,0.19,52.03
centaur-warrunner,0.16,47.47
brewmaster,0.10,52.18
silencer,0.07,47.47
juggernaut,0.06,49.33
enchantress,0.00,54.44
outworld-destroyer,-0.12,49.50
lion,-0.14,52.25
luna,-0.15,48.45
witch-doctor,-0.17,47.91
omniknight,-0.17,47.89
rubick,-0.18,55.01
venomancer,-0.21,52.23
spirit-breaker,-0.23,50.65
razor,-0.25,51.04
medusa,-0.26,45.79
windranger,-0.28,51.66
winter-wyvern,-0.32,51.89
jakiro,-0.34,51.21
nyx-assassin,-0.46,50.09
bounty-hunter,-0.51,50.27
ancient-apparition,-0.65,49.00
zeus,-0.71,50.99
bane,-0.72,52.32
treant-protector,-0.73,48.93
bloodseeker,-0.75,50.21
arc-warden,-0.75,49.07
warlock,-0.79,46.22
muerta,-0.81,55.38
clinkz,-0.82,51.35
sand-king,-0.83,48.91
ogre-magi,-0.84,50.13
riki,-0.85,50.01
oracle,-0.97,48.66
lich,-0.97,47.27
spectre,-1.19,50.63
abaddon,-1.24,44.92
tinker,-1.32,52.52
crystal-maiden,-1.34,52.51
shadow-shaman,-1.34,49.59
pugna,-1.47,55.38
underlord,-1.63,48.71
drow-ranger,-1.67,53.19
axe,-1.70,50.47
viper,-1.72,53.07
legion-commander,-1.78,50.00
phantom-assassin,-1.89,52.49
necrophos,-2.19,50.26
sniper,-2.38,54.59
pudge,0,50
