hero,disadvantage,winrate
pudge,2.83,44.62
silencer,2.71,42.62
huskar,2.62,47.29
anti-mage,2.08,47.27
io,2.05,46.31
spirit-breaker,1.97,45.56
chaos-knight,1.67,47.09
night-stalker,1.61,44.01
medusa,1.59,42.14
nyx-assassin,1.57,45.27
sniper,1.57,47.45
wraith-king,1.54,41.52
magnus,1.52,48.27
sven,1.50,51.04
drow-ranger,1.41,46.85
slardar,1.31,47.90
earthshaker,1.30,47.86
faceless-void,1.19,50.32
vengeful-spirit,1.14,45.45
enigma,1.11,47.54
lone-druid,1.05,46.33
lina,1.05,49.72
primal-beast,1.02,49.39
shadow-fiend,0.99,47.97
batrider,0.94,54.17
snapfire,0.85,50.58
phantom-lancer,0.80,50.58
ogre-magi,0.78,45.82
skywrath-mage,0.76,46.49
visage,0.71,45.90
mirana,0.70,51.33
beastmaster,0.67,51.96
naga-siren,0.65,50.13
weaver,0.64,48.39
terrorblade,0.61,51.92
brewmaster,0.60,48.24
ancient-apparition,0.58,45.24
centaur-warrunner,0.54,44.84
death-prophet,0.52,48.68
enchantress,0.51,49.94
ursa,0.50,48.81
dragon-knight,0.49,48.91
warlock,0.47,43.23
natures-prophet,0.46,51.27
dawnbreaker,0.45,47.28
hoodwink,0.44,51.25
lycan,0.42,47.42
bristleback,0.41,48.52
shadow-shaman,0.37,45.36
marci,0.35,47.65
witch-doctor,0.34,45.10
tiny,0.34,50.45
luna,0.32,45.51
doom,0.32,51.52
clockwerk,0.30,45.67
zeus,0.29,47.03
viper,0.27,47.74
clinkz,0.27,47.18
bounty-hunter,0.26,46.64
riki,0.22,46.17
alchemist,0.08,47.89
lion,0.08,48.71
arc-warden,0.07,45.71
grimstroke,0.07,49.87
gyrocopter,0.04,50.87
leshrac,-0.06,48.43
phoenix,-0.24,48.45
morphling,-0.24,53.52
muerta,-0.25,50.83
pangolier,-0.26,52.30
invoker,-0.26,50.51
keeper-of-the-light,-0.34,51.36
dazzle,-0.35,50.70
dark-seer,-0.36,48.16
lifestealer,-0.43,47.99
spectre,-0.46,47.04
oracle,-0.46,45.74
puck,-0.54,50.10
phantom-assassin,-0.54,48.05
outworld-destroyer,-0.56,47.20
legion-commander,-0.58,46.18
techies,-0.59,51.43
chen,-0.68,55.36
dark-willow,-0.71,49.54
tusk,-0.73,53.00
elder-titan,-0.74,48.47
rubick,-0.74,51.55
mars,-0.77,51.42
bloodseeker,-0.80,47.42
bane,-0.81,49.06
kunkka,-0.81,47.19
broodmother,-0.91,48.67
underlord,-0.92,45.66
razor,-1.00,48.69
sand-king,-1.05,46.61
ringmaster,-1.07,46.98
abaddon,-1.09,43.40
void-spirit,-1.10,47.24
lich,-1.15,45.40
juggernaut,-1.17,47.77
jakiro,-1.17,48.89
crystal-maiden,-1.23,49.10
earth-spirit,-1.25,50.44
ember-spirit,-1.26,52.16
meepo,-1.41,51.03
windranger,-1.43,49.54
tinker,-1.45,49.32
queen-of-pain,-1.55,49.71
axe,-1.57,47.55
undying,-1.57,47.82
treant-protector,-1.81,47.52
slark,-1.83,50.22
disruptor,-1.83,50.04
templar-assassin,-1.87,55.82
venomancer,-1.91,50.51
monkey-king,-1.96,55.71
winter-wyvern,-2.56,50.85
shadow-demon,-2.68,51.50
necrophos,-2.76,48.14
timbersaw,-2.78,50.89
troll-warlord,-2.85,51.06
omniknight,-2.99,48.36
storm-spirit,-3.23,51.37
tidehunter,-3.39,52.88
pugna,0,50
