hero,disadvantage,winrate
bloodseeker,2.52,48.11
elder-titan,2.07,49.76
batrider,2.04,57.97
anti-mage,1.92,51.70
lycan,1.87,50.12
chen,1.85,57.71
bristleback,1.85,51.39
sven,1.70,55.45
tinker,1.65,50.40
pangolier,1.61,55.07
keeper-of-the-light,1.54,53.92
death-prophet,1.53,51.96
windranger,1.48,51.03
bounty-hunter,1.42,49.56
pugna,1.37,53.02
phantom-assassin,1.37,50.43
broodmother,1.35,50.58
puck,1.35,52.67
phantom-lancer,1.35,54.46
brewmaster,1.32,51.81
dazzle,1.30,53.53
alchemist,1.26,50.93
ursa,1.25,52.43
natures-prophet,1.22,55.15
doom,1.22,55.30
juggernaut,1.19,49.60
morphling,1.12,57.08
io,1.11,51.51
templar-assassin,1.10,57.67
shadow-demon,1.06,52.15
enigma,1.05,51.87
weaver,1.01,52.36
snapfire,0.99,55.10
faceless-void,0.99,55.05
magnus,0.93,53.32
earthshaker,0.91,52.56
gyrocopter,0.91,54.55
venomancer,0.88,52.06
invoker,0.88,53.93
beastmaster,0.82,56.61
ancient-apparition,0.81,49.00
techies,0.81,54.59
huskar,0.79,53.50
undying,0.79,49.53
hoodwink,0.78,55.59
earth-spirit,0.77,52.83
lifestealer,0.76,50.99
queen-of-pain,0.74,51.82
bane,0.69,51.80
nyx-assassin,0.66,50.25
winter-wyvern,0.66,51.90
zeus,0.62,50.87
slardar,0.56,52.97
rubick,0.54,54.94
night-stalker,0.51,49.07
clinkz,0.51,51.11
tusk,0.48,56.71
ember-spirit,0.45,55.07
lina,0.45,54.83
timbersaw,0.42,52.03
riki,0.41,50.07
omniknight,0.35,48.95
outworld-destroyer,0.35,50.41
terrorblade,0.33,56.90
lion,0.33,52.82
oracle,0.33,48.86
disruptor,0.26,52.26
dark-seer,0.26,51.78
sniper,0.21,53.00
kunkka,0.19,50.28
enchantress,0.16,54.81
tidehunter,0.15,53.76
vengeful-spirit,0.15,50.52
viper,0.14,52.11
phoenix,0.14,52.38
marci,0.12,52.17
shadow-fiend,0.10,53.16
razor,0.07,51.87
monkey-king,0.05,58.69
leshrac,0.04,52.66
void-spirit,0.04,50.16
dark-willow,0.03,53.18
skywrath-mage,0.02,51.39
abaddon,-0.01,45.92
arc-warden,-0.07,49.89
wraith-king,-0.08,46.81
ogre-magi,-0.09,50.74
crystal-maiden,-0.10,52.27
necrophos,-0.11,49.60
storm-spirit,-0.17,52.67
mirana,-0.20,56.99
sand-king,-0.24,49.86
spirit-breaker,-0.25,51.89
warlock,-0.28,47.76
tiny,-0.29,55.68
drow-ranger,-0.30,52.78
primal-beast,-0.31,55.28
naga-siren,-0.35,55.71
muerta,-0.36,55.51
grimstroke,-0.37,54.85
meepo,-0.39,54.44
clockwerk,-0.40,50.42
witch-doctor,-0.42,49.81
centaur-warrunner,-0.46,49.79
jakiro,-0.50,52.52
spectre,-0.50,51.22
chaos-knight,-0.51,53.60
shadow-shaman,-0.53,50.26
mars,-0.54,55.87
silencer,-0.56,49.79
pudge,-0.68,51.93
medusa,-0.72,48.23
visage,-0.75,51.51
dawnbreaker,-0.75,52.76
treant-protector,-0.76,50.52
luna,-0.78,50.59
underlord,-0.84,49.50
lich,-0.96,49.13
troll-warlord,-1.19,53.71
axe,-1.21,51.33
dragon-knight,-1.50,55.33
legion-commander,-1.54,51.15
slark,-1.85,54.63
lone-druid,-2.14,53.86
ringmaster,0,50
