hero,disadvantage,winrate
templar-assassin,2.54,50.92
ember-spirit,1.82,48.08
ursa,1.58,46.47
tusk,1.50,50.12
keeper-of-the-light,1.47,48.53
batrider,1.32,53.42
earth-spirit,1.30,46.57
hoodwink,1.09,49.84
elder-titan,1.07,45.16
lifestealer,1.04,45.00
drow-ranger,1.00,45.84
dazzle,0.96,48.39
monkey-king,0.95,52.50
meepo,0.92,47.50
huskar,0.90,47.88
phoenix,0.90,45.88
razor,0.89,45.35
phantom-assassin,0.88,45.24
legion-commander,0.85,42.96
clinkz,0.83,45.13
axe,0.80,43.58
slark,0.71,46.43
gyrocopter,0.69,49.32
pudge,0.66,44.99
mars,0.65,49.08
storm-spirit,0.56,46.24
chen,0.56,53.77
natures-prophet,0.55,50.43
earthshaker,0.53,47.35
pangolier,0.52,50.79
pugna,0.49,48.45
slardar,0.43,47.58
bristleback,0.38,47.33
brewmaster,0.33,47.25
anti-mage,0.33,47.79
tiny,0.32,49.58
snapfire,0.31,50.35
io,0.29,46.74
terrorblade,0.29,51.64
shadow-demon,0.28,47.27
queen-of-pain,0.28,46.62
skywrath-mage,0.27,45.43
clockwerk,0.19,44.00
juggernaut,0.14,44.95
invoker,0.13,49.18
bane,0.13,46.82
winter-wyvern,0.12,46.80
enchantress,0.12,49.37
broodmother,0.10,46.27
night-stalker,0.09,43.64
primal-beast,0.08,49.37
tinker,0.07,46.36
oracle,0.01,43.31
disruptor,0.00,46.87
dark-willow,0.00,47.63
visage,-0.02,44.94
alchemist,-0.05,46.64
sniper,-0.06,47.70
grimstroke,-0.07,49.00
lycan,-0.09,46.55
marci,-0.14,46.78
shadow-fiend,-0.16,47.83
faceless-void,-0.16,50.89
spirit-breaker,-0.19,46.17
mirana,-0.24,51.61
death-prophet,-0.25,48.33
spectre,-0.26,45.26
sven,-0.28,52.25
beastmaster,-0.29,52.44
sand-king,-0.29,44.09
muerta,-0.30,49.98
bounty-hunter,-0.34,45.72
necrophos,-0.36,44.06
leshrac,-0.36,47.45
ogre-magi,-0.37,45.30
riki,-0.40,45.20
viper,-0.44,47.12
chaos-knight,-0.45,48.01
centaur-warrunner,-0.45,43.96
dragon-knight,-0.45,48.74
timbersaw,-0.49,47.35
zeus,-0.49,46.29
ancient-apparition,-0.54,44.64
techies,-0.58,50.62
windranger,-0.59,47.46
venomancer,-0.60,48.01
bloodseeker,-0.67,45.83
void-spirit,-0.69,45.11
shadow-shaman,-0.72,44.64
tidehunter,-0.76,49.23
lone-druid,-0.77,46.70
vengeful-spirit,-0.80,45.73
troll-warlord,-0.84,47.81
nyx-assassin,-0.85,46.08
silencer,-0.88,44.31
treant-protector,-0.91,44.88
ringmaster,-0.91,45.06
lina,-0.95,50.81
warlock,-0.95,42.42
dawnbreaker,-0.96,47.33
magnus,-0.99,49.79
naga-siren,-1.03,50.97
puck,-1.06,49.61
dark-seer,-1.11,47.62
morphling,-1.14,54.15
witch-doctor,-1.15,44.69
doom,-1.15,52.39
omniknight,-1.18,44.81
arc-warden,-1.22,45.32
undying,-1.43,46.12
lich,-1.44,43.68
lion,-1.45,48.94
phantom-lancer,-1.47,52.12
luna,-2.04,46.10
kunkka,-2.05,46.91
medusa,-2.26,43.98
abaddon,-2.30,42.37
wraith-king,-2.31,43.15
weaver,-2.53,50.52
crystal-maiden,-2.64,49.27
outworld-destroyer,-2.72,48.01
jakiro,-3.96,50.44
enigma,-4.39,52.22
underlord,-6.90,50.20
rubick,0,50
