hero,disadvantage,winrate
lycan,4.06,48.55
lone-druid,3.27,48.91
broodmother,3.26,49.30
spectre,2.82,48.62
tidehunter,2.75,51.75
enchantress,2.44,53.03
arc-warden,2.43,48.07
abaddon,2.42,44.43
naga-siren,2.36,53.38
sniper,2.34,51.68
wraith-king,2.32,45.31
phantom-lancer,2.30,54.18
chen,2.19,57.61
legion-commander,2.06,48.43
morphling,1.91,56.53
night-stalker,1.77,48.58
slark,1.66,51.78
spirit-breaker,1.55,50.81
mirana,1.49,55.73
centaur-warrunner,1.49,48.63
phantom-assassin,1.41,51.12
shadow-fiend,1.30,52.61
tusk,1.27,56.16
natures-prophet,1.24,55.66
terrorblade,1.23,56.46
clockwerk,1.23,49.51
chaos-knight,1.14,52.57
ogre-magi,1.14,50.30
techies,1.06,54.89
invoker,1.05,54.32
razor,1.05,51.58
dragon-knight,1.05,53.38
muerta,1.00,54.65
anti-mage,0.97,53.34
shadow-demon,0.95,52.81
medusa,0.95,47.37
alchemist,0.92,51.96
brewmaster,0.91,52.87
luna,0.89,49.75
venomancer,0.88,52.73
huskar,0.85,54.10
void-spirit,0.68,50.26
bounty-hunter,0.67,51.08
hoodwink,0.61,56.22
ringmaster,0.55,50.21
templar-assassin,0.55,58.67
dark-seer,0.54,52.15
beastmaster,0.54,57.23
dark-willow,0.51,53.31
io,0.49,52.79
mars,0.48,55.25
marci,0.46,52.44
windranger,0.45,52.69
viper,0.44,52.51
underlord,0.32,49.13
disruptor,0.30,52.88
vengeful-spirit,0.28,51.11
rubick,0.28,55.69
kunkka,0.21,51.01
gyrocopter,0.19,55.87
lina,0.16,55.66
winter-wyvern,0.13,53.11
magnus,0.05,54.74
oracle,0.03,50.01
monkey-king,0.00,59.11
tiny,-0.02,55.93
warlock,-0.04,48.36
bloodseeker,-0.05,51.52
nyx-assassin,-0.05,51.71
tinker,-0.07,52.86
zeus,-0.11,52.31
doom,-0.16,57.20
keeper-of-the-light,-0.18,56.29
jakiro,-0.20,52.89
visage,-0.27,51.72
snapfire,-0.30,56.86
meepo,-0.31,54.93
clinkz,-0.31,52.67
crystal-maiden,-0.33,53.19
treant-protector,-0.33,50.85
dazzle,-0.33,55.77
lifestealer,-0.39,52.87
ember-spirit,-0.45,56.49
grimstroke,-0.45,55.47
slardar,-0.49,54.71
troll-warlord,-0.55,53.72
drow-ranger,-0.57,53.73
pudge,-0.59,52.54
earth-spirit,-0.60,54.79
weaver,-0.70,54.73
sven,-0.71,58.54
undying,-0.76,51.87
queen-of-pain,-0.77,53.94
lich,-0.92,49.90
elder-titan,-0.92,53.59
phoenix,-0.92,54.09
juggernaut,-0.96,52.45
batrider,-0.98,61.35
riki,-0.99,52.24
lion,-1.03,54.72
earthshaker,-1.14,55.18
skywrath-mage,-1.14,53.29
omniknight,-1.25,51.45
enigma,-1.31,55.06
pangolier,-1.33,58.52
primal-beast,-1.35,56.85
axe,-1.39,52.23
sand-king,-1.40,51.76
faceless-void,-1.55,58.19
ursa,-1.73,56.04
witch-doctor,-1.75,51.87
storm-spirit,-1.77,54.93
outworld-destroyer,-1.78,53.32
ancient-apparition,-1.84,52.47
leshrac,-1.96,55.36
bristleback,-1.97,55.89
puck,-1.98,56.56
death-prophet,-2.01,56.33
pugna,-2.21,57.36
dawnbreaker,-2.54,55.25
necrophos,-2.56,52.81
shadow-shaman,-2.80,53.26
bane,-2.86,56.17
timbersaw,-4.02,57.13
silencer,0,50
