hero,disadvantage,winrate
tidehunter,3.31,46.98
luna,3.19,43.52
terrorblade,3.13,50.26
batrider,2.74,53.30
phantom-lancer,2.54,49.70
medusa,2.30,42.06
troll-warlord,2.28,46.66
naga-siren,2.24,49.35
muerta,2.08,49.32
arc-warden,1.94,44.52
beastmaster,1.78,51.73
chaos-knight,1.66,47.87
drow-ranger,1.65,47.38
lone-druid,1.53,46.60
mirana,1.46,51.47
juggernaut,1.44,46.04
phoenix,1.43,47.56
shadow-shaman,1.41,45.05
dark-willow,1.36,48.28
windranger,1.31,47.73
tusk,1.25,51.93
doom,1.07,51.66
razor,1.04,47.43
ogre-magi,1.03,46.30
huskar,1.02,49.71
tiny,0.93,50.72
jakiro,0.91,47.67
elder-titan,0.90,47.56
enigma,0.89,48.54
winter-wyvern,0.77,48.29
venomancer,0.74,48.69
phantom-assassin,0.72,47.65
techies,0.71,51.01
zeus,0.69,47.40
silencer,0.66,45.29
hoodwink,0.66,51.93
abaddon,0.65,42.30
slark,0.61,48.65
gyrocopter,0.57,51.21
sniper,0.46,49.24
monkey-king,0.41,54.36
treant-protector,0.39,46.04
dragon-knight,0.36,49.85
crystal-maiden,0.36,48.35
brewmaster,0.35,49.29
storm-spirit,0.34,48.65
necrophos,0.33,45.86
puck,0.32,50.08
vengeful-spirit,0.31,46.99
magnus,0.29,50.30
lion,0.26,49.35
disruptor,0.22,48.80
underlord,0.20,45.23
enchantress,0.19,51.11
axe,0.19,46.64
lich,0.17,44.80
visage,0.11,47.24
grimstroke,0.07,50.71
chen,0.03,55.56
dazzle,0.02,51.18
night-stalker,-0.03,46.34
queen-of-pain,-0.04,49.07
shadow-demon,-0.04,49.67
viper,-0.08,48.86
dark-seer,-0.10,48.67
clockwerk,-0.17,46.84
shadow-fiend,-0.19,49.89
spirit-breaker,-0.25,48.45
mars,-0.27,51.78
witch-doctor,-0.27,46.37
keeper-of-the-light,-0.29,52.20
natures-prophet,-0.29,52.89
sand-king,-0.30,46.62
outworld-destroyer,-0.31,47.70
earthshaker,-0.32,50.19
ringmaster,-0.37,47.03
morphling,-0.43,54.64
primal-beast,-0.45,51.73
legion-commander,-0.51,46.82
bane,-0.53,49.58
meepo,-0.55,51.00
bloodseeker,-0.56,47.91
bristleback,-0.66,50.37
pangolier,-0.72,53.70
rubick,-0.73,52.42
undying,-0.76,47.76
snapfire,-0.76,53.06
io,-0.83,50.00
templar-assassin,-0.86,55.77
timbersaw,-0.90,49.84
dawnbreaker,-0.92,49.42
death-prophet,-0.97,51.02
earth-spirit,-0.99,51.00
wraith-king,-1.00,44.58
leshrac,-1.01,50.19
ancient-apparition,-1.02,47.53
riki,-1.03,48.12
marci,-1.07,49.86
invoker,-1.09,52.16
skywrath-mage,-1.10,49.08
weaver,-1.12,50.94
kunkka,-1.22,48.33
pugna,-1.22,52.08
lina,-1.23,52.76
oracle,-1.25,47.26
alchemist,-1.29,50.04
warlock,-1.33,45.64
omniknight,-1.35,47.46
bounty-hunter,-1.39,48.99
ember-spirit,-1.44,53.23
centaur-warrunner,-1.46,47.49
faceless-void,-1.48,53.82
sven,-1.51,55.01
ursa,-1.64,51.75
void-spirit,-1.68,48.57
pudge,-1.78,49.47
broodmother,-1.80,50.37
tinker,-2.08,50.76
lycan,-2.18,50.86
nyx-assassin,-2.27,49.76
clinkz,-2.38,50.60
spectre,-2.62,49.91
lifestealer,-3.54,51.89
anti-mage,-3.99,53.99
slardar,0,50
