hero,disadvantage,winrate
disruptor,4.25,45.39
leshrac,3.81,45.91
grimstroke,3.77,47.69
mars,3.05,49.28
elder-titan,2.74,46.35
techies,2.67,49.85
riki,2.50,45.18
earthshaker,2.48,48.25
night-stalker,2.48,44.39
muerta,2.42,49.76
bloodseeker,2.29,45.42
dawnbreaker,2.28,46.84
enigma,2.23,47.89
puck,2.14,49.03
necrophos,2.12,44.66
clockwerk,2.07,45.19
tusk,2.05,52.04
lion,1.96,48.52
ringmaster,1.96,45.37
timbersaw,1.90,47.76
pugna,1.81,49.77
tiny,1.60,50.90
outworld-destroyer,1.52,46.48
crystal-maiden,1.43,47.99
sand-king,1.43,45.54
doom,1.42,52.19
naga-siren,1.33,51.07
invoker,1.33,50.67
omniknight,1.32,45.33
gyrocopter,1.20,51.43
magnus,1.17,50.22
primal-beast,1.14,50.90
shadow-fiend,1.11,49.39
lone-druid,1.08,47.71
ancient-apparition,1.07,46.06
snapfire,0.79,52.38
legion-commander,0.79,46.17
chaos-knight,0.76,49.53
drow-ranger,0.67,49.05
dark-willow,0.65,49.75
beastmaster,0.58,53.86
dark-seer,0.53,48.74
zeus,0.52,48.24
huskar,0.48,51.06
mirana,0.48,53.35
phantom-lancer,0.47,52.67
skywrath-mage,0.41,48.27
visage,0.39,47.62
axe,0.34,47.11
queen-of-pain,0.33,49.44
shadow-demon,0.31,50.07
hoodwink,0.30,53.17
tinker,0.24,49.12
shadow-shaman,0.23,46.79
windranger,0.23,49.48
kunkka,0.20,47.57
natures-prophet,0.17,53.35
broodmother,0.14,49.12
oracle,0.03,46.54
pudge,0.02,48.55
spirit-breaker,-0.05,48.95
razor,-0.06,49.24
monkey-king,-0.19,56.00
nyx-assassin,-0.22,48.42
sven,-0.24,54.71
death-prophet,-0.25,51.07
marci,-0.29,49.81
spectre,-0.35,48.32
ursa,-0.46,51.39
vengeful-spirit,-0.47,48.43
lina,-0.47,52.90
centaur-warrunner,-0.47,47.12
phantom-assassin,-0.47,49.46
clinkz,-0.49,49.42
io,-0.50,50.42
slardar,-0.54,51.35
underlord,-0.57,46.55
alchemist,-0.57,50.06
anti-mage,-0.60,51.49
phoenix,-0.61,50.36
weaver,-0.64,51.26
luna,-0.65,47.76
witch-doctor,-0.67,47.35
lich,-0.69,46.19
morphling,-0.71,55.95
arc-warden,-0.75,47.90
jakiro,-0.76,50.01
viper,-0.81,50.33
void-spirit,-0.84,48.36
keeper-of-the-light,-0.86,53.63
batrider,-0.88,58.03
terrorblade,-0.89,55.33
pangolier,-0.92,54.76
lifestealer,-0.96,50.02
faceless-void,-0.97,54.32
rubick,-1.02,53.57
earth-spirit,-1.06,51.88
enchantress,-1.06,53.24
juggernaut,-1.11,49.13
undying,-1.12,48.77
meepo,-1.18,52.48
lycan,-1.21,50.62
winter-wyvern,-1.36,51.24
warlock,-1.46,46.31
dazzle,-1.50,53.58
sniper,-1.51,51.81
silencer,-1.69,48.22
storm-spirit,-1.70,51.45
treant-protector,-1.79,48.88
dragon-knight,-1.83,52.83
venomancer,-1.83,52.07
brewmaster,-1.84,52.35
templar-assassin,-1.91,57.92
chen,-2.09,58.87
abaddon,-2.17,45.53
ogre-magi,-2.21,50.08
tidehunter,-2.25,53.50
bane,-2.39,52.28
bounty-hunter,-2.50,50.86
troll-warlord,-2.61,52.45
wraith-king,-3.32,47.36
medusa,-3.91,48.82
ember-spirit,-3.92,56.72
bristleback,-4.77,55.34
slark,0,50
