hero,disadvantage,winrate
meepo,4.61,48.38
lone-druid,4.13,46.59
undying,4.05,45.58
beastmaster,3.95,52.27
necrophos,3.82,45.02
abaddon,3.69,41.75
ember-spirit,3.53,50.97
enchantress,2.93,51.07
lifestealer,2.93,48.04
underlord,2.85,45.14
oracle,2.73,45.79
slardar,2.62,50.09
io,2.61,49.18
tinker,2.56,48.72
lycan,2.52,48.72
viper,2.49,49.00
dawnbreaker,2.48,48.64
omniknight,2.42,46.26
chen,2.31,56.09
warlock,1.96,44.93
earth-spirit,1.89,50.79
juggernaut,1.83,48.32
brewmaster,1.82,50.49
morphling,1.81,55.24
tidehunter,1.80,51.25
witch-doctor,1.79,47.03
venomancer,1.77,50.37
dazzle,1.76,52.21
dark-seer,1.51,49.72
primal-beast,1.48,52.51
keeper-of-the-light,1.42,53.18
pangolier,1.31,54.36
pudge,1.30,49.37
phoenix,1.21,50.47
alchemist,1.13,50.32
jakiro,1.06,50.21
sven,1.04,55.25
leshrac,0.98,50.86
treant-protector,0.97,48.09
centaur-warrunner,0.96,47.73
crystal-maiden,0.93,50.49
invoker,0.91,53.02
queen-of-pain,0.84,50.93
marci,0.83,50.65
void-spirit,0.81,48.69
wraith-king,0.79,45.38
death-prophet,0.77,51.97
visage,0.74,49.25
lina,0.73,53.66
anti-mage,0.71,52.14
skywrath-mage,0.67,50.01
weaver,0.63,51.94
pugna,0.63,52.96
sand-king,0.60,48.38
timbersaw,0.56,51.10
tusk,0.56,55.45
ringmaster,0.54,48.80
phantom-lancer,0.51,54.55
bristleback,0.51,51.96
naga-siren,0.50,53.87
terrorblade,0.49,55.77
snapfire,0.46,54.65
broodmother,0.45,50.78
shadow-fiend,0.45,52.00
medusa,0.44,46.45
bounty-hunter,0.39,49.92
kunkka,0.39,49.40
clockwerk,0.38,48.94
disruptor,0.37,51.36
magnus,0.36,53.00
elder-titan,0.33,50.86
batrider,0.30,58.58
slark,0.30,51.70
troll-warlord,0.29,51.41
legion-commander,0.27,48.72
huskar,0.25,53.25
monkey-king,0.23,57.44
shadow-demon,0.22,52.14
ogre-magi,0.16,49.79
bloodseeker,0.15,49.89
outworld-destroyer,0.15,49.91
storm-spirit,0.12,51.58
hoodwink,-0.14,55.53
phantom-assassin,-0.19,51.20
rubick,-0.23,54.74
dark-willow,-0.27,52.66
dragon-knight,-0.27,53.24
gyrocopter,-0.34,54.95
grimstroke,-0.35,53.92
chaos-knight,-0.35,52.65
lich,-0.42,47.98
techies,-0.42,54.94
arc-warden,-0.51,49.67
razor,-0.51,51.70
tiny,-0.57,55.03
vengeful-spirit,-0.74,50.71
doom,-0.76,56.36
lion,-0.84,53.09
night-stalker,-0.85,49.82
mirana,-0.96,56.70
mars,-1.04,55.36
luna,-1.24,50.35
winter-wyvern,-1.27,53.12
ursa,-1.27,54.16
earthshaker,-1.31,53.91
nyx-assassin,-1.33,51.54
ancient-apparition,-1.58,50.77
faceless-void,-1.61,56.83
zeus,-1.68,52.39
spirit-breaker,-1.69,52.57
windranger,-1.75,53.37
enigma,-1.82,54.05
muerta,-1.83,56.13
templar-assassin,-1.89,59.71
puck,-1.90,55.06
axe,-2.35,51.71
shadow-shaman,-2.35,51.38
bane,-2.44,54.28
drow-ranger,-2.57,54.27
clinkz,-2.70,53.68
silencer,-2.82,51.37
natures-prophet,-3.06,58.51
riki,-3.25,53.10
sniper,-3.40,55.38
spectre,0,50
