hero,disadvantage,winrate
underlord,3.25,43.70
meepo,2.68,49.54
necrophos,2.55,45.28
clockwerk,2.26,46.06
tiny,2.12,51.49
morphling,1.95,54.40
lone-druid,1.94,47.91
mars,1.85,51.62
naga-siren,1.73,51.79
tusk,1.71,53.52
enchantress,1.63,51.58
spectre,1.62,47.43
tidehunter,1.46,50.75
beastmaster,1.40,54.15
venomancer,1.36,49.90
jakiro,1.34,49.03
timbersaw,1.34,49.43
dark-willow,1.32,50.16
sand-king,1.29,46.74
dawnbreaker,1.23,49.01
crystal-maiden,1.19,49.33
chaos-knight,1.17,50.21
lich,1.11,45.45
phantom-lancer,1.07,53.21
ember-spirit,1.06,52.67
chen,1.06,56.74
disruptor,0.98,49.85
wraith-king,0.97,44.15
oracle,0.96,46.66
techies,0.86,52.85
invoker,0.81,52.30
enigma,0.77,50.51
leshrac,0.72,50.25
monkey-king,0.70,56.25
witch-doctor,0.69,47.12
primal-beast,0.65,52.54
omniknight,0.63,47.14
treant-protector,0.63,47.49
dark-seer,0.56,49.80
winter-wyvern,0.56,50.33
faceless-void,0.54,53.88
ogre-magi,0.48,48.55
centaur-warrunner,0.45,47.28
templar-assassin,0.44,56.67
queen-of-pain,0.40,50.47
razor,0.39,49.89
dazzle,0.38,52.79
brewmaster,0.38,51.13
viper,0.37,50.23
slardar,0.35,51.55
terrorblade,0.34,55.25
puck,0.33,51.98
pudge,0.33,49.35
phoenix,0.30,50.53
io,0.29,50.70
visage,0.29,48.79
ringmaster,0.28,48.11
warlock,0.27,45.61
shadow-demon,0.27,51.21
sven,0.17,55.43
lion,0.17,51.30
tinker,0.14,50.32
grimstroke,0.14,52.59
dragon-knight,0.12,51.99
alchemist,0.12,50.46
gyrocopter,0.12,53.68
troll-warlord,0.11,50.72
weaver,0.11,51.61
kunkka,0.10,48.76
ursa,0.07,51.97
outworld-destroyer,0.07,49.06
slark,0.06,51.05
abaddon,0.04,44.41
zeus,0.02,49.83
undying,0.01,48.71
muerta,-0.02,53.44
doom,-0.03,54.80
arc-warden,-0.06,48.24
snapfire,-0.07,54.40
earth-spirit,-0.11,52.01
rubick,-0.12,53.83
earthshaker,-0.19,51.97
huskar,-0.21,52.91
vengeful-spirit,-0.25,49.29
luna,-0.28,48.49
medusa,-0.30,46.21
magnus,-0.36,52.90
void-spirit,-0.36,48.97
batrider,-0.37,58.61
nyx-assassin,-0.39,49.68
shadow-shaman,-0.41,48.51
mirana,-0.42,55.36
riki,-0.48,49.34
storm-spirit,-0.50,51.34
drow-ranger,-0.66,51.49
marci,-0.71,51.34
natures-prophet,-0.71,55.39
clinkz,-0.72,50.75
axe,-0.74,49.24
death-prophet,-0.75,52.72
bloodseeker,-0.82,49.95
pangolier,-0.93,55.89
phantom-assassin,-0.94,51.01
bounty-hunter,-0.99,50.41
anti-mage,-1.01,53.00
lina,-1.02,54.56
bristleback,-1.04,52.67
lifestealer,-1.14,51.31
keeper-of-the-light,-1.18,55.11
skywrath-mage,-1.20,51.00
sniper,-1.27,52.70
hoodwink,-1.28,55.92
ancient-apparition,-1.39,49.65
windranger,-1.45,52.22
shadow-fiend,-1.56,53.10
silencer,-1.57,49.19
pugna,-1.58,54.43
juggernaut,-1.58,50.71
bane,-1.82,52.79
lycan,-1.96,52.51
legion-commander,-2.02,49.99
night-stalker,-2.03,50.10
elder-titan,-2.08,52.50
broodmother,-2.91,53.40
spirit-breaker,0,50
