hero,disadvantage,winrate
meepo,4.91,46.38
anti-mage,4.55,46.65
lone-druid,3.95,45.12
riki,3.67,44.41
pugna,3.17,48.63
oracle,2.86,44.00
ember-spirit,2.59,50.23
troll-warlord,2.20,47.75
puck,2.06,49.39
night-stalker,2.04,45.24
shadow-shaman,2.00,45.44
grimstroke,1.99,49.79
silencer,1.86,45.07
slark,1.75,48.55
omniknight,1.73,45.31
lion,1.70,49.03
dazzle,1.68,50.57
tidehunter,1.67,49.66
beastmaster,1.59,52.99
crystal-maiden,1.58,48.16
enigma,1.58,48.86
skywrath-mage,1.56,47.44
arc-warden,1.42,46.01
axe,1.42,46.44
huskar,1.40,50.34
io,1.35,48.79
legion-commander,1.31,46.06
shadow-fiend,1.22,49.57
abaddon,1.15,42.68
disruptor,1.07,48.95
tinker,0.92,48.71
tiny,0.90,51.80
death-prophet,0.85,50.17
medusa,0.84,44.44
nyx-assassin,0.77,47.77
bane,0.75,49.30
marci,0.73,49.05
naga-siren,0.73,51.91
lycan,0.73,48.89
muerta,0.72,51.74
treant-protector,0.68,46.72
dragon-knight,0.60,50.65
dark-willow,0.58,50.09
spirit-breaker,0.56,48.66
underlord,0.53,45.85
earthshaker,0.49,50.46
leshrac,0.47,49.69
morphling,0.39,54.95
clinkz,0.34,48.87
ringmaster,0.34,47.33
centaur-warrunner,0.31,46.71
windranger,0.31,49.69
chaos-knight,0.30,50.27
sven,0.29,54.24
templar-assassin,0.28,55.69
wraith-king,0.27,44.29
tusk,0.26,54.02
witch-doctor,0.25,46.85
snapfire,0.23,53.15
luna,0.22,47.29
broodmother,0.22,49.33
dawnbreaker,0.22,49.28
hoodwink,0.21,53.44
invoker,0.16,52.01
terrorblade,0.16,54.37
void-spirit,0.15,47.68
dark-seer,0.14,49.44
shadow-demon,0.12,50.53
earth-spirit,0.10,50.94
necrophos,0.09,47.07
faceless-void,0.08,53.36
lina,0.04,52.59
queen-of-pain,0.00,50.05
gyrocopter,-0.03,52.87
spectre,-0.10,48.42
techies,-0.11,52.88
weaver,-0.11,50.97
magnus,-0.14,51.78
mirana,-0.14,54.12
doom,-0.18,54.00
winter-wyvern,-0.25,50.34
lich,-0.27,46.18
kunkka,-0.30,48.42
alchemist,-0.31,50.08
slardar,-0.33,51.36
visage,-0.40,48.73
monkey-king,-0.45,56.33
vengeful-spirit,-0.54,48.82
viper,-0.54,50.33
primal-beast,-0.58,52.91
ursa,-0.65,51.80
undying,-0.72,48.71
jakiro,-0.77,50.31
enchantress,-0.80,53.16
ogre-magi,-0.81,49.05
natures-prophet,-0.83,54.51
chen,-0.89,57.66
phantom-assassin,-0.95,50.21
rubick,-1.05,53.76
pudge,-1.08,49.86
brewmaster,-1.09,51.82
pangolier,-1.16,55.19
lifestealer,-1.20,50.54
bounty-hunter,-1.21,49.85
batrider,-1.28,58.47
phoenix,-1.31,51.34
outworld-destroyer,-1.44,49.84
sand-king,-1.47,48.72
drow-ranger,-1.55,51.53
juggernaut,-1.58,49.92
timbersaw,-1.65,51.62
phantom-lancer,-1.68,55.01
mars,-1.77,54.35
warlock,-1.86,47.12
venomancer,-2.02,52.49
razor,-2.05,51.55
elder-titan,-2.11,51.69
bristleback,-2.39,53.12
clockwerk,-2.58,50.24
zeus,-2.75,51.72
keeper-of-the-light,-2.76,55.76
bloodseeker,-2.78,51.20
sniper,-3.27,53.56
ancient-apparition,-3.31,50.82
storm-spirit,0,50
