hero,disadvantage,winrate
troll-warlord,3.14,42.52
bristleback,2.59,43.88
templar-assassin,2.27,49.13
enchantress,1.96,45.96
slardar,1.69,44.99
wraith-king,1.62,38.94
shadow-shaman,1.41,41.84
huskar,1.41,45.96
silencer,1.32,41.45
dragon-knight,1.29,45.62
ogre-magi,1.19,42.92
monkey-king,1.11,50.20
crystal-maiden,1.10,44.34
doom,1.01,48.30
faceless-void,1.00,47.96
phantom-assassin,0.94,44.17
alchemist,0.91,44.55
muerta,0.88,47.16
batrider,0.86,51.64
techies,0.84,47.50
weaver,0.76,45.74
witch-doctor,0.76,42.19
dark-willow,0.74,45.59
slark,0.67,45.28
razor,0.67,44.51
vengeful-spirit,0.66,43.40
necrophos,0.65,42.34
sniper,0.64,45.75
rubick,0.64,47.75
treant-protector,0.62,42.59
undying,0.62,43.14
natures-prophet,0.56,48.64
lifestealer,0.56,44.48
jakiro,0.53,44.75
clinkz,0.50,44.42
lich,0.47,41.32
terrorblade,0.43,49.57
viper,0.40,45.08
venomancer,0.37,45.74
spirit-breaker,0.36,44.57
dazzle,0.36,47.48
riki,0.29,43.58
bounty-hunter,0.24,44.12
ursa,0.23,46.54
winter-wyvern,0.22,45.53
legion-commander,0.22,42.91
kunkka,0.22,43.66
mirana,0.21,49.26
enigma,0.16,45.97
lion,0.13,46.14
phoenix,0.13,45.57
outworld-destroyer,0.11,44.02
gyrocopter,0.06,48.32
clockwerk,0.01,43.44
disruptor,0.01,45.70
marci,-0.08,45.56
storm-spirit,-0.09,45.76
hoodwink,-0.13,49.28
bloodseeker,-0.14,44.24
medusa,-0.16,41.33
timbersaw,-0.17,45.81
axe,-0.21,43.76
sand-king,-0.21,43.30
ancient-apparition,-0.26,43.55
beastmaster,-0.28,50.38
windranger,-0.28,45.93
earthshaker,-0.30,46.83
luna,-0.31,43.58
tiny,-0.32,48.56
queen-of-pain,-0.35,46.06
grimstroke,-0.42,47.83
invoker,-0.49,48.21
magnus,-0.50,47.73
night-stalker,-0.51,43.60
juggernaut,-0.51,44.63
shadow-fiend,-0.54,46.88
bane,-0.55,46.29
morphling,-0.58,51.33
drow-ranger,-0.58,46.23
zeus,-0.62,45.36
spectre,-0.70,44.75
mars,-0.74,48.86
dawnbreaker,-0.87,46.08
tusk,-0.90,50.63
lina,-0.93,49.06
pudge,-0.96,45.46
underlord,-1.05,43.27
nyx-assassin,-1.12,45.35
ringmaster,-1.16,44.55
death-prophet,-1.20,47.88
omniknight,-1.21,44.09
chaos-knight,-1.24,47.40
pangolier,-1.26,50.75
warlock,-1.27,42.40
oracle,-1.31,44.08
lone-druid,-1.36,46.20
abaddon,-1.37,41.16
arc-warden,-1.38,44.64
naga-siren,-1.39,49.64
ember-spirit,-1.42,49.78
dark-seer,-1.42,46.71
tidehunter,-1.43,48.39
snapfire,-1.49,50.36
pugna,-1.50,48.96
leshrac,-1.53,47.38
visage,-1.54,45.63
skywrath-mage,-1.73,46.40
primal-beast,-1.73,49.61
puck,-1.77,48.78
shadow-demon,-1.86,48.15
centaur-warrunner,-1.97,44.74
keeper-of-the-light,-2.03,50.52
chen,-2.24,54.41
earth-spirit,-2.28,48.95
io,-2.33,48.18
anti-mage,-2.34,49.01
tinker,-2.36,47.71
elder-titan,-2.56,47.79
void-spirit,-2.63,46.24
lycan,-2.65,48.00
brewmaster,-2.77,49.13
broodmother,-2.78,48.03
phantom-lancer,-3.25,52.08
meepo,-5.37,52.50
sven,0,50
