hero,disadvantage,winrate
axe,4.70,39.29
warlock,4.15,37.24
phantom-lancer,3.52,45.36
sand-king,3.45,39.91
brewmaster,2.74,43.60
lich,2.46,39.50
windranger,2.31,43.57
earthshaker,2.23,44.52
legion-commander,2.22,41.13
techies,2.22,46.17
lina,2.01,46.32
jakiro,1.99,43.43
timbersaw,1.84,43.92
underlord,1.68,40.67
winter-wyvern,1.61,44.20
primal-beast,1.56,46.36
witch-doctor,1.54,41.56
crystal-maiden,1.48,44.05
bristleback,1.41,45.08
slark,1.37,44.68
puck,1.32,45.81
leshrac,1.30,44.60
gyrocopter,0.94,47.48
sniper,0.83,45.64
lion,0.76,45.63
necrophos,0.72,42.36
ember-spirit,0.68,47.73
phoenix,0.66,45.09
queen-of-pain,0.59,45.22
troll-warlord,0.51,45.21
mirana,0.51,49.01
phantom-assassin,0.47,44.67
tiny,0.46,47.82
ringmaster,0.44,43.10
zeus,0.37,44.49
pangolier,0.34,49.16
juggernaut,0.29,43.95
spirit-breaker,0.21,44.78
dazzle,0.21,47.64
skywrath-mage,0.21,44.58
hoodwink,0.18,48.97
enchantress,0.16,47.78
centaur-warrunner,0.16,42.77
kunkka,0.15,43.81
storm-spirit,0.10,45.63
snapfire,0.10,48.80
drow-ranger,0.08,45.65
ancient-apparition,0.08,43.30
dark-seer,0.03,45.31
arc-warden,0.02,43.30
rubick,0.00,48.36
keeper-of-the-light,-0.03,48.52
beastmaster,-0.08,50.17
spectre,-0.08,44.22
magnus,-0.08,47.36
undying,-0.12,43.95
lifestealer,-0.14,45.24
tinker,-0.14,45.54
treant-protector,-0.16,43.45
dawnbreaker,-0.19,45.44
naga-siren,-0.20,48.45
bounty-hunter,-0.20,44.64
dark-willow,-0.23,46.59
enigma,-0.28,46.45
omniknight,-0.31,43.27
muerta,-0.34,48.41
monkey-king,-0.37,51.61
grimstroke,-0.40,47.84
luna,-0.42,43.76
sven,-0.43,50.43
mars,-0.46,48.60
chaos-knight,-0.51,46.78
faceless-void,-0.53,49.47
weaver,-0.54,47.05
disruptor,-0.58,46.34
pugna,-0.58,48.08
alchemist,-0.59,46.08
venomancer,-0.67,46.80
silencer,-0.72,43.51
doom,-0.75,50.06
ogre-magi,-0.79,44.84
nyx-assassin,-0.86,45.17
abaddon,-0.91,40.82
tidehunter,-0.91,47.92
razor,-0.92,46.15
shadow-demon,-0.93,47.26
outworld-destroyer,-0.95,45.15
earth-spirit,-0.95,47.65
pudge,-0.97,45.53
tusk,-1.09,50.82
vengeful-spirit,-1.12,45.19
natures-prophet,-1.14,50.28
medusa,-1.14,42.39
invoker,-1.16,48.82
morphling,-1.17,51.87
dragon-knight,-1.24,48.09
riki,-1.31,45.22
io,-1.37,47.23
batrider,-1.47,53.97
clockwerk,-1.54,45.03
death-prophet,-1.58,48.30
shadow-shaman,-1.61,44.80
bloodseeker,-1.64,45.81
huskar,-1.65,49.00
marci,-1.69,47.18
oracle,-1.77,44.60
shadow-fiend,-1.79,48.02
void-spirit,-1.81,45.48
meepo,-1.91,49.03
ursa,-1.98,48.72
wraith-king,-2.06,42.55
elder-titan,-2.22,47.50
lone-druid,-2.33,47.21
anti-mage,-2.72,49.36
templar-assassin,-2.79,54.15
clinkz,-2.97,47.90
slardar,-3.14,49.77
visage,-3.22,47.35
viper,-4.01,49.39
bane,-4.09,49.87
night-stalker,-4.23,47.33
chen,-4.25,56.40
broodmother,-4.51,49.79
lycan,-4.56,49.95
terrorblade,0,50
