hero,disadvantage,winrate
anti-mage,3.57,47.98
sven,2.37,52.29
enigma,2.30,48.48
faceless-void,2.17,51.49
slardar,2.09,49.25
death-prophet,2.07,49.25
pudge,2.04,47.48
marci,1.89,48.26
leshrac,1.87,48.62
elder-titan,1.85,47.99
batrider,1.82,55.36
io,1.74,48.75
lina,1.66,51.27
chaos-knight,1.62,49.26
meepo,1.46,50.26
pugna,1.45,50.68
crystal-maiden,1.41,48.69
clinkz,1.35,48.24
earthshaker,1.25,50.03
shadow-fiend,1.24,49.87
invoker,1.16,51.32
broodmother,1.10,48.79
drow-ranger,1.04,49.33
shadow-shaman,1.01,46.87
juggernaut,0.99,47.85
naga-siren,0.99,51.90
visage,0.92,47.80
magnus,0.92,51.00
phantom-lancer,0.89,52.61
lion,0.85,50.14
witch-doctor,0.85,46.74
dawnbreaker,0.81,49.05
troll-warlord,0.79,49.54
bane,0.75,49.63
huskar,0.72,51.30
phantom-assassin,0.69,49.04
primal-beast,0.66,51.88
enchantress,0.64,51.94
nyx-assassin,0.61,48.33
necrophos,0.58,47.04
dazzle,0.55,51.95
skywrath-mage,0.53,48.84
ogre-magi,0.50,48.19
tiny,0.49,52.44
lifestealer,0.47,49.23
muerta,0.47,52.23
sniper,0.45,50.57
ancient-apparition,0.45,47.50
lich,0.44,45.99
bristleback,0.44,50.63
bounty-hunter,0.36,48.66
beastmaster,0.32,54.46
lycan,0.31,49.67
grimstroke,0.29,51.78
sand-king,0.26,47.51
luna,0.25,47.71
vengeful-spirit,0.24,48.46
silencer,0.23,47.14
terrorblade,0.22,54.46
windranger,0.19,50.13
arc-warden,0.17,47.73
viper,0.12,50.01
techies,0.07,52.91
alchemist,0.05,50.05
monkey-king,-0.01,55.95
ursa,-0.03,51.46
keeper-of-the-light,-0.04,53.16
templar-assassin,-0.05,56.13
spirit-breaker,-0.12,49.68
riki,-0.21,48.73
chen,-0.22,57.05
outworld-destroyer,-0.22,49.00
snapfire,-0.23,53.78
dark-seer,-0.24,50.18
doom,-0.25,54.21
dark-willow,-0.26,51.23
jakiro,-0.26,50.15
legion-commander,-0.28,48.01
slark,-0.30,50.88
undying,-0.33,48.73
zeus,-0.39,49.80
night-stalker,-0.44,48.16
morphling,-0.48,55.90
hoodwink,-0.50,54.29
lone-druid,-0.54,50.04
gyrocopter,-0.59,53.63
rubick,-0.73,53.64
oracle,-0.76,48.16
razor,-0.77,50.60
mirana,-0.83,54.92
treant-protector,-0.84,48.67
winter-wyvern,-0.85,51.27
weaver,-0.91,52.03
axe,-0.92,49.07
venomancer,-0.95,51.69
brewmaster,-0.96,51.96
storm-spirit,-0.98,51.29
shadow-demon,-0.99,51.94
tusk,-1.00,55.39
warlock,-1.03,46.81
bloodseeker,-1.03,49.80
dragon-knight,-1.09,52.57
pangolier,-1.10,55.26
clockwerk,-1.11,49.18
underlord,-1.13,47.98
earth-spirit,-1.14,52.46
timbersaw,-1.15,51.41
natures-prophet,-1.16,54.96
omniknight,-1.21,48.71
queen-of-pain,-1.22,51.52
kunkka,-1.29,49.79
disruptor,-1.33,51.67
medusa,-1.44,47.22
mars,-1.48,54.22
ringmaster,-1.59,49.60
phoenix,-1.60,51.93
centaur-warrunner,-1.61,49.04
tidehunter,-1.73,53.36
wraith-king,-1.90,46.91
void-spirit,-1.98,50.23
abaddon,-2.05,46.46
puck,-2.30,53.93
spectre,-2.64,51.28
ember-spirit,-3.07,56.08
tinker,0,50
