hero,disadvantage,winrate
ancient-apparition,2.83,47.27
phoenix,2.69,49.85
juggernaut,2.40,48.68
huskar,2.25,52.00
keeper-of-the-light,2.18,53.17
timbersaw,2.09,50.49
pugna,1.86,52.48
leshrac,1.85,50.84
viper,1.78,50.57
slark,1.73,51.12
death-prophet,1.65,51.88
earth-spirit,1.51,52.03
dark-willow,1.34,51.85
faceless-void,1.27,54.63
chen,1.23,57.91
sand-king,1.20,48.75
necrophos,1.20,48.58
enigma,1.20,51.79
morphling,1.16,56.64
muerta,1.14,53.81
magnus,1.10,53.06
dawnbreaker,1.09,50.94
ursa,1.07,52.62
brewmaster,1.03,52.15
primal-beast,1.01,53.78
doom,1.01,55.24
invoker,0.91,53.80
tinker,0.88,51.33
grimstroke,0.87,53.46
snapfire,0.85,55.00
ringmaster,0.81,49.48
weaver,0.80,52.59
witch-doctor,0.80,48.94
lina,0.80,54.35
bristleback,0.77,52.51
dark-seer,0.68,51.44
bloodseeker,0.64,50.28
lich,0.61,47.94
venomancer,0.60,52.38
techies,0.59,54.67
anti-mage,0.56,53.08
tidehunter,0.54,53.33
oracle,0.53,49.00
crystal-maiden,0.50,51.76
terrorblade,0.48,56.50
zeus,0.47,51.17
undying,0.46,50.11
skywrath-mage,0.45,51.11
pudge,0.44,51.07
beastmaster,0.43,56.69
bounty-hunter,0.42,50.78
gyrocopter,0.42,54.90
nyx-assassin,0.39,50.71
silencer,0.36,49.15
sniper,0.35,52.88
alchemist,0.34,51.97
jakiro,0.26,51.85
troll-warlord,0.24,52.31
winter-wyvern,0.23,52.40
mars,0.22,54.86
queen-of-pain,0.19,52.40
shadow-demon,0.16,53.03
rubick,0.14,55.13
drow-ranger,0.11,52.43
shadow-fiend,0.11,53.15
puck,0.10,53.85
disruptor,0.03,52.54
warlock,0.01,47.89
hoodwink,-0.03,56.14
monkey-king,-0.04,58.34
clockwerk,-0.05,50.29
underlord,-0.07,49.07
abaddon,-0.07,46.58
elder-titan,-0.08,52.14
luna,-0.09,50.18
outworld-destroyer,-0.13,51.08
kunkka,-0.14,50.82
dazzle,-0.14,54.89
ogre-magi,-0.15,50.98
batrider,-0.18,59.77
arc-warden,-0.19,50.24
io,-0.22,52.95
riki,-0.22,50.91
earthshaker,-0.28,53.71
broodmother,-0.29,52.40
lifestealer,-0.35,52.24
razor,-0.39,52.42
slardar,-0.41,53.96
sven,-0.44,57.41
tusk,-0.45,57.19
clinkz,-0.51,52.28
bane,-0.51,53.11
visage,-0.53,51.44
phantom-lancer,-0.56,56.33
lion,-0.58,53.66
ember-spirit,-0.66,55.97
naga-siren,-0.69,55.88
enchantress,-0.70,55.54
marci,-0.72,53.07
void-spirit,-0.76,51.20
storm-spirit,-0.76,53.29
spirit-breaker,-0.78,52.51
shadow-shaman,-0.82,50.78
windranger,-0.92,53.39
omniknight,-0.99,50.65
meepo,-0.99,55.01
lycan,-0.99,53.20
centaur-warrunner,-1.01,50.61
spectre,-1.03,51.90
vengeful-spirit,-1.09,51.94
phantom-assassin,-1.12,52.90
tiny,-1.15,56.33
pangolier,-1.17,57.62
legion-commander,-1.21,51.04
templar-assassin,-1.32,59.76
mirana,-1.35,57.73
lone-druid,-1.46,53.17
chaos-knight,-1.47,54.57
axe,-1.52,51.80
dragon-knight,-1.61,55.31
night-stalker,-1.66,51.54
medusa,-1.71,49.62
natures-prophet,-1.81,57.90
wraith-king,-1.92,49.04
treant-protector,0,50
