hero,disadvantage,winrate
axe,5.40,42.83
razor,4.38,45.21
muerta,3.21,49.15
pugna,2.85,48.94
slark,2.84,47.53
outworld-destroyer,2.67,45.81
winter-wyvern,2.61,47.46
necrophos,2.51,44.86
ogre-magi,1.86,46.59
doom,1.82,51.81
shadow-shaman,1.77,45.82
bristleback,1.66,49.11
lion,1.62,49.11
crystal-maiden,1.56,48.23
ringmaster,1.51,46.30
bane,1.47,48.58
mirana,1.40,52.45
invoker,1.32,50.84
medusa,1.29,44.23
underlord,1.28,45.29
mars,1.14,51.34
phantom-lancer,1.11,52.07
windranger,1.11,48.94
ancient-apparition,1.06,46.57
techies,1.02,51.64
jakiro,1.00,48.62
leshrac,0.98,49.18
lina,0.96,51.59
naga-siren,0.94,51.62
abaddon,0.89,43.24
kunkka,0.89,47.32
centaur-warrunner,0.86,46.32
lich,0.83,45.29
silencer,0.80,46.27
disruptor,0.70,49.34
phoenix,0.68,49.33
dark-willow,0.66,49.98
primal-beast,0.60,51.60
batrider,0.54,56.28
witch-doctor,0.52,46.73
luna,0.52,47.11
tidehunter,0.51,50.79
rubick,0.51,52.19
natures-prophet,0.51,53.02
skywrath-mage,0.42,48.62
enchantress,0.41,51.84
clockwerk,0.34,47.42
vengeful-spirit,0.34,48.02
gyrocopter,0.34,52.37
oracle,0.29,46.79
omniknight,0.26,46.92
tusk,0.20,53.87
sniper,0.19,50.47
hoodwink,0.14,53.33
tiny,0.13,52.45
zeus,0.11,48.99
dragon-knight,0.05,51.13
visage,0.03,48.37
alchemist,0.01,49.75
wraith-king,-0.01,44.82
snapfire,-0.04,53.25
spirit-breaker,-0.04,49.28
queen-of-pain,-0.04,50.08
drow-ranger,-0.09,50.08
pudge,-0.14,49.06
dazzle,-0.16,52.30
grimstroke,-0.16,51.89
treant-protector,-0.17,47.69
death-prophet,-0.17,51.18
spectre,-0.21,48.59
weaver,-0.25,51.05
keeper-of-the-light,-0.29,53.08
viper,-0.35,50.13
lone-druid,-0.37,49.54
terrorblade,-0.42,54.78
puck,-0.46,51.82
brewmaster,-0.51,51.16
timbersaw,-0.57,50.52
nyx-assassin,-0.57,49.14
monkey-king,-0.58,56.16
warlock,-0.67,46.13
riki,-0.69,48.86
shadow-demon,-0.70,51.31
tinker,-0.79,50.46
dawnbreaker,-0.83,50.35
juggernaut,-0.84,49.26
clinkz,-0.87,50.10
earthshaker,-0.91,51.73
venomancer,-0.94,51.35
beastmaster,-0.99,55.41
undying,-1.00,49.05
sand-king,-1.13,48.49
legion-commander,-1.15,48.51
morphling,-1.27,56.33
enigma,-1.30,51.75
shadow-fiend,-1.43,52.01
arc-warden,-1.43,49.00
bounty-hunter,-1.46,50.12
huskar,-1.51,53.18
magnus,-1.54,53.08
faceless-void,-1.60,54.82
broodmother,-1.69,51.26
dark-seer,-1.80,51.41
phantom-assassin,-1.90,51.04
earth-spirit,-1.99,52.97
lifestealer,-2.13,51.46
chaos-knight,-2.17,52.70
storm-spirit,-2.30,52.25
slardar,-2.40,53.33
bloodseeker,-2.67,51.09
pangolier,-2.79,56.60
ursa,-2.79,53.79
night-stalker,-2.79,50.16
ember-spirit,-2.82,55.50
templar-assassin,-3.10,58.85
marci,-3.10,52.86
sven,-3.13,57.48
chen,-3.21,59.72
io,-3.28,53.45
void-spirit,-3.53,51.45
lycan,-3.76,53.44
anti-mage,-4.38,55.25
meepo,-5.91,57.40
elder-titan,-5.96,55.55
troll-warlord,0,50
