hero,disadvantage,winrate
sand-king,2.27,40.86
ember-spirit,2.18,46.34
muerta,2.04,46.12
batrider,1.98,50.86
dark-willow,1.90,44.50
winter-wyvern,1.43,44.36
phoenix,1.30,44.43
necrophos,1.25,41.69
underlord,1.23,40.85
monkey-king,1.21,50.40
dark-seer,1.13,44.17
terrorblade,1.05,49.18
luna,1.01,42.31
venomancer,0.92,45.27
timbersaw,0.92,44.77
templar-assassin,0.90,50.81
snapfire,0.90,48.20
puck,0.89,46.27
faceless-void,0.89,48.27
undying,0.89,42.86
sven,0.87,49.37
enigma,0.81,45.40
earthshaker,0.81,45.89
elder-titan,0.80,44.43
leshrac,0.80,45.07
windranger,0.75,45.02
tinker,0.75,44.61
weaver,0.68,45.93
lich,0.66,41.02
pugna,0.61,47.00
jakiro,0.56,44.76
gyrocopter,0.50,48.07
witch-doctor,0.42,42.45
bloodseeker,0.36,43.78
death-prophet,0.35,46.45
drow-ranger,0.34,45.44
queen-of-pain,0.33,45.46
dawnbreaker,0.33,44.91
treant-protector,0.32,42.81
techies,0.32,48.19
beastmaster,0.30,50.07
tiny,0.29,48.15
crystal-maiden,0.27,45.20
doom,0.23,49.30
lina,0.22,48.16
hoodwink,0.21,49.16
phantom-lancer,0.18,48.87
primal-beast,0.13,47.91
ringmaster,0.08,43.30
magnus,0.08,47.29
kunkka,0.06,43.79
medusa,0.03,41.02
axe,-0.05,43.60
ogre-magi,-0.07,44.10
mirana,-0.12,49.81
lion,-0.16,46.50
earth-spirit,-0.19,46.95
bane,-0.19,46.02
marci,-0.21,45.72
dragon-knight,-0.21,47.18
omniknight,-0.22,42.99
grimstroke,-0.23,47.79
storm-spirit,-0.25,45.98
riki,-0.25,44.15
disruptor,-0.26,46.03
viper,-0.26,45.82
shadow-fiend,-0.26,46.73
centaur-warrunner,-0.29,43.04
natures-prophet,-0.31,49.72
juggernaut,-0.31,44.47
ancient-apparition,-0.31,43.59
sniper,-0.32,46.73
troll-warlord,-0.35,46.13
alchemist,-0.38,45.87
morphling,-0.38,51.45
lone-druid,-0.40,45.26
dazzle,-0.40,48.40
anti-mage,-0.44,47.33
outworld-destroyer,-0.45,44.59
spectre,-0.47,44.55
night-stalker,-0.49,43.55
shadow-demon,-0.50,46.86
mars,-0.50,48.79
chen,-0.53,53.02
huskar,-0.53,48.06
naga-siren,-0.54,48.98
shadow-shaman,-0.55,43.70
warlock,-0.56,41.61
pangolier,-0.58,50.34
vengeful-spirit,-0.59,44.62
visage,-0.60,44.67
bounty-hunter,-0.64,45.04
brewmaster,-0.64,47.08
meepo,-0.65,47.88
zeus,-0.67,45.47
broodmother,-0.72,46.06
bristleback,-0.73,47.23
invoker,-0.74,48.61
arc-warden,-0.75,44.03
keeper-of-the-light,-0.76,49.44
skywrath-mage,-0.77,45.52
razor,-0.80,46.04
void-spirit,-0.81,44.39
io,-0.82,46.76
ursa,-0.86,47.74
tidehunter,-0.90,48.02
clinkz,-0.91,45.92
clockwerk,-0.96,44.34
enchantress,-1.10,49.21
nyx-assassin,-1.15,45.41
silencer,-1.16,43.85
chaos-knight,-1.19,47.54
slardar,-1.26,48.05
oracle,-1.28,43.97
rubick,-1.48,49.88
spirit-breaker,-1.53,46.46
lifestealer,-1.66,46.76
pudge,-1.80,46.28
legion-commander,-1.82,44.83
phantom-assassin,-1.86,46.83
wraith-king,-1.86,42.16
slark,-1.98,47.97
abaddon,-2.50,42.10
lycan,-2.75,48.23
tusk,0,50
