hero,disadvantage,winrate
phantom-lancer,4.19,47.87
riki,3.11,43.80
shadow-shaman,2.63,43.66
ogre-magi,2.56,44.65
troll-warlord,2.55,46.20
naga-siren,2.53,48.91
bristleback,2.50,47.12
weaver,2.41,47.29
chaos-knight,2.18,47.20
clinkz,2.16,45.85
templar-assassin,2.13,52.72
broodmother,2.09,46.24
terrorblade,2.06,51.28
venomancer,1.91,47.38
wraith-king,1.86,41.56
razor,1.84,46.48
silencer,1.81,43.96
death-prophet,1.75,48.09
disruptor,1.71,47.15
brewmaster,1.67,47.80
undying,1.64,45.17
slardar,1.61,48.25
enigma,1.47,47.81
night-stalker,1.47,44.64
windranger,1.38,47.52
spectre,1.33,45.84
muerta,1.29,50.01
necrophos,1.26,44.76
winter-wyvern,1.20,47.70
keeper-of-the-light,1.02,50.72
arc-warden,0.98,45.28
dazzle,0.95,50.15
tusk,0.87,52.26
beastmaster,0.84,52.62
hoodwink,0.81,51.69
lion,0.80,48.72
viper,0.80,47.84
drow-ranger,0.77,48.10
visage,0.70,46.45
dark-willow,0.69,48.82
tiny,0.68,50.88
storm-spirit,0.64,48.20
mirana,0.62,52.21
grimstroke,0.61,50.05
zeus,0.56,47.36
slark,0.51,48.61
crystal-maiden,0.45,48.11
techies,0.42,51.20
lone-druid,0.41,47.55
shadow-demon,0.41,49.08
huskar,0.40,50.22
vengeful-spirit,0.37,46.76
io,0.37,48.63
meepo,0.34,49.96
bounty-hunter,0.33,47.14
batrider,0.30,55.69
earthshaker,0.29,49.49
alchemist,0.29,48.31
natures-prophet,0.26,52.28
omniknight,0.22,45.68
dragon-knight,0.21,49.88
skywrath-mage,0.20,47.64
doom,0.07,52.56
spirit-breaker,0.02,48.02
invoker,0.00,51.02
phantom-assassin,-0.03,48.19
tinker,-0.04,48.54
pangolier,-0.05,52.88
faceless-void,-0.05,52.35
sven,-0.05,53.46
gyrocopter,-0.10,51.80
lich,-0.10,44.85
mars,-0.13,51.55
lycan,-0.16,48.65
chen,-0.21,55.84
jakiro,-0.26,48.65
monkey-king,-0.27,55.01
enchantress,-0.35,51.56
pugna,-0.45,51.19
primal-beast,-0.49,51.66
abaddon,-0.51,43.21
queen-of-pain,-0.52,49.40
morphling,-0.56,54.77
void-spirit,-0.58,47.27
marci,-0.62,49.26
outworld-destroyer,-0.63,47.87
puck,-0.66,50.94
clockwerk,-0.69,47.20
snapfire,-0.72,52.96
phoenix,-0.77,49.62
magnus,-0.78,51.28
oracle,-0.80,46.59
witch-doctor,-0.81,46.70
luna,-0.82,47.11
lifestealer,-0.88,49.06
ember-spirit,-0.88,52.57
legion-commander,-0.96,47.06
bane,-0.99,49.93
sniper,-1.00,50.44
sand-king,-1.04,47.16
kunkka,-1.06,48.02
treant-protector,-1.12,47.37
ringmaster,-1.12,47.59
lina,-1.14,52.58
axe,-1.17,47.73
dawnbreaker,-1.22,49.60
bloodseeker,-1.22,48.46
warlock,-1.23,45.34
centaur-warrunner,-1.25,47.10
shadow-fiend,-1.35,50.85
ancient-apparition,-1.51,47.86
medusa,-1.53,45.67
earth-spirit,-1.58,51.51
elder-titan,-1.71,50.13
juggernaut,-1.71,48.87
tidehunter,-1.77,52.03
anti-mage,-1.80,51.74
leshrac,-1.88,50.95
dark-seer,-1.96,50.46
rubick,-2.02,53.53
nyx-assassin,-2.19,49.54
timbersaw,-2.26,51.05
pudge,-2.80,50.23
underlord,-3.56,48.81
ursa,0,50
