hero,disadvantage,winrate
phantom-lancer,3.84,51.11
chaos-knight,2.29,49.96
winter-wyvern,1.47,50.30
terrorblade,1.44,54.81
meepo,1.35,51.81
muerta,1.26,52.93
underlord,1.25,46.82
lich,1.24,46.38
tidehunter,1.23,51.84
brewmaster,1.15,51.22
kunkka,1.11,48.71
sand-king,1.03,48.01
treant-protector,1.03,48.07
dark-willow,0.99,51.39
luna,0.94,48.32
dark-seer,0.93,50.35
jakiro,0.91,50.39
medusa,0.90,46.07
windranger,0.89,50.86
warlock,0.86,46.11
beastmaster,0.82,55.56
lone-druid,0.81,50.03
ember-spirit,0.79,53.77
naga-siren,0.78,53.59
necrophos,0.75,48.12
spectre,0.74,49.29
puck,0.72,52.45
phoenix,0.68,51.05
tusk,0.64,55.38
crystal-maiden,0.64,50.80
tiny,0.60,53.84
gyrocopter,0.59,53.97
storm-spirit,0.54,51.18
primal-beast,0.53,53.50
snapfire,0.49,54.63
anti-mage,0.49,52.37
omniknight,0.47,48.28
juggernaut,0.46,49.66
leshrac,0.45,51.44
slark,0.43,51.57
death-prophet,0.41,52.36
marci,0.39,51.13
dazzle,0.38,53.62
axe,0.34,49.17
arc-warden,0.33,48.83
templar-assassin,0.33,57.44
razor,0.33,50.87
broodmother,0.32,50.94
drow-ranger,0.30,51.42
ogre-magi,0.28,49.71
undying,0.27,49.43
rubick,0.25,54.27
dragon-knight,0.24,52.73
venomancer,0.24,51.94
spirit-breaker,0.23,50.70
enigma,0.22,51.98
clockwerk,0.20,49.16
mars,0.19,54.14
magnus,0.18,53.20
enchantress,0.17,53.91
viper,0.17,51.34
visage,0.16,49.87
bloodseeker,0.13,49.94
mirana,0.12,55.60
abaddon,0.10,45.42
witch-doctor,0.09,48.71
sniper,0.09,52.31
riki,0.03,49.79
lycan,0.01,51.34
outworld-destroyer,0.00,50.09
elder-titan,0.00,51.23
lifestealer,-0.03,51.08
monkey-king,-0.03,57.65
techies,-0.04,54.56
shadow-demon,-0.07,52.45
dawnbreaker,-0.07,51.30
invoker,-0.10,53.99
earth-spirit,-0.10,52.88
void-spirit,-0.11,49.67
ringmaster,-0.12,49.49
tinker,-0.16,51.54
wraith-king,-0.16,46.39
morphling,-0.16,57.28
earthshaker,-0.20,52.84
weaver,-0.21,52.79
disruptor,-0.24,52.00
troll-warlord,-0.25,51.98
slardar,-0.25,53.00
queen-of-pain,-0.25,52.01
grimstroke,-0.26,53.84
phantom-assassin,-0.26,51.28
bounty-hunter,-0.26,50.61
silencer,-0.27,48.88
keeper-of-the-light,-0.29,54.96
sven,-0.32,56.60
ursa,-0.36,53.24
doom,-0.37,55.91
centaur-warrunner,-0.39,49.11
natures-prophet,-0.47,55.88
nyx-assassin,-0.48,50.72
alchemist,-0.50,51.99
lina,-0.51,54.86
shadow-shaman,-0.57,49.66
lion,-0.57,52.85
hoodwink,-0.58,55.97
faceless-void,-0.60,55.75
pudge,-0.64,51.17
zeus,-0.66,51.42
huskar,-0.67,54.17
bristleback,-0.69,53.16
pangolier,-0.74,56.50
clinkz,-0.74,51.69
shadow-fiend,-0.75,53.16
bane,-0.77,52.58
io,-0.80,52.73
timbersaw,-0.81,52.50
batrider,-0.90,59.86
pugna,-0.91,54.55
ancient-apparition,-0.97,50.19
skywrath-mage,-1.01,51.73
night-stalker,-1.02,50.03
chen,-1.07,59.66
oracle,-1.42,50.09
legion-commander,-1.56,50.51
vengeful-spirit,0,50
