hero,disadvantage,winrate
dark-seer,2.30,46.78
weaver,2.30,48.13
storm-spirit,2.05,47.52
legion-commander,2.05,44.95
slark,1.94,47.93
pugna,1.89,49.49
natures-prophet,1.81,51.43
windranger,1.78,47.85
phantom-lancer,1.62,51.20
juggernaut,1.56,46.48
lycan,1.47,47.68
sniper,1.46,48.90
enchantress,1.43,50.43
enigma,1.43,48.57
phantom-assassin,1.36,47.62
muerta,1.33,50.66
morphling,1.13,53.69
viper,1.08,48.28
clinkz,0.99,47.77
mirana,0.98,52.54
anti-mage,0.91,49.77
tinker,0.89,48.31
troll-warlord,0.89,48.65
terrorblade,0.83,53.20
pudge,0.77,47.77
queen-of-pain,0.75,48.88
naga-siren,0.73,51.45
faceless-void,0.72,52.23
huskar,0.68,50.62
brewmaster,0.67,49.53
techies,0.67,51.63
oracle,0.62,45.89
snapfire,0.59,52.29
earth-spirit,0.57,49.99
ancient-apparition,0.57,46.50
broodmother,0.57,48.53
lina,0.56,51.62
beastmaster,0.56,53.55
phoenix,0.55,49.01
witch-doctor,0.55,46.15
bane,0.53,49.07
skywrath-mage,0.50,48.06
timbersaw,0.44,49.09
magnus,0.40,50.77
void-spirit,0.39,47.03
crystal-maiden,0.36,48.91
shadow-demon,0.36,49.84
abaddon,0.34,43.09
rubick,0.34,51.99
warlock,0.18,44.68
dawnbreaker,0.16,48.90
hoodwink,0.15,53.01
medusa,0.14,44.73
lifestealer,0.13,48.76
arc-warden,0.13,46.93
pangolier,0.12,53.38
shadow-shaman,0.10,46.88
puck,0.06,50.91
marci,0.03,49.32
underlord,-0.14,46.10
chen,-0.15,56.37
outworld-destroyer,-0.15,48.10
razor,-0.18,49.22
invoker,-0.18,51.88
sven,-0.20,54.26
vengeful-spirit,-0.20,48.06
jakiro,-0.27,49.38
ember-spirit,-0.27,52.64
necrophos,-0.28,47.01
chaos-knight,-0.28,50.41
tidehunter,-0.36,51.28
keeper-of-the-light,-0.40,52.86
zeus,-0.43,49.03
bloodseeker,-0.44,48.38
dark-willow,-0.45,50.67
lich,-0.47,45.96
drow-ranger,-0.47,50.02
doom,-0.51,53.83
lion,-0.52,50.63
death-prophet,-0.55,51.16
nyx-assassin,-0.56,48.64
batrider,-0.59,57.23
treant-protector,-0.63,47.62
disruptor,-0.65,50.25
riki,-0.66,48.34
grimstroke,-0.72,52.09
slardar,-0.74,51.31
ringmaster,-0.74,47.95
alchemist,-0.75,50.07
primal-beast,-0.75,52.60
gyrocopter,-0.78,53.17
shadow-fiend,-0.79,51.03
silencer,-0.80,47.26
ogre-magi,-0.83,48.63
sand-king,-0.89,47.74
winter-wyvern,-0.91,50.57
tusk,-0.95,54.73
luna,-0.96,47.98
omniknight,-0.98,47.64
earthshaker,-0.98,51.41
bounty-hunter,-1.02,49.21
visage,-1.04,48.97
leshrac,-1.08,50.84
io,-1.16,50.91
mars,-1.21,53.30
meepo,-1.24,52.28
centaur-warrunner,-1.31,47.89
spirit-breaker,-1.36,50.09
dazzle,-1.38,53.17
elder-titan,-1.44,50.56
undying,-1.58,49.13
monkey-king,-1.58,56.92
templar-assassin,-1.71,57.21
dragon-knight,-1.76,52.50
spectre,-1.76,49.63
wraith-king,-1.82,45.92
bristleback,-1.84,52.12
kunkka,-1.86,49.55
ursa,-1.94,52.62
tiny,-1.98,54.21
clockwerk,-2.04,49.28
night-stalker,-2.17,49.05
axe,-2.75,49.97
lone-druid,-2.77,51.50
venomancer,0,50
