hero,disadvantage,winrate
phantom-lancer,5.58,47.84
chaos-knight,4.16,46.52
terrorblade,4.05,50.61
dark-seer,3.76,45.89
brewmaster,3.61,47.14
morphling,3.09,52.41
windranger,3.05,47.27
shadow-demon,2.50,48.30
pudge,2.39,46.93
witch-doctor,2.36,45.01
naga-siren,2.04,50.79
juggernaut,1.96,46.70
medusa,1.94,43.48
legion-commander,1.94,45.63
weaver,1.91,49.16
drow-ranger,1.77,48.47
arc-warden,1.49,46.12
riki,1.48,46.78
lycan,1.42,48.38
invoker,1.36,51.09
mars,1.13,51.65
shadow-shaman,1.02,46.58
muerta,1.01,51.69
puck,1.01,50.64
techies,0.89,52.12
enigma,0.88,49.79
broodmother,0.86,48.87
mirana,0.83,53.40
slark,0.82,49.67
bane,0.77,49.48
wraith-king,0.77,43.95
undying,0.73,47.44
sniper,0.71,50.24
clinkz,0.70,48.69
marci,0.68,49.31
crystal-maiden,0.67,49.25
warlock,0.66,44.77
enchantress,0.63,51.96
grimstroke,0.63,51.40
magnus,0.63,51.21
hoodwink,0.58,53.30
storm-spirit,0.54,49.67
natures-prophet,0.50,53.43
centaur-warrunner,0.47,46.75
meepo,0.43,51.24
lina,0.37,52.50
troll-warlord,0.34,49.87
primal-beast,0.32,52.19
chen,0.32,56.67
tusk,0.31,54.18
dark-willow,0.29,50.60
visage,0.26,48.27
outworld-destroyer,0.26,48.30
rubick,0.14,52.88
faceless-void,0.14,53.53
anti-mage,0.12,51.22
pangolier,0.12,54.06
death-prophet,0.10,51.18
slardar,0.10,51.15
keeper-of-the-light,0.10,53.06
snapfire,0.09,53.51
jakiro,0.04,49.72
ringmaster,-0.05,47.90
skywrath-mage,-0.06,49.25
sven,-0.08,54.92
earth-spirit,-0.10,51.34
void-spirit,-0.11,48.16
tinker,-0.12,49.99
bounty-hunter,-0.13,48.96
pugna,-0.14,52.26
vengeful-spirit,-0.17,48.66
kunkka,-0.20,48.51
tidehunter,-0.21,51.81
ancient-apparition,-0.24,47.93
lich,-0.28,46.36
oracle,-0.28,47.44
timbersaw,-0.30,50.48
phoenix,-0.31,50.54
alchemist,-0.35,50.32
spirit-breaker,-0.37,49.77
sand-king,-0.37,47.86
silencer,-0.42,47.49
dawnbreaker,-0.44,50.16
phantom-assassin,-0.45,49.94
abaddon,-0.46,44.47
queen-of-pain,-0.51,50.75
luna,-0.56,48.22
shadow-fiend,-0.57,51.48
nyx-assassin,-0.66,49.38
dazzle,-0.72,53.21
ogre-magi,-0.77,49.20
ursa,-0.79,52.16
ember-spirit,-0.85,53.91
zeus,-0.88,50.12
lion,-0.93,51.68
doom,-0.95,55.00
leshrac,-0.96,51.38
omniknight,-0.96,48.25
axe,-1.02,48.95
venomancer,-1.04,51.72
elder-titan,-1.13,50.89
underlord,-1.13,47.72
beastmaster,-1.17,56.03
disruptor,-1.19,51.45
io,-1.39,51.81
gyrocopter,-1.44,54.57
templar-assassin,-1.49,57.86
razor,-1.51,51.21
lifestealer,-1.56,51.12
bloodseeker,-1.58,50.17
earthshaker,-1.58,52.67
monkey-king,-1.59,57.71
winter-wyvern,-1.71,52.06
treant-protector,-1.80,49.43
clockwerk,-1.83,49.70
batrider,-1.86,59.34
night-stalker,-2.02,49.54
tiny,-2.16,55.12
lone-druid,-2.22,51.61
spectre,-2.50,51.00
necrophos,-2.59,49.89
dragon-knight,-3.33,54.74
bristleback,-5.31,56.27
huskar,-6.87,59.11
viper,0,50
