hero,disadvantage,winrate
bristleback,2.91,52.62
weaver,2.46,53.17
sand-king,2.35,49.76
morphling,2.27,57.80
phoenix,2.26,52.45
shadow-fiend,2.24,53.32
tidehunter,2.22,53.88
windranger,2.14,52.68
pangolier,2.07,56.58
phantom-assassin,2.01,52.19
nyx-assassin,1.97,51.31
storm-spirit,1.88,52.88
sven,1.69,57.60
snapfire,1.61,56.50
jakiro,1.55,52.81
natures-prophet,1.51,56.96
bounty-hunter,1.50,51.86
slardar,1.42,54.36
slark,1.35,53.69
clinkz,1.32,52.62
earthshaker,1.31,54.41
sniper,1.31,54.24
keeper-of-the-light,1.29,56.34
primal-beast,1.26,55.76
ursa,1.24,54.66
earth-spirit,1.19,54.55
tinker,1.18,53.19
lycan,1.09,53.27
mirana,1.05,57.71
night-stalker,1.03,50.98
timbersaw,1.01,53.69
anti-mage,0.97,54.93
faceless-void,0.95,57.25
magnus,0.92,55.46
ember-spirit,0.91,56.64
monkey-king,0.89,59.74
troll-warlord,0.87,53.87
lina,0.81,56.60
templar-assassin,0.77,59.98
oracle,0.75,50.92
marci,0.74,53.78
lifestealer,0.69,53.38
alchemist,0.68,53.82
legion-commander,0.68,51.41
brewmaster,0.65,54.75
tusk,0.63,58.39
crystal-maiden,0.57,53.91
invoker,0.56,56.38
batrider,0.52,61.34
void-spirit,0.49,52.09
chen,0.44,61.05
io,0.43,54.47
huskar,0.42,56.09
puck,0.40,55.78
abaddon,0.36,48.21
queen-of-pain,0.33,54.47
enchantress,0.33,56.79
riki,0.28,52.57
hoodwink,0.28,58.14
gyrocopter,0.27,57.35
zeus,0.26,53.56
dawnbreaker,0.23,54.03
elder-titan,0.19,54.06
ringmaster,0.15,52.25
witch-doctor,0.12,51.73
ancient-apparition,0.11,52.13
leshrac,0.09,54.82
underlord,0.07,51.05
juggernaut,0.06,53.08
treant-protector,0.04,52.11
disruptor,0.04,54.76
drow-ranger,0.04,54.73
silencer,0.01,51.64
doom,-0.01,58.56
rubick,-0.05,57.58
broodmother,-0.09,54.36
venomancer,-0.10,55.32
dragon-knight,-0.12,56.11
pugna,-0.12,56.77
razor,-0.13,54.36
pudge,-0.15,53.78
mars,-0.18,57.49
dazzle,-0.24,57.27
death-prophet,-0.30,56.12
skywrath-mage,-0.31,54.05
bloodseeker,-0.31,53.42
lich,-0.37,51.01
spirit-breaker,-0.42,54.36
dark-seer,-0.43,54.78
clockwerk,-0.46,52.86
outworld-destroyer,-0.54,53.67
techies,-0.54,58.09
lion,-0.56,55.87
undying,-0.56,53.30
shadow-demon,-0.65,56.06
dark-willow,-0.66,56.10
viper,-0.68,55.23
muerta,-0.70,57.97
bane,-0.78,55.59
tiny,-0.84,58.31
omniknight,-0.85,52.67
vengeful-spirit,-0.86,53.89
grimstroke,-0.91,57.54
winter-wyvern,-1.05,55.94
luna,-1.16,53.33
kunkka,-1.23,54.09
necrophos,-1.25,53.14
medusa,-1.27,51.28
centaur-warrunner,-1.45,53.20
visage,-1.48,54.59
shadow-shaman,-1.78,53.89
spectre,-2.01,55.07
ogre-magi,-2.05,54.99
beastmaster,-2.25,61.70
meepo,-2.30,58.57
axe,-2.36,54.77
enigma,-2.61,57.87
wraith-king,-2.68,51.89
naga-siren,-2.94,60.43
arc-warden,-3.03,55.31
terrorblade,-3.39,62.76
lone-druid,-4.10,58.06
chaos-knight,-4.15,59.58
phantom-lancer,-4.79,62.99
warlock,0,50
