hero,disadvantage,winrate
lone-druid,5.24,49.35
phantom-lancer,5.12,53.99
underlord,4.42,47.38
slark,3.37,52.65
necrophos,3.32,49.40
tidehunter,3.29,53.76
chen,3.11,59.50
terrorblade,3.01,57.45
phoenix,2.93,52.67
broodmother,2.78,52.34
dazzle,2.76,55.30
warlock,2.59,48.11
beastmaster,2.59,57.82
brewmaster,2.57,53.73
undying,2.57,50.98
naga-siren,2.54,55.83
meepo,2.44,54.75
pangolier,2.39,57.28
anti-mage,2.37,54.61
io,2.35,53.47
alchemist,2.31,53.09
tusk,2.24,57.84
crystal-maiden,2.23,53.19
dark-seer,2.20,52.96
tinker,2.17,53.09
sand-king,2.16,50.74
lycan,2.15,53.09
lifestealer,2.12,52.85
omniknight,2.12,50.44
chaos-knight,2.10,54.20
abaddon,2.08,47.14
visage,2.06,51.81
venomancer,2.06,54.08
jakiro,2.01,53.25
medusa,1.98,48.74
treant-protector,1.98,50.96
razor,1.91,53.22
keeper-of-the-light,1.88,56.77
dragon-knight,1.85,55.18
rubick,1.83,56.85
monkey-king,1.81,60.04
morphling,1.73,59.53
winter-wyvern,1.72,54.03
invoker,1.44,56.60
timbersaw,1.40,54.28
slardar,1.37,55.43
bristleback,1.32,55.22
dawnbreaker,1.14,54.01
enchantress,1.01,57.13
shadow-demon,0.93,55.40
lich,0.90,50.53
death-prophet,0.84,55.96
marci,0.81,54.66
bounty-hunter,0.79,53.49
leshrac,0.75,55.09
ogre-magi,0.71,53.22
templar-assassin,0.63,61.47
sniper,0.62,55.84
snapfire,0.62,58.63
clockwerk,0.60,52.64
kunkka,0.59,53.14
troll-warlord,0.59,55.18
oracle,0.57,51.93
gyrocopter,0.53,58.16
ember-spirit,0.39,58.25
weaver,0.32,56.33
vengeful-spirit,0.32,53.61
hoodwink,0.25,59.33
arc-warden,0.08,53.01
luna,0.07,53.03
ringmaster,0.06,53.19
natures-prophet,0.06,59.52
dark-willow,0.06,56.37
mars,0.04,58.36
storm-spirit,0.01,55.71
primal-beast,-0.04,58.15
queen-of-pain,-0.05,55.80
bane,-0.08,55.87
grimstroke,-0.14,57.84
lina,-0.18,58.68
void-spirit,-0.22,53.70
tiny,-0.26,58.87
windranger,-0.33,56.03
zeus,-0.33,55.07
mirana,-0.37,60.22
juggernaut,-0.39,54.45
drow-ranger,-0.42,56.17
disruptor,-0.46,56.25
batrider,-0.46,63.64
faceless-void,-0.46,59.87
sven,-0.47,61.06
lion,-0.49,56.81
viper,-0.51,56.05
ancient-apparition,-0.53,53.67
magnus,-0.54,57.99
shadow-shaman,-0.55,53.57
doom,-0.61,60.42
spectre,-0.62,54.61
centaur-warrunner,-0.63,53.24
phantom-assassin,-0.63,55.62
earthshaker,-0.68,57.38
pugna,-0.74,58.48
techies,-0.87,59.62
earth-spirit,-0.87,57.72
huskar,-0.89,58.54
spirit-breaker,-0.92,55.85
shadow-fiend,-1.09,57.55
muerta,-1.12,59.55
riki,-1.14,54.95
bloodseeker,-1.17,55.25
puck,-1.19,58.40
clinkz,-1.22,56.23
axe,-1.25,54.65
witch-doctor,-1.25,53.90
outworld-destroyer,-1.27,55.34
nyx-assassin,-1.32,55.54
pudge,-1.40,55.83
night-stalker,-1.41,54.36
ursa,-1.46,58.44
enigma,-1.72,58.11
legion-commander,-1.87,54.77
skywrath-mage,-2.03,56.80
silencer,-2.14,54.68
elder-titan,-2.69,58.07
wraith-king,0,50
