hero,disadvantage,winrate
meepo,3.54,48.77
chen,2.92,55.02
storm-spirit,2.63,48.28
huskar,2.43,50.35
broodmother,2.39,48.01
chaos-knight,2.39,49.11
anti-mage,2.34,49.84
ember-spirit,2.29,51.63
visage,2.04,47.08
io,1.91,49.16
lycan,1.82,48.67
void-spirit,1.75,46.86
mars,1.58,52.10
enchantress,1.58,51.86
queen-of-pain,1.57,49.49
naga-siren,1.57,52.16
spectre,1.55,47.61
skywrath-mage,1.50,48.37
beastmaster,1.46,54.33
lifestealer,1.44,48.78
templar-assassin,1.42,55.92
faceless-void,1.39,53.24
medusa,1.30,44.62
bristleback,1.20,50.58
sven,1.17,54.64
earth-spirit,1.13,50.90
clinkz,1.07,49.03
pangolier,1.02,54.11
tusk,0.97,54.53
oracle,0.96,46.75
brewmaster,0.92,50.74
razor,0.90,49.52
viper,0.88,49.88
pudge,0.86,49.01
underlord,0.84,46.26
dark-willow,0.80,50.88
magnus,0.80,51.91
centaur-warrunner,0.76,47.06
lone-druid,0.72,49.33
necrophos,0.71,47.24
undying,0.71,48.13
keeper-of-the-light,0.70,53.36
vengeful-spirit,0.58,48.58
tidehunter,0.57,51.87
death-prophet,0.55,51.54
dragon-knight,0.54,51.77
lina,0.51,53.30
venomancer,0.50,50.97
tinker,0.42,50.20
timbersaw,0.41,50.54
juggernaut,0.36,48.94
grimstroke,0.35,52.58
batrider,0.35,58.15
doom,0.35,54.69
ogre-magi,0.31,48.85
terrorblade,0.30,55.51
mirana,0.30,54.95
wraith-king,0.26,44.93
rubick,0.26,53.70
lion,0.25,51.40
bane,0.24,50.81
natures-prophet,0.22,54.71
marci,0.19,50.58
snapfire,0.17,54.40
phoenix,0.16,50.83
tiny,0.16,53.73
dazzle,0.14,53.25
kunkka,0.14,48.85
dawnbreaker,0.08,50.39
alchemist,0.08,50.66
pugna,0.08,52.97
dark-seer,0.07,50.48
abaddon,0.05,44.43
shadow-shaman,0.03,48.19
omniknight,0.02,47.88
arc-warden,0.01,48.30
phantom-lancer,0.01,54.52
troll-warlord,0.01,51.01
shadow-demon,0.00,51.69
clockwerk,-0.01,48.52
silencer,-0.01,47.69
spirit-breaker,-0.01,50.17
bloodseeker,-0.07,49.32
night-stalker,-0.08,48.19
hoodwink,-0.09,54.96
gyrocopter,-0.10,54.16
techies,-0.15,54.13
enigma,-0.20,51.71
disruptor,-0.23,51.28
invoker,-0.28,53.58
phantom-assassin,-0.29,50.55
puck,-0.35,52.88
nyx-assassin,-0.36,49.80
leshrac,-0.38,51.58
muerta,-0.40,54.08
ursa,-0.41,52.64
weaver,-0.44,52.37
slark,-0.48,51.78
warlock,-0.48,46.44
slardar,-0.49,52.61
primal-beast,-0.51,53.96
crystal-maiden,-0.56,51.26
treant-protector,-0.57,48.84
morphling,-0.57,57.18
outworld-destroyer,-0.58,49.89
windranger,-0.61,51.59
ringmaster,-0.63,49.15
jakiro,-0.63,51.17
earthshaker,-0.68,52.65
lich,-0.78,47.45
elder-titan,-0.79,51.33
ancient-apparition,-0.95,49.32
winter-wyvern,-0.95,52.11
bounty-hunter,-0.95,50.53
sniper,-1.09,52.74
legion-commander,-1.09,49.22
luna,-1.17,49.48
witch-doctor,-1.43,49.30
axe,-1.62,50.24
drow-ranger,-1.68,52.72
monkey-king,-1.71,58.98
riki,-1.73,50.79
shadow-fiend,-2.24,53.97
sand-king,-2.31,50.44
zeus,0,50
